,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",4.443788451797619,-0.4750611691003366,1.7919800000000001,-0.48694686130648535,1.79
"(40, 10)",1.205705212897831,-0.47944194552284225,1.7774500000000002,-0.47647488579452,1.7750000000000001
"(45, 5)",3.1445489522205006,-0.46657886893564404,1.7782,-0.4590215932745778,1.7850000000000001
"(45, 10)",7.0762603829697515,-0.4709072854805898,1.76354,-0.4520402762666009,1.77
"(50, 5)",20.33605921109304,-0.4580267556008719,1.7709000000000001,-0.5131268000863987,1.77
"(50, 10)",10.29954163997592,-0.4623028122682582,1.75618,-0.4904375198104738,1.7550000000000001
"(50, 15)",9.914469197724229,-0.46664868210572363,1.74149,-0.4398229715026414,1.75
"(50, 20)",1.4778001554608766,-0.47106436511326955,1.7268100000000002,-0.4747295565425258,1.73
"(50, 25)",15.970971064270039,-0.47556731458341517,1.7122600000000001,-0.4310963252426703,1.72
"(50, 30)",20.515336351846713,-0.4801400772236404,1.69771,-0.42236967898269917,1.705
"(55, 5)",4.189420679750546,-0.44940482909601975,1.7637200000000002,-0.46076692252657203,1.7650000000000001
"(55, 10)",18.514606440991162,-0.453611072593326,1.74893,-0.5044001538264276,1.75
"(55, 15)",16.172553078755048,-0.4579045825532324,1.73408,-0.5026548245744333,1.735
"(55, 20)",13.216338997704806,-0.4622679056832184,1.71932,-0.4991641660704449,1.72
"(55, 25)",9.043063573030913,-0.46670104198328355,1.7047,-0.492182849062468,1.705
"(55, 30)",7.44373109973847,-0.47122144474594885,1.69016,-0.4502949470146067,1.695
"(60, 25)",17.11476667439606,-0.4577649562130728,1.6973,-0.5061454830784218,1.7
"(60, 30)",1.802319463092672,-0.46223299909817817,1.6827,-0.4572762640225836,1.685
"(60, 35)",14.280648785659519,-0.4667708551533636,1.6681000000000001,-0.507890812330416,1.67
"(60, 40)",27.256969045051157,-0.4713959776711487,1.65354,-0.3926990816987974,1.665
"(65, 30)",13.355510474385902,-0.4531572869878078,1.6753900000000002,-0.4153883619747223,1.685
"(65, 35)",18.60855786004565,-0.4576427831654333,1.66078,-0.5113814708344044,1.665
"(65, 40)",19.644897465428965,-0.46219809251313837,1.6461800000000002,-0.40491638646275696,1.6500000000000001
"(65, 45)",6.819434512687173,-0.4668581216159633,1.63152,-0.48694686130648535,1.6300000000000001
"(65, 50)",20.758222892489506,-0.4715879638888678,1.61688,-0.4101523742187396,1.625
"(70, 30)",3.286923756906902,-0.4439943084148372,1.6683500000000002,-0.4345869837466587,1.67
"(70, 35)",15.644733240347666,-0.44840999142238314,1.6536600000000001,-0.40317105721076274,1.6600000000000001
"(70, 40)",10.411966175339995,-0.45291294089252876,1.6389500000000001,-0.4834562028024969,1.6400000000000001
"(70, 45)",11.711843675908593,-0.45750315682527365,1.62421,-0.492182849062468,1.625
"(70, 50)",16.292754984867226,-0.4621631859280986,1.60949,-0.41364303272272807,1.615
"(70, 55)",7.839892475534149,-0.4669279347860429,1.59483,-0.4904375198104738,1.59
"(75, 35)",0.4208284139799764,-0.4391073865092534,1.64665,-0.4398229715026414,1.645
"(75, 40)",5.41626618118074,-0.443540522809319,1.6318500000000002,-0.42760566673868183,1.6300000000000001
"(75, 45)",20.474734560522702,-0.4480609255719843,1.61703,-0.38746309394281475,1.625
"(75, 50)",16.58746985475564,-0.4526511415047296,1.60226,-0.40317105721076274,1.61
"(75, 55)",11.485258355437656,-0.4573460771925939,1.58755,-0.492182849062468,1.585
"(75, 60)",17.640289040918002,-0.46212827934305833,1.57287,-0.4084070449667454,1.58
"(75, 65)",12.101668917037474,-0.4670152012486426,1.5582500000000001,-0.5044001538264276,1.56
"(75, 75)",4.809201250616516,-0.47705084444761026,1.53679,-0.492182849062468,1.5350000000000001
"(80, 25)",0.48956831532965706,-0.42123521496883165,1.6764200000000002,-0.42236967898269917,1.675
"(80, 45)",8.90855763226758,-0.4385314278560952,1.61,-0.41189770347073384,1.61
"(80, 50)",0.6626144906543204,-0.44306928391128064,1.59519,-0.44505895925862404,1.595
"(80, 55)",4.866089345067444,-0.44767695313654565,1.5804200000000002,-0.46251225177856625,1.58
"(80, 60)",9.244373350624679,-0.4523893421169305,1.56566,-0.4241150082346934,1.57
"(80, 65)",14.107010240642362,-0.4571889975599146,1.5509700000000002,-0.5009094953224391,1.555
"(80, 70)",3.2963712067855915,-0.46209337275801854,1.53632,-0.4520402762666009,1.54
"(80, 75)",4.256430469902089,-0.46708501441872263,1.5217100000000001,-0.45378560551859515,1.5250000000000001
"(85, 35)",1.310170088439898,-0.4202578305877145,1.63999,-0.4241150082346934,1.6400000000000001
"(85, 50)",3.871465645715444,-0.43338270656271227,1.58827,-0.44505895925862404,1.59
"(85, 55)",2.149370242113098,-0.43792056261789725,1.5734400000000002,-0.4328416544946645,1.58
"(85, 60)",7.02612189623481,-0.44256313842820205,1.55861,-0.4642575810305605,1.56
"(85, 65)",0.7540452575846731,-0.447292980701107,1.54383,-0.44505895925862404,1.545
"(85, 70)",12.990358998347178,-0.45211008943661124,1.52912,-0.41189770347073384,1.54
"(85, 75)",6.609740474302023,-0.4570319179272353,1.51444,-0.43633231299865294,1.52
"(85, 80)",3.8144038825609035,-0.46205846617297874,1.49981,-0.4502949470146067,1.5050000000000001
"(85, 85)",3.2076138852448093,-0.46717228088132234,1.4852100000000001,-0.4572762640225836,1.49
"(85, 95)",4.877234923128635,-0.47774897614840794,1.45626,-0.49392817831446223,1.455
"(90, 40)",0.5290738982325099,-0.414917123076612,1.6185,-0.41364303272272807,1.62
"(90, 60)",4.484210511668855,-0.4326322149843542,1.55172,-0.41887902047871073,1.555
"(90, 65)",1.560789682885137,-0.4372922440871796,1.53685,-0.4328416544946645,1.54
"(90, 70)",6.7873821600424575,-0.44202208636008367,1.52206,-0.42062434973070495,1.5250000000000001
"(90, 75)",0.7634087706690296,-0.44687410168062813,1.5073200000000002,-0.4485496177626125,1.51
"(90, 80)",15.149737124305783,-0.4518133834637723,1.4926300000000001,-0.40317105721076274,1.5
"(90, 85)",8.15383654951893,-0.4568573850020359,1.4778700000000002,-0.4834562028024969,1.48
"(90, 90)",12.835791933507663,-0.46200610629541927,1.46322,-0.5044001538264276,1.46
"(90, 95)",1.7681603753288992,-0.46727700063644173,1.4486800000000002,-0.47123889803853736,1.455
"(90, 100)",0.6377280971329703,-0.47265261473258446,1.4342400000000002,-0.4747295565425258,1.435
"(95, 60)",2.770684660650107,-0.4226140250779069,1.55243,-0.4310963252426703,1.555
"(95, 70)",4.200234143373439,-0.4318468168209568,1.51519,-0.41887902047871073,1.52
"(95, 75)",2.0826240150242614,-0.4366115656789016,1.50028,-0.4433136300066298,1.5
"(95, 80)",10.230904353677358,-0.4414810342919657,1.4854100000000001,-0.4084070449667454,1.49
"(95, 85)",3.3007321638506983,-0.4464377693676296,1.47059,-0.4572762640225836,1.47
"(95, 90)",5.419635883020539,-0.45149922419841326,1.45591,-0.46949356878654314,1.455
"(95, 95)",10.101231078094239,-0.45668285207683645,1.4413300000000002,-0.4904375198104738,1.445
"(95, 100)",10.484733493788555,-0.46197119971037903,1.42681,-0.49741883681845067,1.43
"(95, 105)",25.58632419137979,-0.4673642670990419,1.4123100000000002,-0.38048177693483787,1.425
"(100, 60)",4.094621321040936,-0.4125085687088599,1.54584,-0.3996803987067743,1.545
"(100, 65)",1.077905588587988,-0.41699406488648516,1.53098,-0.41364303272272807,1.53
"(100, 70)",2.9827934504111244,-0.4215842808192303,1.51615,-0.4310963252426703,1.5150000000000001
"(100, 80)",1.64920992287402,-0.43102651207251963,1.47859,-0.43633231299865294,1.48
"(100, 85)",7.2806417877494685,-0.4359134339781039,1.46371,-0.41189770347073384,1.465
"(100, 90)",4.455271004635446,-0.4408876223462874,1.4489,-0.45553093477058937,1.445
"(100, 95)",16.012077919411894,-0.4459839837621109,1.43417,-0.3926990816987974,1.445
"(100, 100)",4.942769594697235,-0.4511850649330542,1.4195600000000002,-0.4677482395345489,1.415
"(100, 105)",3.4280797380703376,-0.4564908658591169,1.40504,-0.4677482395345489,1.41
"(100, 110)",9.683397741555277,-0.4619188398328191,1.39049,-0.49567350756645645,1.3900000000000001
"(100, 115)",13.340722118357823,-0.4674689868541613,1.37595,-0.42062434973070495,1.3800000000000001
"(100, 135)",2.09596304672545,-0.49097857187852467,1.32742,-0.4834562028024969,1.325
"(105, 85)",3.047975058165497,-0.4252843788334584,1.4569800000000002,-0.4153883619747223,1.46
"(105, 90)",2.943393382689767,-0.43017130073904264,1.44211,-0.4398229715026414,1.445
"(105, 95)",1.9480963465358425,-0.4351629423997463,1.42734,-0.4415683007546356,1.425
"(105, 100)",2.9695276805303865,-0.44027675710808944,1.41258,-0.4502949470146067,1.41
"(105, 105)",2.4303063282926978,-0.4454952915715529,1.3979800000000002,-0.45378560551859515,1.4000000000000001
"(105, 110)",3.353433421419554,-0.45083599908265537,1.38331,-0.46251225177856625,1.385
"(105, 115)",1.479869695778693,-0.4562988796413978,1.3687,-0.45378560551859515,1.375
"(105, 120)",9.922739995986172,-0.4618664799552592,1.35419,-0.49741883681845067,1.355
"(110, 80)",1.3722871214710726,-0.4098382149533084,1.46529,-0.4066617157147512,1.47
"(110, 85)",1.303910138048089,-0.41453315064117335,1.45037,-0.41887902047871073,1.45
"(110, 90)",2.7271343001471573,-0.4193328060841577,1.4354900000000002,-0.4101523742187396,1.435
"(110, 100)",8.13754430027806,-0.4292637295280053,1.40578,-0.4014257279587685,1.41
"(110, 105)",7.511782015632626,-0.4343775442363489,1.39104,-0.4084070449667454,1.395
"(110, 110)",1.2973415715922003,-0.43963098528485167,1.3763,-0.4433136300066298,1.3800000000000001
"(110, 115)",1.5268219375006034,-0.4449891460884743,1.36162,-0.4502949470146067,1.36
"(110, 120)",3.8803076480408523,-0.4504694799397364,1.347,-0.4642575810305605,1.35
"(110, 125)",3.7096816008771714,-0.4560719868386385,1.33241,-0.46949356878654314,1.33
"(110, 130)",10.141582929014746,-0.46181412007769973,1.3179200000000002,-0.4991641660704449,1.32
"(110, 150)",0.6468215307278398,-0.48619636972806024,1.2698,-0.48869219055847957,1.27
"(110, 155)",3.690793440516256,-0.4926715412529594,1.2556600000000002,-0.47822021504651424,1.2550000000000001
"(115, 110)",1.1853686870165803,-0.42828634514688857,1.36946,-0.4241150082346934,1.37
"(115, 115)",5.1961655963144855,-0.43355723948791125,1.3547200000000001,-0.4153883619747223,1.36
"(115, 120)",0.24526923575743917,-0.438932853584054,1.33996,-0.4398229715026414,1.34
"(115, 125)",9.418692548827787,-0.4444480940203559,1.3253400000000002,-0.4101523742187396,1.33
"(115, 130)",2.4143864852264723,-0.45008550750429777,1.3107499999999999,-0.4590215932745778,1.31
"(115, 135)",5.031753224383963,-0.4558625473283988,1.29616,-0.4747295565425258,1.295
"(115, 140)",15.566387442086485,-0.4617617602001398,1.2817,-0.40317105721076274,1.29
"(115, 150)",5.577068173161582,-0.4740314248416597,1.2624,-0.49567350756645645,1.26
"(120, 115)",1.4186383229654127,-0.42200315983970893,1.34792,-0.4171336912267165,1.35
"(120, 120)",1.8674425456089891,-0.42727405418073183,1.3331199999999999,-0.42062434973070495,1.335
"(120, 125)",0.6110971244529132,-0.43268457486191414,1.31843,-0.4345869837466587,1.32
"(120, 130)",0.26135664141692566,-0.4381998152982165,1.30374,-0.43807764225064716,1.305
"(120, 135)",10.410698415397285,-0.44387213536719816,1.28913,-0.40491638646275696,1.295
"(120, 140)",11.333696024692218,-0.4496666284838189,1.27455,-0.4066617157147512,1.28
"(120, 145)",4.489621140715787,-0.4556182012331198,1.25998,-0.4729842272905316,1.26
"(120, 150)",10.007190212106485,-0.4617094003225799,1.24546,-0.5009094953224391,1.245
"(120, 165)",1.2144609879922286,-0.4809254753870378,1.20244,-0.47647488579452,1.205
"(120, 170)",16.800718908981334,-0.48766244629973565,1.18817,-0.41887902047871073,1.195
"(125, 125)",2.336886390253351,-0.42078142936331275,1.31168,-0.42935099599067605,1.31
"(125, 130)",1.6156627866229183,-0.4261919500444953,1.2969300000000001,-0.42062434973070495,1.3
"(125, 135)",2.2036260875062896,-0.43174209706583744,1.28224,-0.4398229715026414,1.285
"(125, 140)",2.0496548322093844,-0.4374318704273388,1.26753,-0.44505895925862404,1.27
"(125, 145)",9.099273213705755,-0.4432612701290002,1.25287,-0.4084070449667454,1.26
"(125, 150)",11.360968662356191,-0.4492302961708208,1.2382700000000002,-0.40491638646275696,1.245
"(125, 155)",8.388159076619612,-0.45535640184532067,1.22371,-0.42236967898269917,1.23
"(125, 160)",17.889830674317643,-0.4616395871525003,1.20935,-0.3909537524468032,1.225
"(125, 165)",6.736686586553359,-0.4680973053848789,1.1949500000000002,-0.49567350756645645,1.195
"(125, 170)",3.7930540476498136,-0.47471210324993773,1.18059,-0.4904375198104738,1.18
"(130, 135)",6.632503962049161,-0.419489885716837,1.27556,-0.39444441095079164,1.28
"(130, 140)",0.7111388098598468,-0.42505748603069904,1.26076,-0.42236967898269917,1.26
"(130, 145)",3.2126483682749414,-0.4307647126847205,1.24601,-0.4433136300066298,1.245
"(130, 150)",0.5758787390395944,-0.4366115656789016,1.2313100000000001,-0.4345869837466587,1.23
"(130, 155)",13.887857580010794,-0.44261549830576197,1.2166299999999999,-0.38746309394281475,1.225
"(130, 160)",1.7689880837685188,-0.4487765105653021,1.2020600000000001,-0.45553093477058937,1.205
"(130, 165)",2.278379829256537,-0.45509460245752154,1.1876300000000002,-0.4642575810305605,1.19
"(130, 170)",17.998065634545075,-0.4615872272749404,1.17326,-0.38746309394281475,1.185
"(130, 175)",8.964983452908568,-0.468236931725039,1.15893,-0.5061454830784218,1.16
"(135, 145)",1.974119833259275,-0.41811107560776173,1.23934,-0.4258603374866876,1.24
"(135, 150)",2.261456257916023,-0.4238357555543031,1.22455,-0.4328416544946645,1.225
"(135, 155)",10.104227898430095,-0.42971751513352396,1.2097900000000001,-0.389208423194809,1.215
"(135, 160)",8.460144302993061,-0.435738901052904,1.19512,-0.4014257279587685,1.2
"(135, 165)",10.666859641429081,-0.4419173666049643,1.1805400000000001,-0.3979350694547801,1.185
"(135, 170)",11.750335642034635,-0.4482703650822235,1.16607,-0.3996803987067743,1.175
"(135, 175)",13.914781594704166,-0.4547978964846826,1.15165,-0.39618974020278586,1.16
"(135, 180)",9.55648336305612,-0.46151741410486036,1.13728,-0.5026548245744333,1.1400000000000001
"(140, 135)",0.6718127683542107,-0.3945665839983581,1.2723000000000002,-0.3926990816987974,1.27
"(140, 150)",0.46728452439461304,-0.41092031908954496,1.2180600000000001,-0.41189770347073384,1.22
"(140, 155)",1.0467503860824638,-0.4166449990360863,1.20319,-0.42062434973070495,1.205
"(140, 160)",9.488735628324154,-0.4225442119078271,1.1884299999999999,-0.3839724354388263,1.195
"(140, 165)",10.797151306410033,-0.4285830511197275,1.17374,-0.3839724354388263,1.18
"(140, 170)",9.23037762944366,-0.4347964232568273,1.15916,-0.39618974020278586,1.165
"(140, 175)",1.7185266613999959,-0.4411843283191268,1.14467,-0.4485496177626125,1.145
"(140, 180)",13.52963787402836,-0.44774676630662524,1.1302500000000002,-0.389208423194809,1.135
"(140, 185)",4.196201449105315,-0.45450119051184323,1.1158400000000002,-0.4729842272905316,1.115
"(140, 190)",2.121569446294988,-0.4614301476422611,1.10147,-0.4520402762666009,1.1
"(145, 150)",5.177232859279817,-0.39784780299210754,1.21164,-0.3769911184308494,1.21
"(145, 155)",6.939289942105841,-0.40343285659848926,1.19678,-0.3752457891788552,1.2
"(145, 160)",0.6616254658193482,-0.4091924431300704,1.1819700000000002,-0.4101523742187396,1.185
"(145, 165)",4.955584340431501,-0.4150916560018114,1.16727,-0.39444441095079164,1.17
"(145, 170)",9.303126404569491,-0.4211654017987516,1.15253,-0.3822271061868321,1.16
"(145, 175)",10.597429921921655,-0.42739622722837134,1.1379599999999999,-0.3822271061868321,1.145
"(145, 180)",10.308923756261938,-0.4338015855831907,1.12344,-0.389208423194809,1.1300000000000001
"(145, 185)",13.202302302872518,-0.4403989301557294,1.1089000000000002,-0.3822271061868321,1.115
"(145, 190)",5.1278199460358,-0.4471882609459872,1.09444,-0.4241150082346934,1.095
"(145, 195)",0.8479808383450302,-0.4541695779539645,1.08005,-0.4502949470146067,1.08
"(145, 200)",3.996264034510162,-0.46136033447218106,1.06572,-0.4433136300066298,1.07
"(150, 150)",1.1541998909759903,-0.3846182072619906,1.2055200000000001,-0.38746309394281475,1.21
"(150, 155)",4.348558542939306,-0.3900810878207326,1.19061,-0.3769911184308494,1.205
