,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",3.7975246827254474,-0.4750611691003366,1.7919800000000001,-0.4852015320544911,1.79
"(40, 10)",0.5645344219066764,-0.47944194552284225,1.7774500000000002,-0.47996554429850846,1.78
"(45, 5)",5.626195389595977,-0.46657886893564404,1.7782,-0.4817108735505027,1.78
"(45, 10)",2.0712847541537984,-0.4709072854805898,1.76354,-0.47647488579452,1.7650000000000001
"(50, 5)",19.6921406956326,-0.4580267556008719,1.7709000000000001,-0.5113814708344044,1.77
"(50, 10)",12.853053019455672,-0.4623028122682582,1.75618,-0.49741883681845067,1.7550000000000001
"(50, 15)",2.4171783995428013,-0.46664868210572363,1.74149,-0.4729842272905316,1.745
"(50, 20)",4.511037957810457,-0.47106436511326955,1.7268100000000002,-0.4834562028024969,1.73
"(50, 25)",14.111065404789548,-0.47556731458341517,1.7122600000000001,-0.43633231299865294,1.72
"(50, 30)",13.745527977459874,-0.4801400772236404,1.69771,-0.4415683007546356,1.705
"(55, 5)",5.471149024872846,-0.44940482909601975,1.7637200000000002,-0.4642575810305605,1.7650000000000001
"(55, 10)",15.970393953047893,-0.453611072593326,1.74893,-0.49741883681845067,1.75
"(55, 15)",13.650434507735325,-0.4579045825532324,1.73408,-0.49567350756645645,1.735
"(55, 20)",11.966323588189647,-0.4622679056832184,1.71932,-0.49567350756645645,1.72
"(55, 25)",9.662553929298214,-0.46670104198328355,1.7047,-0.49392817831446223,1.705
"(55, 30)",4.4173737732200316,-0.47122144474594885,1.69016,-0.4590215932745778,1.695
"(60, 25)",14.647978250050611,-0.4577649562130728,1.6973,-0.4991641660704449,1.7
"(60, 30)",1.4046914883713053,-0.46223299909817817,1.6827,-0.4660029102825547,1.685
"(60, 35)",8.830345205715128,-0.4667708551533636,1.6681000000000001,-0.492182849062468,1.67
"(60, 40)",18.14588881094469,-0.4713959776711487,1.65354,-0.41887902047871073,1.6600000000000001
"(65, 30)",5.351429745359195,-0.4531572869878078,1.6753900000000002,-0.43807764225064716,1.68
"(65, 35)",14.342346913735952,-0.4576427831654333,1.66078,-0.4991641660704449,1.6600000000000001
"(65, 40)",13.07558053334806,-0.46219809251313837,1.6461800000000002,-0.4241150082346934,1.6500000000000001
"(65, 45)",7.450259909276169,-0.4668581216159633,1.63152,-0.48869219055847957,1.635
"(65, 50)",8.944793292522217,-0.4715879638888678,1.61688,-0.44505895925862404,1.62
"(70, 30)",0.4179370586978181,-0.4439943084148372,1.6683500000000002,-0.4433136300066298,1.67
"(70, 35)",14.44684548068274,-0.44840999142238314,1.6536600000000001,-0.4066617157147512,1.6600000000000001
"(70, 40)",0.9181854464566471,-0.45291294089252876,1.6389500000000001,-0.45553093477058937,1.6400000000000001
"(70, 45)",14.068417116884905,-0.45750315682527365,1.62421,-0.4991641660704449,1.625
"(70, 50)",12.79686934086811,-0.4621631859280986,1.60949,-0.4241150082346934,1.615
"(70, 55)",7.787746142284019,-0.4669279347860429,1.59483,-0.4904375198104738,1.595
"(75, 35)",1.478652515649877,-0.4391073865092534,1.64665,-0.4433136300066298,1.645
"(75, 40)",7.8086500638692655,-0.443540522809319,1.6318500000000002,-0.42062434973070495,1.635
"(75, 45)",2.5448037314397167,-0.4480609255719843,1.61703,-0.45553093477058937,1.615
"(75, 50)",7.785073314779725,-0.4526511415047296,1.60226,-0.42935099599067605,1.605
"(75, 55)",14.953899905349806,-0.4573460771925939,1.58755,-0.5026548245744333,1.59
"(75, 60)",15.934178155563556,-0.46212827934305833,1.57287,-0.41364303272272807,1.58
"(75, 65)",11.537401331805235,-0.4670152012486426,1.5582500000000001,-0.5026548245744333,1.56
"(75, 75)",2.6093120527846607,-0.47705084444761026,1.53679,-0.4852015320544911,1.5350000000000001
"(80, 25)",0.48956831532965706,-0.42123521496883165,1.6764200000000002,-0.42236967898269917,1.675
"(80, 45)",6.665124892387022,-0.4385314278560952,1.61,-0.41887902047871073,1.615
"(80, 50)",0.4965213654662505,-0.44306928391128064,1.59519,-0.4415683007546356,1.595
"(80, 55)",0.30082205578992927,-0.44767695313654565,1.5804200000000002,-0.44680428851061826,1.58
"(80, 60)",9.244373350624679,-0.4523893421169305,1.56566,-0.4241150082346934,1.57
"(80, 65)",14.06099647369506,-0.4571889975599146,1.5509700000000002,-0.5009094953224391,1.55
"(80, 70)",5.199854891750029,-0.46209337275801854,1.53632,-0.47822021504651424,1.54
"(80, 75)",1.981756648028176,-0.46708501441872263,1.5217100000000001,-0.4729842272905316,1.5250000000000001
"(85, 35)",0.7177074318839912,-0.4202578305877145,1.63999,-0.42236967898269917,1.6400000000000001
"(85, 50)",0.5370665744931049,-0.43338270656271227,1.58827,-0.4345869837466587,1.59
"(85, 55)",5.6617010059898885,-0.43792056261789725,1.5734400000000002,-0.42062434973070495,1.575
"(85, 60)",0.43122827124754476,-0.44256313842820205,1.55861,-0.4415683007546356,1.56
"(85, 65)",0.47147489972194034,-0.447292980701107,1.54383,-0.4485496177626125,1.545
"(85, 70)",1.0996365184654613,-0.45211008943661124,1.52912,-0.45553093477058937,1.53
"(85, 75)",4.996957642970713,-0.4570319179272353,1.51444,-0.4415683007546356,1.52
"(85, 80)",6.649366463838438,-0.46205846617297874,1.49981,-0.4834562028024969,1.5
"(85, 85)",5.004985611112761,-0.46717228088132234,1.4852100000000001,-0.4834562028024969,1.485
"(85, 95)",2.7805536315171167,-0.47774897614840794,1.45626,-0.48694686130648535,1.455
"(90, 40)",1.9348639391482738,-0.414917123076612,1.6185,-0.42062434973070495,1.62
"(90, 60)",5.040818959622215,-0.4326322149843542,1.55172,-0.4171336912267165,1.555
"(90, 65)",0.9410770144609061,-0.4372922440871796,1.53685,-0.4345869837466587,1.5350000000000001
"(90, 70)",8.435405374089045,-0.44202208636008367,1.52206,-0.4153883619747223,1.5250000000000001
"(90, 75)",2.209879359554964,-0.44687410168062813,1.5073200000000002,-0.45378560551859515,1.5050000000000001
"(90, 80)",14.074276399325669,-0.4518133834637723,1.4926300000000001,-0.4066617157147512,1.5
"(90, 85)",14.025704689346362,-0.4568573850020359,1.4778700000000002,-0.5026548245744333,1.48
"(90, 90)",10.732117543433358,-0.46200610629541927,1.46322,-0.49741883681845067,1.465
"(90, 95)",4.336226067422685,-0.46727700063644173,1.4486800000000002,-0.4817108735505027,1.45
"(90, 100)",1.146443752135146,-0.47265261473258446,1.4342400000000002,-0.47647488579452,1.435
"(95, 60)",1.2975574317689362,-0.4226140250779069,1.55243,-0.41887902047871073,1.55
"(95, 70)",5.169633808387314,-0.4318468168209568,1.51519,-0.4153883619747223,1.5150000000000001
"(95, 75)",0.6327437098257167,-0.4366115656789016,1.50028,-0.4345869837466587,1.5
"(95, 80)",7.558564905808246,-0.4414810342919657,1.4854100000000001,-0.4171336912267165,1.49
"(95, 85)",2.2394834598854128,-0.4464377693676296,1.47059,-0.45378560551859515,1.47
"(95, 90)",3.3195676164631287,-0.45149922419841326,1.45591,-0.46251225177856625,1.455
"(95, 95)",12.657395956163366,-0.45668285207683645,1.4413300000000002,-0.4991641660704449,1.44
"(95, 100)",10.966284144746872,-0.46197119971037903,1.42681,-0.4991641660704449,1.425
"(95, 105)",15.793608376902426,-0.4673642670990419,1.4123100000000002,-0.41364303272272807,1.42
"(100, 60)",0.7710722685586574,-0.4125085687088599,1.54584,-0.4101523742187396,1.545
"(100, 65)",1.077905588587988,-0.41699406488648516,1.53098,-0.41364303272272807,1.53
"(100, 70)",0.380973143370354,-0.4215842808192303,1.51615,-0.42062434973070495,1.5150000000000001
"(100, 80)",1.0891318925141886,-0.43102651207251963,1.47859,-0.42760566673868183,1.48
"(100, 85)",6.752189849323655,-0.4359134339781039,1.46371,-0.41364303272272807,1.465
"(100, 90)",1.7875400292591872,-0.4408876223462874,1.4489,-0.44680428851061826,1.45
"(100, 95)",10.196381554596035,-0.4459839837621109,1.43417,-0.41189770347073384,1.44
"(100, 100)",4.34967642414553,-0.4511850649330542,1.4195600000000002,-0.4660029102825547,1.42
"(100, 105)",5.291102893295909,-0.4564908658591169,1.40504,-0.4747295565425258,1.405
"(100, 110)",9.18274349436779,-0.4619188398328191,1.39049,-0.49392817831446223,1.3900000000000001
"(100, 115)",11.361555906684355,-0.4674689868541613,1.37595,-0.42760566673868183,1.3800000000000001
"(100, 135)",0.8130845807643199,-0.49097857187852467,1.32742,-0.48869219055847957,1.33
"(105, 85)",3.047975058165497,-0.4252843788334584,1.4569800000000002,-0.4153883619747223,1.46
"(105, 90)",1.8880785928502275,-0.43017130073904264,1.44211,-0.43633231299865294,1.44
"(105, 95)",1.9480963465358425,-0.4351629423997463,1.42734,-0.4415683007546356,1.425
"(105, 100)",1.4841401354425832,-0.44027675710808944,1.41258,-0.44505895925862404,1.415
"(105, 105)",3.427800021468268,-0.4454952915715529,1.3979800000000002,-0.4572762640225836,1.4000000000000001
"(105, 110)",3.353433421419554,-0.45083599908265537,1.38331,-0.46251225177856625,1.385
"(105, 115)",3.245952371043301,-0.4562988796413978,1.3687,-0.4677482395345489,1.37
"(105, 120)",9.43569901927578,-0.4618664799552592,1.35419,-0.49567350756645645,1.355
"(110, 80)",0.9791579609554917,-0.4098382149533084,1.46529,-0.4101523742187396,1.47
"(110, 85)",0.2794568254848408,-0.41453315064117335,1.45037,-0.41364303272272807,1.45
"(110, 90)",2.7271343001471573,-0.4193328060841577,1.4354900000000002,-0.4101523742187396,1.435
"(110, 100)",7.6332841900505235,-0.4292637295280053,1.40578,-0.40317105721076274,1.41
"(110, 105)",8.010710237903757,-0.4343775442363489,1.39104,-0.4066617157147512,1.395
"(110, 110)",2.055242683272276,-0.43963098528485167,1.3763,-0.44680428851061826,1.375
"(110, 115)",2.9774105884680098,-0.4449891460884743,1.36162,-0.45553093477058937,1.36
"(110, 120)",3.845807220269049,-0.4504694799397364,1.347,-0.4642575810305605,1.345
"(110, 125)",1.8450508350339205,-0.4560719868386385,1.33241,-0.46251225177856625,1.335
"(110, 130)",10.61470989655977,-0.46181412007769973,1.3179200000000002,-0.5009094953224391,1.32
"(110, 150)",0.260298802448615,-0.48619636972806024,1.2698,-0.4852015320544911,1.27
"(110, 155)",1.0229310675059464,-0.4926715412529594,1.2556600000000002,-0.48869219055847957,1.2550000000000001
"(115, 110)",0.6961264745151162,-0.42828634514688857,1.36946,-0.4258603374866876,1.37
"(115, 115)",7.117351403906109,-0.43355723948791125,1.3547200000000001,-0.4084070449667454,1.36
"(115, 120)",0.24526923575743917,-0.438932853584054,1.33996,-0.4398229715026414,1.34
"(115, 125)",6.107366713065355,-0.4444480940203559,1.3253400000000002,-0.42236967898269917,1.33
"(115, 130)",2.8839677793796925,-0.45008550750429777,1.3107499999999999,-0.46076692252657203,1.31
"(115, 135)",3.176040935994691,-0.4558625473283988,1.29616,-0.4677482395345489,1.295
"(115, 140)",14.650789008156064,-0.4617617602001398,1.2817,-0.4066617157147512,1.29
"(115, 150)",6.916816795846601,-0.4740314248416597,1.2624,-0.5009094953224391,1.26
"(120, 115)",1.1554226755033399,-0.42200315983970893,1.34792,-0.4258603374866876,1.35
"(120, 120)",1.8674425456089891,-0.42727405418073183,1.3331199999999999,-0.42062434973070495,1.335
"(120, 125)",0.32615748196717786,-0.43268457486191414,1.31843,-0.4328416544946645,1.32
"(120, 130)",0.5653848691280211,-0.4381998152982165,1.30374,-0.43633231299865294,1.305
"(120, 135)",8.114354316558263,-0.44387213536719816,1.28913,-0.41364303272272807,1.295
"(120, 140)",10.878422375945323,-0.4496666284838189,1.27455,-0.4084070449667454,1.28
"(120, 145)",1.7825749597518685,-0.4556182012331198,1.25998,-0.46251225177856625,1.26
"(120, 150)",9.561727917192101,-0.4617094003225799,1.24546,-0.4991641660704449,1.245
"(120, 165)",1.560643081194858,-0.4809254753870378,1.20244,-0.48694686130648535,1.2
"(120, 170)",37.41886669019159,-0.48766244629973565,1.18817,-0.3351032163829881,1.205
"(125, 125)",0.9634678744431745,-0.42078142936331275,1.31168,-0.4241150082346934,1.31
"(125, 130)",0.546119739705249,-0.4261919500444953,1.2969300000000001,-0.42760566673868183,1.295
"(125, 135)",0.49087635606858154,-0.43174209706583744,1.28224,-0.4310963252426703,1.28
"(125, 140)",1.2987369715838608,-0.4374318704273388,1.26753,-0.4328416544946645,1.27
"(125, 145)",7.181011412283309,-0.4432612701290002,1.25287,-0.4153883619747223,1.2550000000000001
"(125, 150)",11.801855789438504,-0.4492302961708208,1.2382700000000002,-0.40317105721076274,1.245
"(125, 155)",12.738328575878954,-0.45535640184532067,1.22371,-0.40491638646275696,1.23
"(125, 160)",13.684048614991323,-0.4616395871525003,1.20935,-0.4066617157147512,1.215
"(125, 165)",5.457761810105148,-0.4680973053848789,1.1949500000000002,-0.4904375198104738,1.195
"(125, 170)",5.895914112250407,-0.47471210324993773,1.18059,-0.4991641660704449,1.18
"(130, 135)",5.275092283569855,-0.419489885716837,1.27556,-0.3996803987067743,1.28
"(130, 140)",0.26068652722930763,-0.42505748603069904,1.26076,-0.4258603374866876,1.26
"(130, 145)",0.9991500237324308,-0.4307647126847205,1.24601,-0.4345869837466587,1.245
"(130, 150)",0.8530168094936318,-0.4366115656789016,1.2313100000000001,-0.4398229715026414,1.23
"(130, 155)",5.527384805426743,-0.44261549830576197,1.2166299999999999,-0.42062434973070495,1.22
"(130, 160)",0.6409132212610903,-0.4487765105653021,1.2020600000000001,-0.44680428851061826,1.2
"(130, 165)",0.4961190747652069,-0.45509460245752154,1.1876300000000002,-0.45553093477058937,1.19
"(130, 170)",17.435505516379383,-0.4615872272749404,1.17326,-0.389208423194809,1.18
"(130, 175)",7.314926005826582,-0.468236931725039,1.15893,-0.4991641660704449,1.16
"(135, 145)",0.28264036847857676,-0.41811107560776173,1.23934,-0.4171336912267165,1.24
"(135, 150)",0.37887398517354315,-0.4238357555543031,1.22455,-0.42236967898269917,1.225
"(135, 155)",8.384060424169956,-0.42971751513352396,1.2097900000000001,-0.39618974020278586,1.215
"(135, 160)",9.309323873669594,-0.435738901052904,1.19512,-0.3979350694547801,1.2
"(135, 165)",5.226465805823417,-0.4419173666049643,1.1805400000000001,-0.42062434973070495,1.185
"(135, 170)",5.403683362160876,-0.4482703650822235,1.16607,-0.4258603374866876,1.17
"(135, 175)",5.2092881080874225,-0.4547978964846826,1.15165,-0.4328416544946645,1.155
"(135, 180)",9.55648336305612,-0.46151741410486036,1.13728,-0.5026548245744333,1.1400000000000001
"(140, 135)",0.6718127683542107,-0.3945665839983581,1.2723000000000002,-0.3926990816987974,1.27
"(140, 150)",0.7404973620074845,-0.41092031908954496,1.2180600000000001,-0.4084070449667454,1.22
"(140, 155)",1.0467503860824638,-0.4166449990360863,1.20319,-0.42062434973070495,1.205
"(140, 160)",7.683705785277652,-0.4225442119078271,1.1884299999999999,-0.3909537524468032,1.19
"(140, 165)",9.133776041645033,-0.4285830511197275,1.17374,-0.3909537524468032,1.18
"(140, 170)",9.640726105097256,-0.4347964232568273,1.15916,-0.39444441095079164,1.165
"(140, 175)",1.7185266613999959,-0.4411843283191268,1.14467,-0.4485496177626125,1.145
"(140, 180)",8.32189795906693,-0.44774676630662524,1.1302500000000002,-0.41189770347073384,1.135
"(140, 185)",0.29000252957821454,-0.45450119051184323,1.1158400000000002,-0.45553093477058937,1.115
"(140, 190)",0.3834950436952723,-0.4614301476422611,1.10147,-0.46251225177856625,1.1
"(145, 150)",3.5115107615530725,-0.39784780299210754,1.21164,-0.3839724354388263,1.215
"(145, 155)",4.391724581194379,-0.40343285659848926,1.19678,-0.38571776469082053,1.2
