,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",1.8723291888559797,-0.4750611691003366,1.7919800000000001,-0.47996554429845295,1.79
"(40, 10)",0.5449638864514001,-0.47944194552284225,1.7774500000000002,-0.47996554429845295,1.7750000000000001
"(45, 5)",13.063845813576302,-0.46657886893564404,1.7782,-0.5017821599483818,1.78
"(45, 10)",11.359402619290547,-0.4709072854805898,1.76354,-0.5017821599483818,1.7650000000000001
"(50, 5)",17.760309599589366,-0.4580267556008719,1.7709000000000001,-0.5061454830783676,1.77
"(50, 10)",8.06541821557855,-0.4623028122682582,1.75618,-0.4843288674284387,1.7550000000000001
"(50, 15)",11.166886220042684,-0.46664868210572363,1.74149,-0.49741883681839605,1.74
"(50, 20)",7.915299029566991,-0.47106436511326955,1.7268100000000002,-0.4930555136884103,1.725
"(50, 25)",0.5707503530931757,-0.47556731458341517,1.7122600000000001,-0.4756022211684672,1.715
"(50, 30)",1.5549894316649537,-0.4801400772236404,1.69771,-0.4843288674284387,1.7
"(55, 5)",1.6353469648481813,-0.44940482909601975,1.7637200000000002,-0.4537856055185383,1.7650000000000001
"(55, 10)",6.429624177641143,-0.453611072593326,1.74893,-0.4712388980384814,1.75
"(55, 15)",14.280974056602066,-0.4579045825532324,1.73408,-0.49741883681839605,1.735
"(55, 20)",11.02879974200206,-0.4622679056832184,1.71932,-0.4930555136884103,1.72
"(55, 25)",13.998787837394728,-0.46670104198328355,1.7047,-0.5061454830783676,1.705
"(55, 30)",9.212497363433881,-0.47122144474594885,1.69016,-0.49741883681839605,1.69
"(60, 25)",6.330390712276725,-0.4577649562130728,1.6973,-0.4756022211684672,1.7
"(60, 30)",1.5096705246770443,-0.46223299909817817,1.6827,-0.4581489286485241,1.685
"(60, 35)",9.133051388737845,-0.4667708551533636,1.6681000000000001,-0.4930555136884103,1.67
"(60, 40)",0.308935420009808,-0.4713959776711487,1.65354,-0.4712388980384814,1.655
"(65, 30)",1.3047095428352187,-0.4531572869878078,1.6753900000000002,-0.44942228238855253,1.675
"(65, 35)",6.206532139325948,-0.4576427831654333,1.66078,-0.4756022211684672,1.6600000000000001
"(65, 40)",0.26735319143132813,-0.46219809251313837,1.6461800000000002,-0.46251225177850985,1.645
"(65, 45)",11.844708137354008,-0.4668581216159633,1.63152,-0.5017821599483818,1.6300000000000001
"(65, 50)",2.891482310607872,-0.4715879638888678,1.61688,-0.47996554429845295,1.62
"(70, 30)",2.6848711949572026,-0.4439943084148372,1.6683500000000002,-0.4363323129985952,1.67
"(70, 35)",10.262459547073984,-0.44840999142238314,1.6536600000000001,-0.4188790204786521,1.6600000000000001
"(70, 40)",1.7974941044077277,-0.45291294089252876,1.6389500000000001,-0.4581489286485241,1.6400000000000001
"(70, 45)",7.587801339265873,-0.45750315682527365,1.62421,-0.47996554429845295,1.625
"(70, 50)",0.156557563390276,-0.4621631859280986,1.60949,-0.46251225177850985,1.61
"(70, 55)",8.654881906420083,-0.4669279347860429,1.59483,-0.4930555136884103,1.595
