,RMSE,Error > 1m
"(40, 5)",0.4114389048125021,False
"(40, 10)",0.5296973978688297,False
"(45, 5)",0.37530874581757967,False
"(45, 10)",1.346642299167984,True
"(50, 5)",19.324304674791122,True
"(50, 10)",9.627082666763545,True
"(50, 15)",1.773139828147753,True
"(50, 20)",9.448350234561913,True
"(50, 25)",18.775828525426732,True
"(50, 30)",18.745221453477345,True
"(55, 5)",0.7754082613433654,False
"(55, 10)",19.089176733530696,True
"(55, 15)",9.484606178353724,True
"(55, 20)",9.380154277602504,True
"(55, 25)",9.328352091428894,True
"(55, 30)",0.03350096549747665,False
"(60, 25)",9.272108510720612,True
"(60, 30)",1.519281025121395,True
"(60, 35)",9.097783693104123,True
"(60, 40)",18.092320822973097,True
"(65, 30)",9.1888161514027,True
"(65, 35)",9.04629928380334,True
"(65, 40)",9.007419732712767,True
"(65, 45)",8.88203316208271,True
"(65, 50)",17.61827798708086,True
"(70, 30)",0.34329674864727905,False
"(70, 35)",9.120360196292463,True
"(70, 40)",0.21829806208771732,False
"(70, 45)",8.870462393739393,True
"(70, 50)",17.6999787655529,True
"(70, 55)",8.715862938831467,True
"(75, 35)",1.3827346567550416,True
"(75, 40)",8.88327520354289,True
"(75, 45)",8.826137939726324,True
"(75, 50)",17.543338811856174,True
"(75, 55)",17.279159423582744,True
"(75, 60)",17.197211154626757,True
"(75, 65)",8.47935602082874,True
"(75, 75)",0.6622012480892874,False
"(80, 25)",1.330228548599113,True
"(80, 45)",8.7556879348816,True
"(80, 50)",1.0778998065534675,True
"(80, 55)",0.08710731201869262,False
"(80, 60)",8.566405675869019,True
"(80, 65)",8.421688345590102,True
"(80, 70)",8.386317359531589,True
"(80, 75)",0.3544552348922655,False
"(85, 35)",0.002213631621015771,False
"(85, 50)",0.35925731362567986,False
"(85, 55)",8.570012515219092,True
"(85, 60)",0.28841710642947105,False
"(85, 65)",1.2797301806285573,True
"(85, 70)",8.628506070384816,True
"(85, 75)",8.312062357268978,True
"(85, 80)",8.133941710987123,True
"(85, 85)",8.121966171882795,True
"(85, 95)",0.7738059473780968,False
"(90, 40)",0.31028444349405837,False
"(90, 60)",8.430908234694884,True
"(90, 65)",0.6534515049580196,False
"(90, 70)",8.445384540544683,True
"(90, 75)",0.5552635960924369,False
"(90, 80)",16.29591925124246,True
"(90, 85)",8.026488316883523,True
"(90, 90)",7.942157369544876,True
"(90, 95)",7.853903570921035,True
"(90, 100)",0.8764140827459366,False
"(95, 60)",0.5015695194684967,False
"(95, 70)",8.2957971348841,True
"(95, 75)",0.058024006345450185,False
"(95, 80)",8.11953788411603,True
"(95, 85)",0.12213828365960042,False
"(95, 90)",0.8461815609310002,False
"(95, 95)",15.598976487552804,True
"(95, 100)",7.7563558557163335,True
"(95, 105)",23.024357442165883,True
"(100, 60)",0.8584566003830053,False
"(100, 65)",0.2021226369561765,False
"(100, 70)",0.7936284154486886,False
"(100, 80)",0.29179646659866176,False
"(100, 85)",8.050529053231703,True
"(100, 90)",0.22752306486018947,False
"(100, 95)",15.598309668160866,True
"(100, 100)",0.09097112123509779,False
"(100, 105)",1.0242007135311568,True
"(100, 110)",7.509523090270653,True
"(100, 115)",14.905545674773961,True
"(100, 135)",0.5272139186307424,False
"(105, 85)",0.6247975731543436,False
"(105, 90)",0.4362996279800827,False
"(105, 95)",0.5497378166750104,False
"(105, 100)",0.5329249613046221,False
"(105, 105)",0.4169919324945942,False
"(105, 110)",0.6829430164539182,False
"(105, 115)",7.3983871134688535,True
"(105, 120)",7.342294847220136,True
"(110, 80)",0.9746313631489281,False
