,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",202.46243559748513,-0.4750611691003366,1.7919800000000001,-0.9756390518648672,2.0300000000000002
"(40, 10)",8.732461276900342,-0.47944194552284225,1.7774500000000002,-0.5026548245744333,1.7850000000000001
"(45, 5)",65.17534946167154,-0.46657886893564404,1.7782,-0.4904375198104738,1.468
"(45, 10)",62.223621443757864,-0.4709072854805898,1.76354,-0.492182849062468,1.467
"(50, 5)",64.1816451309785,-0.4580267556008719,1.7709000000000001,-0.492182849062468,1.468
"(50, 10)",60.88838764073822,-0.4623028122682582,1.75618,-0.492182849062468,1.468
"(50, 15)",57.821597973678266,-0.46664868210572363,1.74149,-0.492182849062468,1.467
"(50, 20)",13.67536883058537,-0.47106436511326955,1.7268100000000002,-0.507890812330416,1.742
"(50, 25)",52.40008153641844,-0.47556731458341517,1.7122600000000001,-0.492182849062468,1.462
"(50, 30)",49.01936462627079,-0.4801400772236404,1.69771,-0.492182849062468,1.463
"(55, 5)",62.88500667111015,-0.44940482909601975,1.7637200000000002,-0.492182849062468,1.47
"(55, 10)",59.94169001102379,-0.453611072593326,1.74893,-0.492182849062468,1.468
"(55, 15)",56.88789035576467,-0.4579045825532324,1.73408,-0.4904375198104738,1.466
"(55, 20)",53.68246710611794,-0.4622679056832184,1.71932,-0.492182849062468,1.466
"(55, 25)",50.72232651019936,-0.46670104198328355,1.7047,-0.4904375198104738,1.464
"(55, 30)",47.9823166275167,-0.47122144474594885,1.69016,-0.492182849062468,1.462
"(60, 25)",49.336325879152994,-0.4577649562130728,1.6973,-0.4904375198104738,1.466
"(60, 30)",46.438981369329376,-0.46223299909817817,1.6827,-0.4904375198104738,1.464
"(60, 35)",44.27727013144815,-0.4667708551533636,1.6681000000000001,-0.492182849062468,1.459
"(60, 40)",40.807128448022986,-0.4713959776711487,1.65354,-0.492182849062468,1.46
"(65, 30)",43.808368770541136,-0.4531572869878078,1.6753900000000002,-0.492182849062468,1.474
"(65, 35)",39.6526543193114,-0.4576427831654333,1.66078,-0.492182849062468,1.478
"(65, 40)",37.09587976086512,-0.46219809251313837,1.6461800000000002,-0.492182849062468,1.474
"(65, 45)",31.691574723418192,-0.4668581216159633,1.63152,-0.49392817831446223,1.485
"(65, 50)",32.131069230937726,-0.4715879638888678,1.61688,-0.4904375198104738,1.465
"(70, 30)",44.537944717515266,-0.4439943084148372,1.6683500000000002,-0.492182849062468,1.468
"(70, 35)",40.74758592841171,-0.44840999142238314,1.6536600000000001,-0.492182849062468,1.47
"(70, 40)",35.98432158799027,-0.45291294089252876,1.6389500000000001,-0.4904375198104738,1.476
"(70, 45)",35.71904476280817,-0.45750315682527365,1.62421,-0.4904375198104738,1.46
"(70, 50)",30.75153601448108,-0.4621631859280986,1.60949,-0.4904375198104738,1.468
"(70, 55)",27.635243761300853,-0.4669279347860429,1.59483,-0.48869219055847957,1.466
"(75, 35)",41.29147495138403,-0.4391073865092534,1.64665,-0.492182849062468,1.466
"(75, 40)",36.92225851418795,-0.443540522809319,1.6318500000000002,-0.492182849062468,1.471
"(75, 45)",34.59994936794043,-0.4480609255719843,1.61703,-0.492182849062468,1.465
"(75, 50)",30.59973098662693,-0.4526511415047296,1.60226,-0.492182849062468,1.468
"(75, 55)",25.2517087121278,-0.4573460771925939,1.58755,-0.4904375198104738,1.477
"(75, 60)",21.822265233933027,-0.46212827934305833,1.57287,-0.4904375198104738,1.477
"(75, 65)",17.287233127819665,-0.4670152012486426,1.5582500000000001,-0.49741883681845067,1.489
"(75, 75)",9.258760678835618,-0.47705084444761026,1.53679,-0.492182849062468,1.575
"(80, 25)",24.60926278548543,-0.42123521496883165,1.6764200000000002,-0.48869219055847957,1.6360000000000001
"(80, 45)",32.497460053384714,-0.4385314278560952,1.61,-0.48869219055847957,1.474
"(80, 50)",30.62131843233735,-0.44306928391128064,1.59519,-0.49392817831446223,1.47
