,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",368.75204014388515,-0.4750611691003366,1.7919800000000001,0.9180431865488625,0.121
"(40, 10)",363.2533548741259,-0.47944194552284225,1.7774500000000002,0.8831366015089781,0.184
"(45, 5)",267.63335310306013,-0.46657886893564404,1.7782,-0.6614797865059074,0.508
"(45, 10)",318.7026081603653,-0.4709072854805898,1.76354,0.22165681500316836,0.323
"(50, 5)",425.8544503998294,-0.4580267556008719,1.7709000000000001,1.2897983172236316,0.753
"(50, 10)",239.26115451947288,-0.4623028122682582,1.75618,0.23911010752311057,1.5250000000000001
"(50, 15)",13.733092332919126,-0.46664868210572363,1.74149,-0.5044001538264276,1.745
"(50, 20)",315.9075728463904,-0.47106436511326955,1.7268100000000002,0.439822971502446,1.721
"(50, 25)",167.28332658175123,-0.47556731458341517,1.7122600000000001,-0.07679448708784342,1.127
"(50, 30)",314.7614016069894,-0.4801400772236404,1.69771,0.4817108735503073,0.382
"(55, 5)",337.79312198411037,-0.44940482909601975,1.7637200000000002,0.6876597252856254,0.996
"(55, 10)",317.98353160960534,-0.453611072593326,1.74893,0.4520402762664055,0.42
"(55, 15)",308.4634795472454,-0.4579045825532324,1.73408,-1.4067353771074398,1.464
"(55, 20)",404.27519151682594,-0.4622679056832184,1.71932,1.008800307652562,1.088
"(55, 25)",24.423588139449997,-0.46670104198328355,1.7047,-0.3996803987067743,1.674
"(55, 30)",398.7116652943296,-0.47122144474594885,1.69016,1.1222467090321864,0.864
"(60, 25)",228.75568714170805,-0.4577649562130728,1.6973,-1.1536626355682778,1.1500000000000001
"(60, 30)",366.77218241009757,-0.46223299909817817,1.6827,1.29328897572762,0.299
"(60, 35)",332.98386478270913,-0.4667708551533636,1.6681000000000001,-0.357792496658913,0.068
"(60, 40)",17.505361153322088,-0.4713959776711487,1.65354,-0.42062434973070495,1.645
"(65, 30)",6.694422440448797,-0.4531572869878078,1.6753900000000002,-0.44680428851061826,1.645
"(65, 35)",319.99022498348563,-0.4576427831654333,1.66078,0.5637413483940357,0.267
"(65, 40)",131.93515375771904,-0.46219809251313837,1.6461800000000002,-0.10122909661576251,1.286
"(65, 45)",212.77800741583533,-0.4668581216159633,1.63152,0.12915436464747465,0.893
"(65, 50)",257.0216032445276,-0.4715879638888678,1.61688,-1.2548917321839426,0.668
"(70, 30)",128.3352506805051,-0.4439943084148372,1.6683500000000002,-0.09075712110379719,1.7830000000000001
"(70, 35)",339.53954761321586,-0.44840999142238314,1.6536600000000001,0.7278022980814924,0.057
"(70, 40)",339.55407699615085,-0.45291294089252876,1.6389500000000001,1.0297442586764927,0.191
"(70, 45)",9.94335633926483,-0.45750315682527365,1.62421,-0.48694686130648535,1.625
"(70, 50)",299.98237249265446,-0.4621631859280986,1.60949,0.5445427266220992,0.376
"(70, 55)",12.492166530606546,-0.4669279347860429,1.59483,-0.5009094953224391,1.62
"(75, 35)",247.49371854119966,-0.4391073865092534,1.64665,-0.989601685880821,0.582
"(75, 40)",113.20200720812798,-0.443540522809319,1.6318500000000002,-0.14311699866362382,1.307
"(75, 45)",148.10052293691658,-0.4480609255719843,1.61703,-0.0052359877560803625,1.6280000000000001
"(75, 50)",201.7741923563013,-0.4526511415047296,1.60226,-1.068141502220561,1.012
"(75, 55)",291.50315345559494,-0.4573460771925939,1.58755,-0.0663225115758781,0.201
"(75, 60)",22.57939681855857,-0.46212827934305833,1.57287,-0.39444441095079164,1.592
"(75, 65)",141.1990093219028,-0.4670152012486426,1.5582500000000001,-0.8936085770211388,1.201
"(75, 75)",254.0020565411098,-0.47705084444761026,1.53679,0.029670597283804057,0.364
"(80, 25)",265.8017836850936,-0.42123521496883165,1.6764200000000002,0.24434609527909323,0.561
"(80, 45)",195.2909379611617,-0.4385314278560952,1.61,-0.8447393579653006,0.787
"(80, 50)",263.90934369738136,-0.44306928391128064,1.59519,0.3071779483508852,1.824
"(80, 55)",449.7161612755571,-0.44767695313654565,1.5804200000000002,1.1239920382841806,1.48
"(80, 60)",234.22288009900856,-0.4523893421169305,1.56566,0.2984513020909141,1.5090000000000001
"(80, 65)",10.701449006116988,-0.4571889975599146,1.5509700000000002,-0.4904375198104738,1.552
"(80, 70)",252.05942151671084,-0.46209337275801854,1.53632,0.0663225115756827,0.39
