,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",310.42219821825927,-0.4750611691003366,1.7919800000000001,-1.3631021458075843,0.584
"(40, 10)",295.19135888484624,-0.47944194552284225,1.7774500000000002,0.4153883619745269,0.801
"(45, 5)",90.89275402148361,-0.46657886893564404,1.7782,-0.6230825429620346,1.42
"(45, 10)",329.53013790631775,-0.4709072854805898,1.76354,0.5497787143780819,0.433
"(50, 5)",296.835893535627,-0.4580267556008719,1.7709000000000001,0.4677482395343535,0.907
"(50, 10)",425.2620617564891,-0.4623028122682582,1.75618,1.0384709049364638,1.169
"(50, 15)",242.464608009237,-0.46664868210572363,1.74149,-0.21816615649937532,0.606
"(50, 20)",82.21154442161811,-0.47106436511326955,1.7268100000000002,-0.7016223593017745,1.674
"(50, 25)",247.28249073102924,-0.47556731458341517,1.7122600000000001,-0.21467549799538688,0.552
"(50, 30)",254.4737071339094,-0.4801400772236404,1.69771,0.3228859116188332,1.228
"(55, 5)",55.707883974357536,-0.44940482909601975,1.7637200000000002,-0.37175513067486676,1.988
"(55, 10)",219.71082011158916,-0.453611072593326,1.74893,-0.7539822368616012,0.752
"(55, 15)",302.5279571377837,-0.4579045825532324,1.73408,-1.09257611174848,0.371
"(55, 20)",126.49886139214959,-0.4622679056832184,1.71932,-0.8203047484373815,1.534
"(55, 25)",202.89597579351184,-0.46670104198328355,1.7047,-0.595157274930127,0.741
"(55, 30)",370.043924184232,-0.47122144474594885,1.69016,1.1519173063160881,0.47000000000000003
"(60, 25)",28.916438419649488,-0.4577649562130728,1.6973,-0.4817108735505027,1.564
"(60, 30)",287.9806796068381,-0.46223299909817817,1.6827,-1.1920598791121506,2.064
"(60, 35)",245.63229848698893,-0.4667708551533636,1.6681000000000001,-1.115265392024405,1.945
"(60, 40)",273.4688309710752,-0.4713959776711487,1.65354,0.40317105721056734,1.4060000000000001
"(65, 30)",383.7038878109536,-0.4531572869878078,1.6753900000000002,1.080358806984325,0.835
"(65, 35)",304.5148756378807,-0.4576427831654333,1.66078,0.4572762640223882,0.372
"(65, 40)",174.76533886883402,-0.46219809251313837,1.6461800000000002,-0.720820981073711,0.864
"(65, 45)",267.3216163761386,-0.4668581216159633,1.63152,-0.41887902047871073,0.34600000000000003
"(65, 50)",25.701889468506014,-0.4715879638888678,1.61688,-0.46251225177856625,1.494
"(70, 30)",258.7807169100122,-0.4439943084148372,1.6683500000000002,-1.186823891356168,1.752
"(70, 35)",257.77296782438054,-0.44840999142238314,1.6536600000000001,-1.061160185212584,0.558
"(70, 40)",257.8828719947641,-0.45291294089252876,1.6389500000000001,-0.045378560551947444,0.448
"(70, 45)",162.31792132435575,-0.45750315682527365,1.62421,-0.9564404300929308,1.349
"(70, 50)",207.1588829483695,-0.4621631859280986,1.60949,-1.0786134777325262,0.9550000000000001
"(70, 55)",315.48390407777356,-0.4669279347860429,1.59483,0.7923794804052786,0.436
"(75, 35)",334.69669303513234,-0.4391073865092534,1.64665,0.4852015320542957,1.921
"(75, 40)",308.1106351356686,-0.443540522809319,1.6318500000000002,0.6789330790256543,0.893
"(75, 45)",86.01886236068266,-0.4480609255719843,1.61703,-0.2164208272473811,1.7570000000000001
"(75, 50)",110.88398837629123,-0.4526511415047296,1.60226,-0.21293016874339266,1.182
"(75, 55)",293.6974721323719,-0.4573460771925939,1.58755,0.5969026041819259,0.47600000000000003
"(75, 60)",252.4548569474806,-0.46212827934305833,1.57287,-1.3247049022637114,0.795
"(75, 65)",317.28905313480277,-0.4670152012486426,1.5582500000000001,0.9093165402888914,0.33
"(75, 75)",74.53763356268142,-0.47705084444761026,1.53679,-0.46251225177856625,1.176
"(80, 25)",84.21180452280423,-0.42123521496883165,1.6764200000000002,-0.38746309394281475,1.2730000000000001
"(80, 45)",199.39256228663717,-0.4385314278560952,1.61,-1.0716321607245494,1.415
"(80, 50)",262.1421242273623,-0.44306928391128064,1.59519,0.07679448708764802,0.402
"(80, 55)",243.4005889717854,-0.44767695313654565,1.5804200000000002,0.22165681500316836,1.8820000000000001
"(80, 60)",370.2888631050941,-0.4523893421169305,1.56566,1.1397000015521286,0.8230000000000001
"(80, 65)",257.03781214466727,-0.4571889975599146,1.5509700000000002,-0.5305800926063409,0.313
"(80, 70)",241.54571365856646,-0.46209337275801854,1.53632,-0.6352998477259941,0.379
"(80, 75)",132.6005484774244,-0.46708501441872263,1.5217100000000001,-0.08203047484382608,1.123
"(85, 35)",158.5005917898519,-0.4202578305877145,1.63999,-0.048869219055935886,2.0100000000000002
"(85, 50)",276.4589020855505,-0.43338270656271227,1.58827,-1.3281955607676998,1.481
"(85, 55)",311.7253928724871,-0.43792056261789725,1.5734400000000002,0.4502949470144113,0.11800000000000001
"(85, 60)",321.95752923702344,-0.44256313842820205,1.55861,0.6579891280017236,1.397
"(85, 65)",101.90416629509993,-0.447292980701107,1.54383,-0.38048177693483787,1.06
"(85, 70)",522.4431147673874,-0.45211008943661124,1.52912,1.3055062804915796,1.739
"(85, 75)",303.1940296759007,-0.4570319179272353,1.51444,0.28797932657894876,0.07100000000000001
"(85, 80)",39.36457023372555,-0.46205846617297874,1.49981,-0.3839724354388263,1.645
"(85, 85)",265.28901868651036,-0.46717228088132234,1.4852100000000001,0.4502949470144113,0.402
"(85, 95)",274.71825668075775,-0.47774897614840794,1.45626,0.5881759579219548,0.331
"(90, 40)",224.6425329814654,-0.414917123076612,1.6185,0.17976891295530706,0.743
"(90, 60)",133.30635784251825,-0.4326322149843542,1.55172,-0.11344640137972206,1.054
"(90, 65)",270.73737145103297,-0.4372922440871796,1.53685,0.19547687622325505,0.302
"(90, 70)",139.14231859445056,-0.44202208636008367,1.52206,-0.8482300164692891,1.1
"(90, 75)",243.40765049855557,-0.44687410168062813,1.5073200000000002,-0.045378560551947444,0.371
"(90, 80)",223.7497183755427,-0.4518133834637723,1.4926300000000001,-0.16057029118356603,0.438
"(90, 85)",270.32417808870986,-0.4568573850020359,1.4778700000000002,0.5462880558740935,1.185
"(90, 90)",104.24126839579613,-0.46200610629541927,1.46322,-0.5410520681183062,1.949
"(90, 95)",103.83009742485683,-0.46727700063644173,1.4486800000000002,-0.8098327729254162,1.488
"(90, 100)",298.0912149941218,-0.47265261473258446,1.4342400000000002,1.055924197456406,0.223
"(95, 60)",215.95929335513094,-0.4226140250779069,1.55243,0.3019419605949025,1.352
"(95, 70)",123.5521234129757,-0.4318468168209568,1.51519,-0.42935099599067605,0.919
"(95, 75)",314.8386766662463,-0.4366115656789016,1.50028,0.5235987755981686,1.754
"(95, 80)",100.80640443634003,-0.4414810342919657,1.4854100000000001,-0.1343903524036527,1.604
"(95, 85)",262.07236555616714,-0.4464377693676296,1.47059,0.24783675378308168,0.28300000000000003
"(95, 90)",296.44981277634037,-0.45149922419841326,1.45591,0.9197885158008567,0.418
"(95, 95)",193.7012791857706,-0.45668285207683645,1.4413300000000002,0.18849555921527816,1.5070000000000001
"(95, 100)",358.0182180602094,-0.46197119971037903,1.42681,0.7120943348135444,1.678
"(95, 105)",151.43937075272734,-0.4673642670990419,1.4123100000000002,-0.5829399701661675,0.6880000000000001
"(100, 60)",331.71157603637045,-0.4125085687088599,1.54584,0.8412486994611168,1.135
"(100, 65)",321.0668849273596,-0.41699406488648516,1.53098,0.5096361415822148,1.881
"(100, 70)",291.5341602344411,-0.4215842808192303,1.51615,0.7452555906014346,0.358
"(100, 80)",226.30452755783188,-0.43102651207251963,1.47859,-1.1780972450961968,0.654
"(100, 85)",102.47227882045733,-0.4359134339781039,1.46371,-0.6161012259540577,1.02
"(100, 90)",298.6812272307127,-0.4408876223462874,1.4489,-0.17104226669553135,0.005
"(100, 95)",310.7526538568139,-0.4459839837621109,1.43417,1.3735741213193542,0.219
"(100, 100)",74.63373526627775,-0.4511850649330542,1.4195600000000002,-0.6178465552060519,1.1260000000000001
"(100, 105)",151.7006968955103,-0.4564908658591169,1.40504,-0.7749261878855318,0.746
"(100, 110)",242.68903489866136,-0.4619188398328191,1.39049,-1.1536626355682778,1.843
"(100, 115)",267.40320643976764,-0.4674689868541613,1.37595,0.6632251157577063,0.224
"(100, 135)",396.2151412614859,-0.49097857187852467,1.32742,0.9599310885967238,1.581
"(105, 85)",114.60797098166152,-0.4252843788334584,1.4569800000000002,-0.7731808586335376,1.615
"(105, 90)",233.99487307963818,-0.43017130073904264,1.44211,-1.3316862192716883,0.857
"(105, 95)",177.25612634664773,-0.4351629423997463,1.42734,0.020943951023832952,0.6980000000000001
"(105, 100)",333.08533585269623,-0.44027675710808944,1.41258,1.4835298641949901,0.43
"(105, 105)",278.07956906235364,-0.4454952915715529,1.3979800000000002,0.8290313946971573,0.5720000000000001
"(105, 110)",174.69667574715638,-0.45083599908265537,1.38331,-1.0559241974566014,0.8250000000000001
"(105, 115)",223.3191084359986,-0.4562988796413978,1.3687,0.4310963252424749,1.08
"(105, 120)",214.8454285210201,-0.4618664799552592,1.35419,0.392699081698602,1.098
"(110, 80)",182.80178440169658,-0.4098382149533084,1.46529,-0.01919862177203413,0.67
"(110, 85)",120.00473391914136,-0.41453315064117335,1.45037,-0.5585053606382484,1.977
"(110, 90)",21.242970973319025,-0.4193328060841577,1.4354900000000002,-0.40491638646275696,1.536
"(110, 100)",199.3199053955326,-0.4292637295280053,1.40578,0.289724655830943,0.785
"(110, 105)",3.995288224171626,-0.4343775442363489,1.39104,-0.42062434973070495,1.3880000000000001
"(110, 110)",279.48532399785705,-0.43963098528485167,1.3763,0.9197885158008567,0.13
"(110, 115)",322.8375702777666,-0.4449891460884743,1.36162,0.9983283321405967,0.966
"(110, 120)",284.9117523874265,-0.4504694799397364,1.347,0.8011061266652497,0.9490000000000001
"(110, 125)",155.42339963421045,-0.4560719868386385,1.33241,-1.0576695267085956,1.1340000000000001
"(110, 130)",260.4081705796407,-0.46181412007769973,1.3179200000000002,0.8098327729252208,0.262
"(110, 150)",65.7833181723417,-0.48619636972806024,1.2698,-0.7347836150896647,1.313
"(110, 155)",143.73738071528572,-0.4926715412529594,1.2556600000000002,0.09773843811157867,1.1460000000000001
"(115, 110)",103.1046965108829,-0.42828634514688857,1.36946,-0.12042771838769895,1.584
"(115, 115)",172.55744931066513,-0.43355723948791125,1.3547200000000001,0.1413716694114342,1.5350000000000001
"(115, 120)",293.5321347323898,-0.438932853584054,1.33996,0.31939525311484473,2.06
"(115, 125)",160.4829603358031,-0.4444480940203559,1.3253400000000002,-0.16057029118356603,1.958
"(115, 130)",180.0942790603396,-0.45008550750429777,1.3107499999999999,0.25307274153906434,0.78
"(115, 135)",306.07697518162774,-0.4558625473283988,1.29616,0.8395033702091226,1.166
"(115, 140)",154.3379297178617,-0.4617617602001398,1.2817,0.1570796326793822,1.153
"(115, 150)",115.3199644301816,-0.4740314248416597,1.2624,-0.3019419605950979,0.72
"(120, 115)",202.81505851024383,-0.42200315983970893,1.34792,0.19547687622325505,1.699
"(120, 120)",121.66952423474433,-0.42727405418073183,1.3331199999999999,-0.05585053606391277,0.903
"(120, 125)",134.45683646819842,-0.43268457486191414,1.31843,-0.9512044423369481,1.137
"(120, 130)",306.1109360963128,-0.4381998152982165,1.30374,0.9232791743048452,1.039
"(120, 135)",192.87883533210268,-0.44387213536719816,1.28913,-0.9005898940291157,0.41000000000000003
"(120, 140)",181.31624812486916,-0.4496666284838189,1.27455,0.2844886680749603,0.721
