,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",3.1325623742928754,-0.4750611691003366,1.7919800000000001,-0.4834562028024969,1.7910000000000001
"(40, 10)",1.0971624074491,-0.47944194552284225,1.7774500000000002,-0.47647488579452,1.7770000000000001
"(45, 5)",12.76766797591022,-0.46657886893564404,1.7782,-0.5009094953224391,1.782
"(45, 10)",24.9778841217992,-0.4709072854805898,1.76354,-0.40317105721076274,1.77
"(50, 5)",18.40245893248513,-0.4580267556008719,1.7709000000000001,-0.507890812330416,1.77
"(50, 10)",12.214477330630986,-0.4623028122682582,1.75618,-0.49567350756645645,1.7550000000000001
"(50, 15)",11.8199295195341,-0.46664868210572363,1.74149,-0.4991641660704449,1.744
"(50, 20)",6.381409731213912,-0.47106436511326955,1.7268100000000002,-0.48869219055847957,1.73
"(50, 25)",6.524534334985278,-0.47556731458341517,1.7122600000000001,-0.4572762640225836,1.713
"(50, 30)",14.92973122601924,-0.4801400772236404,1.69771,-0.43807764225064716,1.703
"(55, 5)",1.382591977168328,-0.44940482909601975,1.7637200000000002,-0.4520402762666009,1.7590000000000001
"(55, 10)",15.326259711829422,-0.453611072593326,1.74893,-0.49567350756645645,1.749
"(55, 15)",13.648722673802409,-0.4579045825532324,1.73408,-0.49567350756645645,1.731
"(55, 20)",12.643833902096464,-0.4622679056832184,1.71932,-0.49741883681845067,1.724
"(55, 25)",9.661857771587126,-0.46670104198328355,1.7047,-0.49392817831446223,1.703
"(55, 30)",8.032772847221013,-0.47122144474594885,1.69016,-0.49392817831446223,1.694
"(60, 25)",10.39588164066378,-0.4577649562130728,1.6973,-0.48694686130648535,1.703
"(60, 30)",12.963143352290146,-0.46223299909817817,1.6827,-0.4991641660704449,1.686
"(60, 35)",10.026886453640644,-0.4667708551533636,1.6681000000000001,-0.49567350756645645,1.668
"(60, 40)",12.678808749348612,-0.4713959776711487,1.65354,-0.4345869837466587,1.6560000000000001
"(65, 30)",0.9924524374755066,-0.4531572869878078,1.6753900000000002,-0.4520402762666009,1.671
"(65, 35)",12.566372379701782,-0.4576427831654333,1.66078,-0.49392817831446223,1.6640000000000001
"(65, 40)",14.26846181623242,-0.46219809251313837,1.6461800000000002,-0.42062434973070495,1.6500000000000001
"(65, 45)",10.368223211220675,-0.4668581216159633,1.63152,-0.49741883681845067,1.6320000000000001
"(65, 50)",9.49982936986596,-0.4715879638888678,1.61688,-0.4433136300066298,1.617
"(70, 30)",0.27325049486804737,-0.4439943084148372,1.6683500000000002,-0.4433136300066298,1.669
