,RMSE,Error > 1m
"(40, 5)",0.4114389048125021,False
"(40, 10)",0.5296973978688297,False
"(45, 5)",49.00344824808554,True
"(45, 10)",19.32743544835681,True
"(50, 5)",9.666563500658032,True
"(50, 10)",9.621494725443828,True
"(50, 15)",9.502253585649067,True
"(50, 20)",37.89499588992253,True
"(50, 25)",0.4706182242578773,False
"(50, 30)",0.4767128624349537,False
"(55, 5)",0.7754082613433654,False
"(55, 10)",0.22305752859950626,False
"(55, 15)",0.8500300459851003,False
"(55, 20)",0.141638170056581,False
"(55, 25)",0.9785699292647281,False
"(55, 30)",0.03350096549747665,False
"(60, 25)",27.770530179691413,True
"(60, 30)",9.177618584958184,True
"(60, 35)",27.264973346461076,True
"(60, 40)",54.67271847794961,True
"(65, 30)",46.22385472883257,True
"(65, 35)",0.16226435052553795,False
"(65, 40)",36.096373698997596,True
"(65, 45)",8.88203316208271,True
"(65, 50)",8.826196462075249,True
"(70, 30)",36.35188299934193,True
"(70, 35)",18.091536011685843,True
"(70, 40)",0.21829806208771732,False
"(70, 45)",0.8749958544875533,False
"(70, 50)",0.10596480888088247,False
"(70, 55)",17.401067287735703,True
"(75, 35)",9.000349290188986,True
"(75, 40)",8.883899398267763,True
"(75, 45)",44.520357043593314,True
"(75, 50)",8.71663528414396,True
"(75, 55)",8.652211339638107,True
"(75, 60)",51.979247823592836,True
"(75, 65)",25.40852287690965,True
"(75, 75)",16.629726609245747,True
"(80, 25)",0.7414705023538891,False
"(80, 45)",0.0010010410709730417,False
"(80, 50)",17.39710808532419,True
"(80, 55)",0.08710731201869262,False
"(80, 60)",34.29685795074742,True
"(80, 65)",0.20119506294996387,False
"(80, 70)",50.61370068452591,True
"(80, 75)",8.259733738927308,True
"(85, 35)",0.002213631621015771,False
"(85, 50)",0.35925731362567986,False
"(85, 55)",17.188411233605446,True
"(85, 60)",33.866975664779126,True
"(85, 65)",50.95838530535798,True
"(85, 70)",0.182453947222729,False
"(85, 75)",33.17726450462058,True
"(85, 80)",0.03935787489882034,False
"(85, 85)",48.92843254326719,True
"(85, 95)",15.807564753741962,True
"(90, 40)",0.31028444349405837,False
"(90, 60)",8.427940057168023,True
"(90, 65)",8.373866018845716,True
"(90, 70)",8.262802603506541,True
"(90, 75)",32.72194731072539,True
"(90, 80)",8.103639653547168,True
"(90, 85)",24.04234897962611,True
"(90, 90)",0.6662601508014325,False
"(90, 95)",15.696468779085235,True
"(90, 100)",0.8764140827459366,False
"(95, 60)",0.5015695194684967,False
"(95, 70)",8.2957971348841,True
"(95, 75)",0.058024006345450185,False
"(95, 80)",16.155103573164862,True
"(95, 85)",0.12213828365960042,False
"(95, 90)",7.944403971322749,True
"(95, 95)",0.2750337806848762,False
"(95, 100)",7.7544964015415205,True
"(95, 105)",23.024357442165883,True
"(100, 60)",0.8584566003830053,False
"(100, 65)",0.2021226369561765,False
"(100, 70)",40.94230224909369,True
"(100, 80)",0.29179646659866176,False
"(100, 85)",15.944401085054382,True
"(100, 90)",31.380498566017494,True
"(100, 95)",15.598309668160866,True
"(100, 100)",0.09097112123509779,False
"(100, 105)",15.251693169398017,True
"(100, 110)",0.10112392771039011,False
"(100, 115)",0.8353515252587,False
"(100, 135)",50.27016069032099,True
"(105, 85)",7.92080799907413,True
"(105, 90)",7.813264197304176,True
"(105, 95)",30.90950560085649,True
"(105, 100)",7.6511595084496005,True
"(105, 105)",30.232025075476237,True
"(105, 110)",0.6829430164539182,False
"(105, 115)",22.174357066486326,True
"(105, 120)",44.524217967847946,True
"(110, 80)",0.9746313631489281,False
"(110, 85)",0.07653353964179488,False
