,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",2.1394576216379373,-0.4750611691003366,1.7919800000000001,-0.47647488579452,1.782
"(40, 10)",2.829866107526486,-0.47944194552284225,1.7774500000000002,-0.47822021504651424,1.764
"(45, 5)",12.129611691008792,-0.46657886893564404,1.7782,-0.4991641660704449,1.772
"(45, 10)",8.474816550679586,-0.4709072854805898,1.76354,-0.49392817831446223,1.7610000000000001
"(50, 5)",20.994082560105294,-0.4580267556008719,1.7709000000000001,-0.5148721293383929,1.764
"(50, 10)",7.105776019955509,-0.4623028122682582,1.75618,-0.4817108735505027,1.756
"(50, 15)",9.305843531811357,-0.46664868210572363,1.74149,-0.492182849062468,1.745
"(50, 20)",8.453459510097854,-0.47106436511326955,1.7268100000000002,-0.49392817831446223,1.717
"(50, 25)",2.573659320214321,-0.47556731458341517,1.7122600000000001,-0.47647488579452,1.7
"(50, 30)",0.9825902084584852,-0.4801400772236404,1.69771,-0.47996554429850846,1.693
"(55, 5)",1.4695559201643076,-0.44940482909601975,1.7637200000000002,-0.4520402762666009,1.7690000000000001
"(55, 10)",0.8503832750781967,-0.453611072593326,1.74893,-0.45378560551859515,1.7530000000000001
"(55, 15)",6.073340616000417,-0.4579045825532324,1.73408,-0.4729842272905316,1.721
"(55, 20)",6.964884852692053,-0.4622679056832184,1.71932,-0.4817108735505027,1.72
"(55, 25)",10.993222824280014,-0.46670104198328355,1.7047,-0.49741883681845067,1.697
"(55, 30)",6.841955950614423,-0.47122144474594885,1.69016,-0.4904375198104738,1.695
"(60, 25)",2.284645660120065,-0.4577649562130728,1.6973,-0.45553093477058937,1.687
"(60, 30)",10.519028969430831,-0.46223299909817817,1.6827,-0.492182849062468,1.678
"(60, 35)",7.619423878028222,-0.4667708551533636,1.6681000000000001,-0.48869219055847957,1.67
"(60, 40)",0.3253102977643683,-0.4713959776711487,1.65354,-0.47123889803853736,1.6520000000000001
"(65, 30)",3.5553095390390763,-0.4531572869878078,1.6753900000000002,-0.45553093477058937,1.692
"(65, 35)",4.868794501539864,-0.4576427831654333,1.66078,-0.4677482395345489,1.677
"(65, 40)",1.5844100053578156,-0.46219809251313837,1.6461800000000002,-0.4642575810305605,1.653
"(65, 45)",9.2191512837475,-0.4668581216159633,1.63152,-0.49392817831446223,1.635
"(65, 50)",1.1629866807935079,-0.4715879638888678,1.61688,-0.4729842272905316,1.622
"(70, 30)",1.745534555813816,-0.4439943084148372,1.6683500000000002,-0.4415683007546356,1.661
"(70, 35)",7.512510877619829,-0.44840999142238314,1.6536600000000001,-0.42935099599067605,1.671
"(70, 40)",2.7295454776883474,-0.45291294089252876,1.6389500000000001,-0.4520402762666009,1.6520000000000001
"(70, 45)",3.2037756060898155,-0.45750315682527365,1.62421,-0.4660029102825547,1.631
"(70, 50)",2.801706897611767,-0.4621631859280986,1.60949,-0.46949356878654314,1.616
"(70, 55)",10.101164101845892,-0.4669279347860429,1.59483,-0.49741883681845067,1.595
