,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",2.9909516605403925,-0.4750611691003366,1.7919800000000001,-0.4817108735505027,1.8
"(40, 10)",2.130902865935319,-0.47944194552284225,1.7774500000000002,-0.4852015320544911,1.778
"(45, 5)",12.129611691008792,-0.46657886893564404,1.7782,-0.4991641660704449,1.772
"(45, 10)",9.781209955871443,-0.4709072854805898,1.76354,-0.49741883681845067,1.7590000000000001
"(50, 5)",26.767996132368644,-0.4580267556008719,1.7709000000000001,-0.5305800926063409,1.7690000000000001
"(50, 10)",6.498629940989365,-0.4623028122682582,1.75618,-0.47996554429850846,1.7590000000000001
"(50, 15)",8.010810978495801,-0.46664868210572363,1.74149,-0.48869219055847957,1.743
"(50, 20)",10.734963372333056,-0.47106436511326955,1.7268100000000002,-0.5009094953224391,1.726
"(50, 25)",0.9837579575582058,-0.47556731458341517,1.7122600000000001,-0.47822021504651424,1.711
"(50, 30)",0.6876792691736476,-0.4801400772236404,1.69771,-0.47996554429850846,1.701
"(55, 5)",1.7542149781161993,-0.44940482909601975,1.7637200000000002,-0.4485496177626125,1.772
"(55, 10)",1.2248494103145313,-0.453611072593326,1.74893,-0.4502949470146067,1.748
"(55, 15)",23.10010364382743,-0.4579045825532324,1.73408,-0.5218534463463698,1.734
"(55, 20)",3.364109194475136,-0.4622679056832184,1.71932,-0.47123889803853736,1.724
"(55, 25)",14.64537282007153,-0.46670104198328355,1.7047,-0.507890812330416,1.708
"(55, 30)",8.167373866564478,-0.47122144474594885,1.69016,-0.49392817831446223,1.698
"(60, 25)",17.721516164965646,-0.4577649562130728,1.6973,-0.507890812330416,1.699
"(60, 30)",20.92199600221688,-0.46223299909817817,1.6827,-0.5218534463463698,1.687
"(60, 35)",8.35122365470945,-0.4667708551533636,1.6681000000000001,-0.4904375198104738,1.675
"(60, 40)",0.6666204456472562,-0.4713959776711487,1.65354,-0.46949356878654314,1.653
"(65, 30)",2.3589007235292923,-0.4531572869878078,1.6753900000000002,-0.45553093477058937,1.686
"(65, 35)",16.801924798739815,-0.4576427831654333,1.66078,-0.5061454830784218,1.665
"(65, 40)",0.667784752654012,-0.46219809251313837,1.6461800000000002,-0.46076692252657203,1.6440000000000001
"(65, 45)",11.55281224164362,-0.4668581216159633,1.63152,-0.5009094953224391,1.629
