,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",1.4379836538488502,-0.4750611691003366,1.7919800000000001,-0.47822021504651424,1.788
"(40, 10)",1.2177695403850648,-0.47944194552284225,1.7774500000000002,-0.47822021504651424,1.772
"(45, 5)",8.421682753705088,-0.46657886893564404,1.7782,-0.48869219055847957,1.7870000000000001
"(45, 10)",9.104566004053838,-0.4709072854805898,1.76354,-0.49567350756645645,1.7630000000000001
"(50, 5)",25.478939509398554,-0.4580267556008719,1.7709000000000001,-0.5270894341023524,1.768
"(50, 10)",9.022156309363464,-0.4623028122682582,1.75618,-0.48694686130648535,1.756
"(50, 15)",10.5546723700136,-0.46664868210572363,1.74149,-0.49567350756645645,1.744
"(50, 20)",8.896355188896088,-0.47106436511326955,1.7268100000000002,-0.49567350756645645,1.722
"(50, 25)",2.179296242046742,-0.47556731458341517,1.7122600000000001,-0.46949356878654314,1.711
"(50, 30)",0.5676251039151204,-0.4801400772236404,1.69771,-0.47996554429850846,1.695
"(55, 5)",0.759120876851402,-0.44940482909601975,1.7637200000000002,-0.4502949470146067,1.7670000000000001
"(55, 10)",0.43594868630285744,-0.453611072593326,1.74893,-0.45378560551859515,1.7510000000000001
"(55, 15)",4.974087340024873,-0.4579045825532324,1.73408,-0.47123889803853736,1.728
"(55, 20)",8.216218528914423,-0.4622679056832184,1.71932,-0.4852015320544911,1.72
"(55, 25)",10.915762134494688,-0.46670104198328355,1.7047,-0.49741883681845067,1.701
"(55, 30)",7.998487764027117,-0.47122144474594885,1.69016,-0.49392817831446223,1.692
"(60, 25)",1.1172506307570294,-0.4577649562130728,1.6973,-0.4572762640225836,1.692
"(60, 30)",11.104123468552135,-0.46223299909817817,1.6827,-0.49392817831446223,1.68
"(60, 35)",2.9526516518660917,-0.4667708551533636,1.6681000000000001,-0.4747295565425258,1.663
"(60, 40)",0.3252676982075251,-0.4713959776711487,1.65354,-0.47123889803853736,1.6520000000000001
"(65, 30)",2.083131515936019,-0.4531572869878078,1.6753900000000002,-0.4485496177626125,1.669
"(65, 35)",2.048408793567325,-0.4576427831654333,1.66078,-0.4520402762666009,1.6640000000000001
"(65, 40)",0.9980404108093478,-0.46219809251313837,1.6461800000000002,-0.46076692252657203,1.6420000000000001
"(65, 45)",0.3203976760149281,-0.4668581216159633,1.63152,-0.4677482395345489,1.6320000000000001
"(65, 50)",0.5242009382359016,-0.4715879638888678,1.61688,-0.4729842272905316,1.618
"(70, 30)",0.9749277642205563,-0.4439943084148372,1.6683500000000002,-0.4415683007546356,1.666
"(70, 35)",7.435325048692593,-0.44840999142238314,1.6536600000000001,-0.42760566673868183,1.663
"(70, 40)",1.292710193274213,-0.45291294089252876,1.6389500000000001,-0.4520402762666009,1.645
"(70, 45)",1.7340849605879596,-0.45750315682527365,1.62421,-0.46251225177856625,1.6260000000000001
"(70, 50)",1.9390010290233803,-0.4621631859280986,1.60949,-0.4677482395345489,1.612
"(70, 55)",9.520513917053094,-0.4669279347860429,1.59483,-0.49567350756645645,1.594
"(75, 35)",1.9595481660280432,-0.4391073865092534,1.64665,-0.4398229715026414,1.6560000000000001
"(75, 40)",4.418562717994461,-0.443540522809319,1.6318500000000002,-0.4310963252426703,1.6380000000000001
"(75, 45)",0.8535471912516485,-0.4480609255719843,1.61703,-0.4485496177626125,1.613
"(75, 50)",1.1835231882008097,-0.4526511415047296,1.60226,-0.4502949470146067,1.598
"(75, 55)",0.9451169399457278,-0.4573460771925939,1.58755,-0.4572762640225836,1.583
"(75, 60)",38.128090770583825,-0.46212827934305833,1.57287,-0.34557519189495345,1.579
"(75, 65)",8.18659179860502,-0.4670152012486426,1.5582500000000001,-0.492182849062468,1.562
"(75, 75)",0.4053867772596005,-0.47705084444761026,1.53679,-0.47822021504651424,1.536
"(80, 25)",0.7723171944335685,-0.42123521496883165,1.6764200000000002,-0.42062434973070495,1.68
"(80, 45)",5.15937086503923,-0.4385314278560952,1.61,-0.4241150082346934,1.601
"(80, 50)",1.4988213523863982,-0.44306928391128064,1.59519,-0.4415683007546356,1.602
"(80, 55)",1.1613754827927236,-0.44767695313654565,1.5804200000000002,-0.44680428851061826,1.575
"(80, 60)",0.6642165598660809,-0.4523893421169305,1.56566,-0.45378560551859515,1.568
"(80, 65)",0.5767307319287657,-0.4571889975599146,1.5509700000000002,-0.45553093477058937,1.552
"(80, 70)",3.9736128095411147,-0.46209337275801854,1.53632,-0.4502949470146067,1.53
"(80, 75)",7.1429280876534,-0.46708501441872263,1.5217100000000001,-0.48869219055847957,1.5110000000000001
"(85, 35)",0.7461733578529882,-0.4202578305877145,1.63999,-0.42236967898269917,1.639
"(85, 50)",0.9979754733565832,-0.43338270656271227,1.58827,-0.4328416544946645,1.593
"(85, 55)",6.231128901778152,-0.43792056261789725,1.5734400000000002,-0.41887902047871073,1.575
"(85, 60)",2.988200658489242,-0.44256313842820205,1.55861,-0.43807764225064716,1.546
"(85, 65)",2.0849590001158287,-0.447292980701107,1.54383,-0.4415683007546356,1.539
"(85, 70)",2.3905526985261885,-0.45211008943661124,1.52912,-0.44505895925862404,1.5250000000000001
"(85, 75)",1.5714438513839646,-0.4570319179272353,1.51444,-0.4520402762666009,1.5150000000000001
"(85, 80)",2.1876649335642298,-0.46205846617297874,1.49981,-0.4677482395345489,1.506
"(85, 85)",8.376784639684455,-0.46717228088132234,1.4852100000000001,-0.49392817831446223,1.477
"(85, 95)",1.8362663742498657,-0.47774897614840794,1.45626,-0.4817108735505027,1.463
"(90, 40)",4.054204963478079,-0.414917123076612,1.6185,-0.42236967898269917,1.603
"(90, 60)",0.7745870403051288,-0.4326322149843542,1.55172,-0.4328416544946645,1.548
"(90, 65)",0.8947448059702214,-0.4372922440871796,1.53685,-0.4398229715026414,1.5350000000000001
"(90, 70)",0.9753353522022437,-0.44202208636008367,1.52206,-0.44505895925862404,1.5230000000000001
"(90, 75)",1.792273509958983,-0.44687410168062813,1.5073200000000002,-0.4415683007546356,1.504
"(90, 80)",1.9417304219359028,-0.4518133834637723,1.4926300000000001,-0.4520402762666009,1.502
"(90, 85)",1.5406108698070544,-0.4568573850020359,1.4778700000000002,-0.4520402762666009,1.48
"(90, 90)",9.547524868875348,-0.46200610629541927,1.46322,-0.492182849062468,1.476
"(90, 95)",4.055479154979421,-0.46727700063644173,1.4486800000000002,-0.47647488579452,1.463
"(90, 100)",1.6606292027524412,-0.47265261473258446,1.4342400000000002,-0.47822021504651424,1.435
"(95, 60)",0.11888827015971369,-0.4226140250779069,1.55243,-0.42236967898269917,1.552
"(95, 70)",3.0099986911692733,-0.4318468168209568,1.51519,-0.42236967898269917,1.5130000000000001
"(95, 75)",1.173892931178457,-0.4366115656789016,1.50028,-0.4328416544946645,1.5
"(95, 80)",2.247784362715103,-0.4414810342919657,1.4854100000000001,-0.4345869837466587,1.489
"(95, 85)",2.364406015253954,-0.4464377693676296,1.47059,-0.44680428851061826,1.482
"(95, 90)",0.8906525050382457,-0.45149922419841326,1.45591,-0.4485496177626125,1.456
"(95, 95)",0.513282709482955,-0.45668285207683645,1.4413300000000002,-0.4572762640225836,1.439
"(95, 100)",24.8358338222821,-0.46197119971037903,1.42681,-0.5462880558742889,1.42
"(95, 105)",2.817300663052798,-0.4673642670990419,1.4123100000000002,-0.46949356878654314,1.399
"(100, 60)",1.5227138441544767,-0.4125085687088599,1.54584,-0.4171336912267165,1.544
"(100, 65)",2.24755379247167,-0.41699406488648516,1.53098,-0.4241150082346934,1.5310000000000001
"(100, 70)",2.4610146516743456,-0.4215842808192303,1.51615,-0.42062434973070495,1.528
"(100, 80)",2.1551567938529965,-0.43102651207251963,1.47859,-0.4310963252426703,1.489
"(100, 85)",3.2396428300999487,-0.4359134339781039,1.46371,-0.4258603374866876,1.469
"(100, 90)",1.5183584834261257,-0.4408876223462874,1.4489,-0.43807764225064716,1.455
"(100, 95)",1.9113773412720252,-0.4459839837621109,1.43417,-0.44680428851061826,1.425
"(100, 100)",0.7701790688089504,-0.4511850649330542,1.4195600000000002,-0.45378560551859515,1.42
"(100, 105)",1.0652135566394543,-0.4564908658591169,1.40504,-0.4572762640225836,1.4000000000000001
"(100, 110)",0.19920105297908797,-0.4619188398328191,1.39049,-0.46251225177856625,1.391
"(100, 115)",0.9132108592974022,-0.4674689868541613,1.37595,-0.4642575810305605,1.3760000000000001
"(100, 135)",0.8063117463859814,-0.49097857187852467,1.32742,-0.49392817831446223,1.327
"(105, 85)",3.1607781057973687,-0.4252843788334584,1.4569800000000002,-0.4153883619747223,1.462
"(105, 90)",0.9704828431191478,-0.43017130073904264,1.44211,-0.42760566673868183,1.445
"(105, 95)",1.9172927723155941,-0.4351629423997463,1.42734,-0.4328416544946645,1.436
"(105, 100)",1.6104023239624934,-0.44027675710808944,1.41258,-0.4415683007546356,1.405
"(105, 105)",0.4326525274065727,-0.4454952915715529,1.3979800000000002,-0.44680428851061826,1.399
"(105, 110)",0.7647089558401448,-0.45083599908265537,1.38331,-0.4520402762666009,1.3800000000000001
"(105, 115)",0.34348101327214814,-0.4562988796413978,1.3687,-0.45553093477058937,1.37
"(105, 120)",22.60662091373945,-0.4618664799552592,1.35419,-0.5427973973703004,1.357
"(110, 80)",0.3661065926962905,-0.4098382149533084,1.46529,-0.4101523742187396,1.467
"(110, 85)",1.0922694146852219,-0.41453315064117335,1.45037,-0.41189770347073384,1.454
"(110, 90)",1.8355769352202216,-0.4193328060841577,1.4354900000000002,-0.41364303272272807,1.432
"(110, 100)",1.5896903243614564,-0.4292637295280053,1.40578,-0.4345869837466587,1.4040000000000001
"(110, 105)",1.180864364126286,-0.4343775442363489,1.39104,-0.43633231299865294,1.3860000000000001
"(110, 110)",0.8761060079295512,-0.43963098528485167,1.3763,-0.4415683007546356,1.373
"(110, 115)",0.7086956349480755,-0.4449891460884743,1.36162,-0.44680428851061826,1.364
"(110, 120)",1.1189562054333693,-0.4504694799397364,1.347,-0.4520402762666009,1.352
"(110, 125)",0.3603258529316149,-0.4560719868386385,1.33241,-0.45553093477058937,1.334
"(110, 130)",21.584184196378793,-0.46181412007769973,1.3179200000000002,-0.5410520681183062,1.325
"(110, 150)",1.2407808240882605,-0.48619636972806024,1.2698,-0.48869219055847957,1.2750000000000001
"(110, 155)",0.5840086458341714,-0.4926715412529594,1.2556600000000002,-0.4904375198104738,1.2550000000000001
"(115, 110)",0.8464995171105428,-0.42828634514688857,1.36946,-0.4310963252426703,1.368
"(115, 115)",1.4761695728822122,-0.43355723948791125,1.3547200000000001,-0.43807764225064716,1.351
"(115, 120)",1.441567253236139,-0.438932853584054,1.33996,-0.4415683007546356,1.346
"(115, 125)",1.585550077795008,-0.4444480940203559,1.3253400000000002,-0.44505895925862404,1.333
"(115, 130)",1.7775963198255416,-0.45008550750429777,1.3107499999999999,-0.4520402762666009,1.319
"(115, 135)",0.8593788667153586,-0.4558625473283988,1.29616,-0.45553093477058937,1.292
"(115, 140)",1.1998400393481474,-0.4617617602001398,1.2817,-0.46076692252657203,1.276
"(115, 150)",2.4256651243148113,-0.4740314248416597,1.2624,-0.4834562028024969,1.2630000000000001
"(120, 115)",0.6103083765789663,-0.42200315983970893,1.34792,-0.42236967898269917,1.345
"(120, 120)",1.9336905759711602,-0.42727405418073183,1.3331199999999999,-0.4310963252426703,1.341
"(120, 125)",0.5958579817657432,-0.43268457486191414,1.31843,-0.4345869837466587,1.317
"(120, 130)",0.9382483715185918,-0.4381998152982165,1.30374,-0.4415683007546356,1.305
"(120, 135)",1.6237714031010742,-0.44387213536719816,1.28913,-0.4433136300066298,1.297
"(120, 140)",1.1046626431902211,-0.4496666284838189,1.27455,-0.4520402762666009,1.2790000000000001
"(120, 145)",0.02253755186089928,-0.4556182012331198,1.25998,-0.45553093477058937,1.26
"(120, 150)",0.8227128869629934,-0.4617094003225799,1.24546,-0.4642575810305605,1.243
"(120, 165)",0.7384187889392096,-0.4809254753870378,1.20244,-0.47822021504651424,1.204
"(120, 170)",0.7140466363018799,-0.48766244629973565,1.18817,-0.4904375198104738,1.187
"(125, 125)",0.4340920664198181,-0.42078142936331275,1.31168,-0.42236967898269917,1.312
"(125, 130)",0.9796305236690321,-0.4261919500444953,1.2969300000000001,-0.4241150082346934,1.293
"(125, 135)",1.2182162287426677,-0.43174209706583744,1.28224,-0.43633231299865294,1.283
"(125, 140)",0.3022325254815513,-0.4374318704273388,1.26753,-0.43633231299865294,1.268
"(125, 145)",1.4795157223692614,-0.4432612701290002,1.25287,-0.4485496177626125,1.25
"(125, 150)",0.8335823225160852,-0.4492302961708208,1.2382700000000002,-0.44680428851061826,1.241
"(125, 155)",1.0707974171469261,-0.45535640184532067,1.22371,-0.4590215932745778,1.221
"(125, 160)",0.7325865299135395,-0.4616395871525003,1.20935,-0.4590215932745778,1.211
"(125, 165)",0.6292046649267633,-0.4680973053848789,1.1949500000000002,-0.4677482395345489,1.198
"(125, 170)",3.9516148833818,-0.47471210324993773,1.18059,-0.4904375198104738,1.175
"(130, 135)",1.2021153718453763,-0.419489885716837,1.27556,-0.42236967898269917,1.2710000000000001
"(130, 140)",1.1412366265442917,-0.42505748603069904,1.26076,-0.42935099599067605,1.262
"(130, 145)",0.9990765823779363,-0.4307647126847205,1.24601,-0.4345869837466587,1.247
"(130, 150)",0.9609348810068409,-0.4366115656789016,1.2313100000000001,-0.4328416544946645,1.232
"(130, 155)",1.4726724874453894,-0.44261549830576197,1.2166299999999999,-0.43807764225064716,1.212
"(130, 160)",1.2324992329477849,-0.4487765105653021,1.2020600000000001,-0.45378560551859515,1.202
"(130, 165)",0.9975337625948436,-0.45509460245752154,1.1876300000000002,-0.45378560551859515,1.183
"(130, 170)",1.23589858983852,-0.4615872272749404,1.17326,-0.4590215932745778,1.168
"(130, 175)",1.5720271549085323,-0.468236931725039,1.15893,-0.46251225177856625,1.155
"(135, 145)",1.2128479736247455,-0.41811107560776173,1.23934,-0.42236967898269917,1.242
"(135, 150)",0.9589971505849564,-0.4238357555543031,1.22455,-0.42062434973070495,1.222
"(135, 155)",0.9335991588008002,-0.42971751513352396,1.2097900000000001,-0.42760566673868183,1.206
"(135, 160)",1.5712271089459793,-0.435738901052904,1.19512,-0.42935099599067605,1.196
"(135, 165)",1.1751122518850912,-0.4419173666049643,1.1805400000000001,-0.43807764225064716,1.177
"(135, 170)",0.9351495215973208,-0.4482703650822235,1.16607,-0.4502949470146067,1.17
"(135, 175)",0.6423819004709678,-0.4547978964846826,1.15165,-0.4572762640225836,1.153
"(135, 180)",1.8831567100100994,-0.46151741410486036,1.13728,-0.46949356878654314,1.139
"(140, 135)",0.34755353865101124,-0.3945665839983581,1.2723000000000002,-0.39444441095079164,1.274
"(140, 150)",0.708130477000377,-0.41092031908954496,1.2180600000000001,-0.41364303272272807,1.219
"(140, 155)",1.1701105174584345,-0.4166449990360863,1.20319,-0.41189770347073384,1.203
"(140, 160)",1.2332517485165826,-0.4225442119078271,1.1884299999999999,-0.42760566673868183,1.188
"(140, 165)",1.5136552481946184,-0.4285830511197275,1.17374,-0.42236967898269917,1.175
"(140, 170)",0.646643856363191,-0.4347964232568273,1.15916,-0.4345869837466587,1.156
"(140, 175)",0.34653478095705215,-0.4411843283191268,1.14467,-0.4398229715026414,1.1440000000000001
"(140, 180)",0.6865091825263947,-0.44774676630662524,1.1302500000000002,-0.4485496177626125,1.127
"(140, 185)",0.49798274995845304,-0.45450119051184323,1.1158400000000002,-0.45553093477058937,1.118
"(140, 190)",0.33388876145367474,-0.4614301476422611,1.10147,-0.46076692252657203,1.1
"(145, 150)",2.575856450851121,-0.39784780299210754,1.21164,-0.38746309394281475,1.211
"(145, 155)",1.2357576836431379,-0.40343285659848926,1.19678,-0.40491638646275696,1.191
"(145, 160)",0.4441728250376112,-0.4091924431300704,1.1819700000000002,-0.4084070449667454,1.18
"(145, 165)",0.7625951001146917,-0.4150916560018114,1.16727,-0.41189770347073384,1.167
"(145, 170)",1.0576588542500045,-0.4211654017987516,1.15253,-0.41887902047871073,1.157
"(145, 175)",0.7601968381599362,-0.42739622722837134,1.1379599999999999,-0.4241150082346934,1.1380000000000001
"(145, 180)",0.8098558260151019,-0.4338015855831907,1.12344,-0.4310963252426703,1.1260000000000001
"(145, 185)",0.6035283616330896,-0.4403989301557294,1.1089000000000002,-0.4398229715026414,1.106
"(145, 190)",0.9052233164291396,-0.4471882609459872,1.09444,-0.44680428851061826,1.09
"(145, 195)",1.0519618477350872,-0.4541695779539645,1.08005,-0.4572762640225836,1.084
"(145, 200)",0.5067278271098371,-0.46136033447218106,1.06572,-0.4590215932745778,1.066
"(150, 150)",0.34992868018422046,-0.3846182072619906,1.2055200000000001,-0.3839724354388263,1.204
"(150, 155)",1.109524367466835,-0.3900810878207326,1.19061,-0.38571776469082053,1.189
"(150, 160)",3.263806554951191,-0.39568359471963466,1.1757600000000001,-0.3822271061868321,1.178
"(150, 165)",1.1659726095380896,-0.4014257279586959,1.1609800000000001,-0.3979350694547801,1.165
"(150, 170)",0.794628457633443,-0.4073423941229566,1.14618,-0.4066617157147512,1.1500000000000001
"(150, 175)",0.46171190640320736,-0.4134335932124169,1.1314600000000001,-0.4153883619747223,1.131
"(150, 180)",0.48486488357977314,-0.4196818719345565,1.11679,-0.41887902047871073,1.119
"(150, 185)",0.47782617638822505,-0.4261221368744157,1.1021800000000002,-0.4241150082346934,1.103
"(150, 190)",0.8868900138859666,-0.43273693473947406,1.08763,-0.4328416544946645,1.092
"(150, 195)",0.9885528889606048,-0.4395611721147721,1.07313,-0.4398229715026414,1.078
"(150, 200)",0.6655764216806712,-0.4465773957077892,1.05872,-0.44680428851061826,1.062
"(150, 205)",0.9418771175528294,-0.45382051210356567,1.04434,-0.45378560551859515,1.049
"(150, 210)",0.652054299026691,-0.46127306800958134,1.0300300000000002,-0.4642575810305605,1.031
"(155, 155)",0.6073303469301713,-0.3765722394102964,1.18449,-0.37873644768284365,1.183
"(155, 175)",1.0596866406949328,-0.3992789729787427,1.12513,-0.39618974020278586,1.129
"(155, 180)",0.6886293698769403,-0.405370172068203,1.11036,-0.4084070449667454,1.11
"(155, 190)",0.8330009175183041,-0.4180936223152416,1.08102,-0.41887902047871073,1.077
"(155, 195)",0.31957219607466897,-0.42474332676534,1.0664300000000002,-0.4241150082346934,1.065
"(155, 200)",0.24051223293760227,-0.4315850174331577,1.05193,-0.4310963252426703,1.053
"(155, 205)",0.5526693118402303,-0.43865360090373473,1.03745,-0.4398229715026414,1.035
"(155, 210)",0.8406868274091474,-0.445931623884551,1.0230700000000001,-0.44680428851061826,1.0190000000000001
"(155, 215)",0.45342281961597913,-0.453436539668127,1.0087599999999999,-0.45553093477058937,1.008
"(155, 220)",0.32558559998290904,-0.46116834825446196,0.994568,-0.46076692252657203,0.993
"(155, 225)",0.8329238830913782,-0.4691619562285956,0.9931949999999999,-0.4729842272905316,0.995
"(155, 230)",0.3039239135858846,-0.4774173635905288,0.9793220000000001,-0.47822021504651424,0.978
"(160, 160)",0.4774743391980663,-0.3681946590007239,1.17436,-0.3682644721708783,1.172
"(160, 195)",0.5006222420507926,-0.4097334951981888,1.05996,-0.4084070449667454,1.062
"(160, 200)",0.8951020658656126,-0.4163831996482872,1.04536,-0.4171336912267165,1.041
"(160, 205)",0.5643562892507722,-0.4232597969011449,1.03081,-0.4258603374866876,1.03
"(160, 210)",0.701731380776631,-0.4303458336642416,1.0163300000000002,-0.42935099599067605,1.0130000000000001
"(160, 215)",0.651682506114751,-0.4376587632300981,1.0019500000000001,-0.43633231299865294,0.999
"(160, 220)",0.3974933679356041,-0.4452160388912336,0.9876150000000001,-0.4433136300066298,0.987
"(160, 225)",0.3285516197773198,-0.45301766064764815,0.9733350000000001,-0.4520402762666009,0.972
"(160, 230)",0.3719455577937385,-0.4610636284993421,0.959166,-0.46076692252657203,0.961
"(165, 195)",0.8329968734772017,-0.3945142241207982,1.0537200000000002,-0.39618974020278586,1.05
"(165, 200)",1.0252367374926648,-0.40098939564569713,1.03902,-0.40491638646275696,1.036
"(165, 205)",0.5855133673821126,-0.40765655338831563,1.0243900000000001,-0.4101523742187396,1.0230000000000001
"(165, 210)",0.988327308042037,-0.41455060393369303,1.00982,-0.41364303272272807,1.0050000000000001
"(165, 215)",0.5746550696583963,-0.42167154728183,0.9953390000000001,-0.42062434973070495,0.998
"(165, 220)",0.6220267144460128,-0.4290193834327263,0.9808790000000001,-0.4258603374866876,0.981
"(165, 225)",0.3067230389020063,-0.4366115656789016,0.966507,-0.43633231299865294,0.965
"(165, 230)",0.22274151454493465,-0.4444480940203559,0.9522480000000001,-0.4433136300066298,0.9520000000000001
"(165, 235)",0.46717888110280875,-0.4525638750421299,0.9380390000000001,-0.4502949470146067,0.9390000000000001
"(165, 240)",0.33897868870044134,-0.4609589087442223,0.923916,-0.46251225177856625,0.923
"(170, 205)",2.0569912869551263,-0.3918438703652469,1.0182,-0.3822271061868321,1.0210000000000001
"(170, 210)",0.15121121364464493,-0.3985284814003853,1.00355,-0.3979350694547801,1.004
"(170, 215)",0.49715535006709677,-0.40543998523828284,0.9889560000000001,-0.40317105721076274,0.99
"(170, 220)",0.4923692229700801,-0.41257838187893947,0.974365,-0.41189770347073384,0.972
"(170, 225)",0.20492812754031545,-0.4199436713223559,0.9599450000000002,-0.41887902047871073,0.96
