,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",1.8290448537659652,-0.4750611691003366,1.7919800000000001,-0.47996554429850846,1.792
"(40, 10)",1.4132183521054267,-0.47944194552284225,1.7774500000000002,-0.47822021504651424,1.7710000000000001
"(45, 5)",5.005381986874496,-0.46657886893564404,1.7782,-0.47996554429850846,1.7750000000000001
"(45, 10)",0.9017342903260823,-0.4709072854805898,1.76354,-0.46949356878654314,1.76
"(50, 5)",30.653908273077658,-0.4580267556008719,1.7709000000000001,-0.5410520681183062,1.772
"(50, 10)",2.0315979481205595,-0.4623028122682582,1.75618,-0.4677482395345489,1.758
"(50, 15)",7.517223405399479,-0.46664868210572363,1.74149,-0.48694686130648535,1.734
"(50, 20)",4.712835783185856,-0.47106436511326955,1.7268100000000002,-0.4834562028024969,1.734
"(50, 25)",1.2066888297140914,-0.47556731458341517,1.7122600000000001,-0.4729842272905316,1.716
"(50, 30)",0.7320540700709476,-0.4801400772236404,1.69771,-0.4817108735505027,1.7
"(55, 5)",1.0814572747644697,-0.44940482909601975,1.7637200000000002,-0.4520402762666009,1.766
"(55, 10)",0.8503832750781967,-0.453611072593326,1.74893,-0.45378560551859515,1.7530000000000001
"(55, 15)",1.0531579274759633,-0.4579045825532324,1.73408,-0.46076692252657203,1.735
"(55, 20)",11.35971198104412,-0.4622679056832184,1.71932,-0.49392817831446223,1.715
"(55, 25)",0.9938103577771381,-0.46670104198328355,1.7047,-0.4642575810305605,1.707
"(55, 30)",8.692458910709398,-0.47122144474594885,1.69016,-0.44680428851061826,1.696
"(60, 25)",1.7889884244316119,-0.4577649562130728,1.6973,-0.45553093477058937,1.705
"(60, 30)",11.116645088429648,-0.46223299909817817,1.6827,-0.49392817831446223,1.685
"(60, 35)",0.3356445115242528,-0.4667708551533636,1.6681000000000001,-0.4677482395345489,1.668
"(60, 40)",1.1460596573166293,-0.4713959776711487,1.65354,-0.4747295565425258,1.6540000000000001
"(65, 30)",2.2673325943204405,-0.4531572869878078,1.6753900000000002,-0.44680428851061826,1.673
"(65, 35)",4.259902267484136,-0.4576427831654333,1.66078,-0.46949356878654314,1.655
"(65, 40)",2.2964619840326566,-0.46219809251313837,1.6461800000000002,-0.45553093477058937,1.645
"(65, 45)",7.023392396976977,-0.4668581216159633,1.63152,-0.48694686130648535,1.623
"(65, 50)",1.421059470227585,-0.4715879638888678,1.61688,-0.4677482395345489,1.614
"(70, 30)",1.826250703351216,-0.4439943084148372,1.6683500000000002,-0.4398229715026414,1.663
"(70, 35)",0.5551459974111191,-0.44840999142238314,1.6536600000000001,-0.4485496177626125,1.651
"(70, 40)",1.6974324711202478,-0.45291294089252876,1.6389500000000001,-0.4572762640225836,1.635
"(70, 45)",1.8971607198577698,-0.45750315682527365,1.62421,-0.4520402762666009,1.622
"(70, 50)",1.2881656962134682,-0.4621631859280986,1.60949,-0.4660029102825547,1.61
"(70, 55)",0.6633484069251927,-0.4669279347860429,1.59483,-0.4660029102825547,1.592
"(75, 35)",1.7327559154626466,-0.4391073865092534,1.64665,-0.4433136300066298,1.6420000000000001
"(75, 40)",6.005413618850707,-0.443540522809319,1.6318500000000002,-0.4258603374866876,1.633
"(75, 45)",1.9696817232408315,-0.4480609255719843,1.61703,-0.45378560551859515,1.615
"(75, 50)",1.4439957401680474,-0.4526511415047296,1.60226,-0.4485496177626125,1.6
"(75, 55)",1.2885689211296885,-0.4573460771925939,1.58755,-0.45378560551859515,1.585
"(75, 60)",36.63643601326347,-0.46212827934305833,1.57287,-0.3508111796509361,1.588
"(75, 65)",1.4386578407529416,-0.4670152012486426,1.5582500000000001,-0.46949356878654314,1.564
"(75, 75)",0.802467740497881,-0.47705084444761026,1.53679,-0.47647488579452,1.5330000000000001
"(80, 25)",0.4108428972356755,-0.42123521496883165,1.6764200000000002,-0.42236967898269917,1.677
"(80, 45)",4.885896123600025,-0.4385314278560952,1.61,-0.4241150082346934,1.606
"(80, 50)",1.2951546516814918,-0.44306928391128064,1.59519,-0.44680428851061826,1.597
"(80, 55)",2.0672752549586826,-0.44767695313654565,1.5804200000000002,-0.4415683007546356,1.578
"(80, 60)",0.7373721544104227,-0.4523893421169305,1.56566,-0.4502949470146067,1.567
"(80, 65)",0.6223537051863689,-0.4571889975599146,1.5509700000000002,-0.4590215932745778,1.55
"(80, 70)",1.5476478999951864,-0.46209337275801854,1.53632,-0.4642575810305605,1.543
"(80, 75)",5.39018788113333,-0.46708501441872263,1.5217100000000001,-0.4834562028024969,1.5290000000000001
"(85, 35)",1.3726272506222181,-0.4202578305877145,1.63999,-0.4241150082346934,1.6380000000000001
"(85, 50)",2.2644171968943567,-0.43338270656271227,1.58827,-0.4398229715026414,1.592
"(85, 55)",1.0806118015047221,-0.43792056261789725,1.5734400000000002,-0.43633231299865294,1.578
"(85, 60)",1.2191978804402421,-0.44256313842820205,1.55861,-0.44505895925862404,1.563
"(85, 65)",1.273804612096928,-0.447292980701107,1.54383,-0.4433136300066298,1.544
"(85, 70)",1.2778996514638075,-0.45211008943661124,1.52912,-0.4485496177626125,1.532
"(85, 75)",1.384870663613832,-0.4570319179272353,1.51444,-0.46076692252657203,1.518
"(85, 80)",0.21989580874027015,-0.46205846617297874,1.49981,-0.46251225177856625,1.499
"(85, 85)",3.557025588760259,-0.46717228088132234,1.4852100000000001,-0.47822021504651424,1.48
"(85, 95)",0.7570465646547673,-0.47774897614840794,1.45626,-0.47996554429850846,1.458
"(90, 40)",1.02469606963228,-0.414917123076612,1.6185,-0.41364303272272807,1.614
"(90, 60)",5.891513401387,-0.4326322149843542,1.55172,-0.4153883619747223,1.561
"(90, 65)",3.157941692695511,-0.4372922440871796,1.53685,-0.44680428851061826,1.541
"(90, 70)",2.736787098748293,-0.44202208636008367,1.52206,-0.4502949470146067,1.526
"(90, 75)",0.34873664793909254,-0.44687410168062813,1.5073200000000002,-0.44680428851061826,1.5090000000000001
"(90, 80)",0.5792351521358419,-0.4518133834637723,1.4926300000000001,-0.4502949470146067,1.491
"(90, 85)",1.7376300931950508,-0.4568573850020359,1.4778700000000002,-0.46251225177856625,1.477
"(90, 90)",1.4430328270949595,-0.46200610629541927,1.46322,-0.4572762640225836,1.464
"(90, 95)",0.6718461485530083,-0.46727700063644173,1.4486800000000002,-0.4660029102825547,1.446
"(90, 100)",0.788250306128114,-0.47265261473258446,1.4342400000000002,-0.47123889803853736,1.431
"(95, 60)",1.2405576300092624,-0.4226140250779069,1.55243,-0.41887902047871073,1.554
"(95, 70)",4.15384432480095,-0.4318468168209568,1.51519,-0.41887902047871073,1.5190000000000001
"(95, 75)",0.7252433357026321,-0.4366115656789016,1.50028,-0.4345869837466587,1.502
"(95, 80)",2.2477399384863412,-0.4414810342919657,1.4854100000000001,-0.4345869837466587,1.489
"(95, 85)",0.1394694405536067,-0.4464377693676296,1.47059,-0.44680428851061826,1.471
"(95, 90)",0.42675008859148267,-0.45149922419841326,1.45591,-0.4520402762666009,1.454
"(95, 95)",2.3574675292688188,-0.45668285207683645,1.4413300000000002,-0.4642575810305605,1.438
"(95, 100)",2.012764698454749,-0.46197119971037903,1.42681,-0.45553093477058937,1.43
"(95, 105)",0.42490818294639887,-0.4673642670990419,1.4123100000000002,-0.4660029102825547,1.413
"(100, 60)",1.4320900841316972,-0.4125085687088599,1.54584,-0.4084070449667454,1.543
"(100, 65)",0.9646091112716163,-0.41699406488648516,1.53098,-0.4153883619747223,1.5270000000000001
"(100, 70)",1.0435307757803531,-0.4215842808192303,1.51615,-0.42062434973070495,1.5210000000000001
"(100, 80)",1.0999941135303508,-0.43102651207251963,1.47859,-0.4328416544946645,1.474
"(100, 85)",1.5335065103258294,-0.4359134339781039,1.46371,-0.4310963252426703,1.466
"(100, 90)",1.1664555722569263,-0.4408876223462874,1.4489,-0.43807764225064716,1.445
"(100, 95)",1.0997317014607766,-0.4459839837621109,1.43417,-0.4485496177626125,1.438
"(100, 100)",1.379949107176229,-0.4511850649330542,1.4195600000000002,-0.44680428851061826,1.422
"(100, 105)",1.3880984787155723,-0.4564908658591169,1.40504,-0.46076692252657203,1.4020000000000001
"(100, 110)",1.8365582462957863,-0.4619188398328191,1.39049,-0.45553093477058937,1.3900000000000001
"(100, 115)",1.470742412560981,-0.4674689868541613,1.37595,-0.46251225177856625,1.3780000000000001
"(100, 135)",0.6249365185566497,-0.49097857187852467,1.32742,-0.48869219055847957,1.327
"(105, 85)",4.075237400916072,-0.4252843788334584,1.4569800000000002,-0.41189770347073384,1.454
"(105, 90)",0.7963128513285351,-0.43017130073904264,1.44211,-0.42760566673868183,1.441
"(105, 95)",0.8377168517987608,-0.4351629423997463,1.42734,-0.4328416544946645,1.425
"(105, 100)",0.8940168615125029,-0.44027675710808944,1.41258,-0.4433136300066298,1.412
"(105, 105)",1.2084720958397468,-0.4454952915715529,1.3979800000000002,-0.4415683007546356,1.4000000000000001
"(105, 110)",1.5036656138198727,-0.45083599908265537,1.38331,-0.44680428851061826,1.3880000000000001
"(105, 115)",0.31267165975883476,-0.4562988796413978,1.3687,-0.4572762640225836,1.368
"(105, 120)",2.333180718237871,-0.4618664799552592,1.35419,-0.45378560551859515,1.357
"(110, 80)",1.0743151663241801,-0.4098382149533084,1.46529,-0.4066617157147512,1.463
"(110, 85)",1.082272516893231,-0.41453315064117335,1.45037,-0.4171336912267165,1.454
"(110, 90)",2.5892998440402764,-0.4193328060841577,1.4354900000000002,-0.41189770347073384,1.442
"(110, 100)",2.1302468827893293,-0.4292637295280053,1.40578,-0.43633231299865294,1.403
"(110, 105)",0.841098891141501,-0.4343775442363489,1.39104,-0.43633231299865294,1.3880000000000001
"(110, 110)",0.8813885833683501,-0.43963098528485167,1.3763,-0.43807764225064716,1.3800000000000001
"(110, 115)",0.9047107862211053,-0.4449891460884743,1.36162,-0.44680428851061826,1.358
"(110, 120)",0.7566110308397109,-0.4504694799397364,1.347,-0.4520402762666009,1.344
"(110, 125)",0.3604130430631159,-0.4560719868386385,1.33241,-0.45553093477058937,1.334
"(110, 130)",0.3429358188581257,-0.46181412007769973,1.3179200000000002,-0.46076692252657203,1.317
"(110, 150)",1.1094744667165382,-0.48619636972806024,1.2698,-0.4904375198104738,1.2690000000000001
"(110, 155)",0.5753932873987871,-0.4926715412529594,1.2556600000000002,-0.49392817831446223,1.258
"(115, 110)",0.313571107663465,-0.42828634514688857,1.36946,-0.42935099599067605,1.369
"(115, 115)",1.298276904817413,-0.43355723948791125,1.3547200000000001,-0.42935099599067605,1.352
