,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",0.9884282028303495,-0.4750611691003366,1.7919800000000001,-0.47647488579452,1.796
"(40, 10)",0.8473315359211845,-0.47944194552284225,1.7774500000000002,-0.4817108735505027,1.778
"(45, 5)",10.14435910955139,-0.46657886893564404,1.7782,-0.49392817831446223,1.776
"(45, 10)",9.106946868133274,-0.4709072854805898,1.76354,-0.49567350756645645,1.762
"(50, 5)",27.425230613064603,-0.4580267556008719,1.7709000000000001,-0.5323254218583351,1.7710000000000001
"(50, 10)",4.555279450527809,-0.4623028122682582,1.75618,-0.4747295565425258,1.7570000000000001
"(50, 15)",9.269599237785977,-0.46664868210572363,1.74149,-0.492182849062468,1.742
"(50, 20)",9.479116663102275,-0.47106436511326955,1.7268100000000002,-0.49741883681845067,1.726
"(50, 25)",0.4175686199123722,-0.47556731458341517,1.7122600000000001,-0.47647488579452,1.711
"(50, 30)",0.08723455457257506,-0.4801400772236404,1.69771,-0.47996554429850846,1.698
"(55, 5)",0.7516809828000419,-0.44940482909601975,1.7637200000000002,-0.4485496177626125,1.7670000000000001
"(55, 10)",0.06464050906579227,-0.453611072593326,1.74893,-0.45378560551859515,1.749
"(55, 15)",24.990612935385656,-0.4579045825532324,1.73408,-0.5270894341023524,1.734
"(55, 20)",1.968835768044597,-0.4622679056832184,1.71932,-0.4677482395345489,1.72
"(55, 25)",10.282038556144522,-0.46670104198328355,1.7047,-0.49567350756645645,1.705
"(55, 30)",8.626423698248173,-0.47122144474594885,1.69016,-0.49567350756645645,1.693
"(60, 25)",15.240953667226114,-0.4577649562130728,1.6973,-0.5009094953224391,1.697
"(60, 30)",1.3656656102892493,-0.46223299909817817,1.6827,-0.4660029102825547,1.681
"(60, 35)",9.435774662214584,-0.4667708551533636,1.6681000000000001,-0.49392817831446223,1.67
"(60, 40)",0.12586247653762692,-0.4713959776711487,1.65354,-0.47123889803853736,1.653
"(65, 30)",1.1182245401513067,-0.4531572869878078,1.6753900000000002,-0.45553093477058937,1.679
"(65, 35)",14.352310219684405,-0.4576427831654333,1.66078,-0.4991641660704449,1.6620000000000001
"(65, 40)",1.7031886264916272,-0.46219809251313837,1.6461800000000002,-0.4572762640225836,1.645
"(65, 45)",10.366428986215931,-0.4668581216159633,1.63152,-0.49741883681845067,1.6300000000000001
"(65, 50)",1.3636443747038849,-0.4715879638888678,1.61688,-0.4677482395345489,1.619
"(70, 30)",0.6115281914093276,-0.4439943084148372,1.6683500000000002,-0.44505895925862404,1.666
"(70, 35)",2.457605226147361,-0.44840999142238314,1.6536600000000001,-0.4415683007546356,1.657
