,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",1.8699593999648723,-0.4750611691003366,1.7919800000000001,-0.4747295565425258,1.7830000000000001
"(40, 10)",1.2177695403850648,-0.47944194552284225,1.7774500000000002,-0.47822021504651424,1.772
"(45, 5)",4.9818301396834235,-0.46657886893564404,1.7782,-0.47996554429850846,1.776
"(45, 10)",0.7407327328175576,-0.4709072854805898,1.76354,-0.46949356878654314,1.7610000000000001
"(50, 5)",30.01007952795836,-0.4580267556008719,1.7709000000000001,-0.539306738866312,1.772
"(50, 10)",2.0325070828152145,-0.4623028122682582,1.75618,-0.4677482395345489,1.758
"(50, 15)",7.444634672998629,-0.46664868210572363,1.74149,-0.48694686130648535,1.736
"(50, 20)",3.4573146255493614,-0.47106436511326955,1.7268100000000002,-0.47996554429850846,1.733
"(50, 25)",1.0828888712792606,-0.47556731458341517,1.7122600000000001,-0.4729842272905316,1.715
"(50, 30)",0.6157382544387107,-0.4801400772236404,1.69771,-0.4817108735505027,1.699
"(55, 5)",0.5784679212563806,-0.44940482909601975,1.7637200000000002,-0.4502949470146067,1.766
"(55, 10)",0.8592641789225397,-0.453611072593326,1.74893,-0.4520402762666009,1.752
"(55, 15)",0.44793283072485207,-0.4579045825532324,1.73408,-0.4590215932745778,1.735
"(55, 20)",10.115695805698953,-0.4622679056832184,1.71932,-0.4904375198104738,1.715
"(55, 25)",0.9112286846607182,-0.46670104198328355,1.7047,-0.4642575810305605,1.706
"(55, 30)",0.662496810562104,-0.47122144474594885,1.69016,-0.4729842272905316,1.689
"(60, 25)",1.7170180406189726,-0.4577649562130728,1.6973,-0.45378560551859515,1.702
"(60, 30)",9.884015949803933,-0.46223299909817817,1.6827,-0.4904375198104738,1.684
"(60, 35)",1.548334816992269,-0.4667708551533636,1.6681000000000001,-0.47123889803853736,1.668
"(60, 40)",1.147697441958856,-0.4713959776711487,1.65354,-0.4747295565425258,1.6540000000000001
"(65, 30)",1.6317561616526717,-0.4531572869878078,1.6753900000000002,-0.4485496177626125,1.674
"(65, 35)",3.0520402374874362,-0.4576427831654333,1.66078,-0.4660029102825547,1.6560000000000001
"(65, 40)",1.686351173698334,-0.46219809251313837,1.6461800000000002,-0.4572762640225836,1.6460000000000001
"(65, 45)",6.935365749303119,-0.4668581216159633,1.63152,-0.48694686130648535,1.625
"(65, 50)",1.34682528518332,-0.4715879638888678,1.61688,-0.4677482395345489,1.615
"(70, 30)",1.2367985782822215,-0.4439943084148372,1.6683500000000002,-0.4415683007546356,1.6640000000000001
"(70, 35)",0.348277293750434,-0.44840999142238314,1.6536600000000001,-0.4485496177626125,1.6520000000000001
"(70, 40)",1.6065956849043423,-0.45291294089252876,1.6389500000000001,-0.4572762640225836,1.6360000000000001
"(70, 45)",1.8585637611949113,-0.45750315682527365,1.62421,-0.4520402762666009,1.623
"(70, 50)",1.287049559660613,-0.4621631859280986,1.60949,-0.4660029102825547,1.61
"(70, 55)",0.48789744890017117,-0.4669279347860429,1.59483,-0.4660029102825547,1.593
"(75, 35)",1.625490721874905,-0.4391073865092534,1.64665,-0.4433136300066298,1.643
"(75, 40)",6.018233774441783,-0.443540522809319,1.6318500000000002,-0.4258603374866876,1.6340000000000001
"(75, 45)",1.4023715073781007,-0.4480609255719843,1.61703,-0.4520402762666009,1.615
"(75, 50)",1.3921497645933758,-0.4526511415047296,1.60226,-0.4485496177626125,1.601
"(75, 55)",1.217764461814313,-0.4573460771925939,1.58755,-0.45378560551859515,1.586
"(75, 60)",37.204851319254566,-0.46212827934305833,1.57287,-0.3490658503989419,1.588
"(75, 65)",1.2726518506583033,-0.4670152012486426,1.5582500000000001,-0.46949356878654314,1.563
"(75, 75)",0.6036010041883031,-0.47705084444761026,1.53679,-0.47647488579452,1.534
"(80, 25)",0.4095593882693767,-0.42123521496883165,1.6764200000000002,-0.42236967898269917,1.677
"(80, 45)",4.857762154361978,-0.4385314278560952,1.61,-0.4241150082346934,1.607
"(80, 50)",1.296122831097224,-0.44306928391128064,1.59519,-0.44680428851061826,1.597
"(80, 55)",1.5177377901761746,-0.44767695313654565,1.5804200000000002,-0.4433136300066298,1.578
"(80, 60)",0.3006912074197184,-0.4523893421169305,1.56566,-0.4520402762666009,1.567
"(80, 65)",0.6209389590026603,-0.4571889975599146,1.5509700000000002,-0.4590215932745778,1.55
"(80, 70)",1.1909258146791264,-0.46209337275801854,1.53632,-0.4642575810305605,1.541
"(80, 75)",5.285696613833579,-0.46708501441872263,1.5217100000000001,-0.4834562028024969,1.5270000000000001
"(85, 35)",1.3257012431319266,-0.4202578305877145,1.63999,-0.4241150082346934,1.639
"(85, 50)",1.6518882043630778,-0.43338270656271227,1.58827,-0.43807764225064716,1.591
"(85, 55)",1.317530139601335,-0.43792056261789725,1.5734400000000002,-0.4345869837466587,1.577
"(85, 60)",1.072263579251586,-0.44256313842820205,1.55861,-0.44505895925862404,1.562
