,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",4.68638662383711,-0.4750611691003366,1.7919800000000001,-0.46251225177856625,1.79
"(40, 10)",0.621262159269188,-0.47944194552284225,1.7774500000000002,-0.4803146101489073,1.78
"(45, 5)",49.73398284045115,-0.46657886893564404,1.7782,-0.33370695298139275,1.8
"(45, 10)",42.53274924727782,-0.4709072854805898,1.76354,-0.3560471674069188,1.78
"(50, 5)",4.621652039148667,-0.4580267556008719,1.7709000000000001,-0.47054076633773967,1.77
"(50, 10)",15.800155356605734,-0.4623028122682582,1.75618,-0.4192280863291096,1.76
"(50, 15)",45.12624407927964,-0.46664868210572363,1.74149,-0.34330626386736096,1.76
"(50, 20)",38.01786336886577,-0.47106436511326955,1.7268100000000002,-0.36599554414328583,1.74
"(50, 25)",0.8419112965932173,-0.47556731458341517,1.7122600000000001,-0.47752208334571655,1.71
"(50, 30)",0.4809924853879526,-0.4801400772236404,1.69771,-0.47996554429850846,1.7
"(55, 5)",1.9642339187968962,-0.44940482909601975,1.7637200000000002,-0.4543092042941934,1.76
"(55, 10)",33.711640054451784,-0.453611072593326,1.74893,-0.5461135229490894,1.75
"(55, 15)",1.0812652789927746,-0.4579045825532324,1.73408,-0.45605453354618763,1.73
"(55, 20)",25.96254422916725,-0.4622679056832184,1.71932,-0.534768882811127,1.72
"(55, 25)",2.6062019795919924,-0.46670104198328355,1.7047,-0.4598942579005749,1.7
"(55, 30)",1.293018518973392,-0.47122144474594885,1.69016,-0.4749040894677252,1.69
"(60, 25)",32.962027555888035,-0.4577649562130728,1.6973,-0.5510004448546733,1.7
"(60, 30)",24.68997982571876,-0.46223299909817817,1.6827,-0.3920009499979997,1.69
"(60, 35)",26.57621948166194,-0.4667708551533636,1.6681000000000001,-0.5433209961458987,1.67
"(60, 40)",42.81175331926585,-0.4713959776711487,1.65354,-0.34784411992254594,1.67
"(65, 30)",48.49630224513289,-0.4531572869878078,1.6753900000000002,-0.31573006168585227,1.7
"(65, 35)",2.9549422359512163,-0.4576427831654333,1.66078,-0.4661774432077541,1.6600000000000001
"(65, 40)",35.44994101150006,-0.46219809251313837,1.6461800000000002,-0.3593632929857078,1.6600000000000001
"(65, 45)",5.165116150151905,-0.4668581216159633,1.63152,-0.4820599394009015,1.6300000000000001
"(65, 50)",50.50047308809484,-0.4715879638888678,1.61688,-0.3228859116190286,1.6400000000000001
"(70, 30)",6.125480393481189,-0.4439943084148372,1.6683500000000002,-0.4263839362622859,1.67
