,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",16.885138141663216,-0.4750611691003366,1.7919800000000001,-0.4297000618410749,1.79
"(40, 10)",6.279499488321337,-0.47944194552284225,1.7774500000000002,-0.49637163926725414,1.78
"(45, 5)",22.44517567038672,-0.46657886893564404,1.7782,-0.5270894341023524,1.78
"(45, 10)",12.99583774439019,-0.4709072854805898,1.76354,-0.43580871422305467,1.77
"(50, 5)",0.35760256956477243,-0.4580267556008719,1.7709000000000001,-0.4588470603493784,1.77
"(50, 10)",49.78237664555122,-0.4623028122682582,1.75618,-0.3277728335246124,1.78
"(50, 15)",0.8995512278684497,-0.46664868210572363,1.74149,-0.46896997001094487,1.74
"(50, 20)",38.58536449017415,-0.47106436511326955,1.7268100000000002,-0.36442474781649103,1.74
"(50, 25)",5.053304281122272,-0.47556731458341517,1.7122600000000001,-0.4621631859281674,1.72
"(50, 30)",0.6032935307023006,-0.4801400772236404,1.69771,-0.47909287967251135,1.7
"(55, 5)",0.9713163214885886,-0.44940482909601975,1.7637200000000002,-0.4509930787154044,1.76
"(55, 10)",2.87379994237371,-0.453611072593326,1.74893,-0.44575709095942173,1.75
"(55, 15)",7.093997145757776,-0.4579045825532324,1.73408,-0.4386012410262454,1.74
"(55, 20)",0.1466208771337191,-0.4622679056832184,1.71932,-0.4621631859281674,1.72
"(55, 25)",23.224379808948022,-0.46670104198328355,1.7047,-0.5319763560079362,1.71
"(55, 30)",0.07223817298916338,-0.47122144474594885,1.69016,-0.4714134309637368,1.69
"(60, 25)",4.714386922721578,-0.4577649562130728,1.6973,-0.4445353604830258,1.7
"(60, 30)",1.042758821870223,-0.46223299909817817,1.6827,-0.4597197249753755,1.68
"(60, 35)",20.52009379955186,-0.4667708551533636,1.6681000000000001,-0.5258677036259565,1.67
"(60, 40)",42.452403539928,-0.4713959776711487,1.65354,-0.34889131747374247,1.67
"(65, 30)",48.55709295394367,-0.4531572869878078,1.6753900000000002,-0.31555552876065285,1.7
"(65, 35)",2.6525067765770873,-0.4576427831654333,1.66078,-0.465304778581757,1.6600000000000001
"(65, 40)",36.524439527413385,-0.46219809251313837,1.6461800000000002,-0.3562217003321182,1.6600000000000001
"(65, 45)",0.5268279522037677,-0.4668581216159633,1.63152,-0.46809730538494776,1.6300000000000001
"(65, 50)",2.210553446518434,-0.4715879638888678,1.61688,-0.465304778581757,1.62
"(70, 30)",0.3495999205897927,-0.4439943084148372,1.6683500000000002,-0.44418629463262693,1.67
"(70, 35)",18.281833923261228,-0.44840999142238314,1.6536600000000001,-0.39549160850198817,1.6600000000000001
"(70, 40)",3.6343403747707868,-0.45291294089252876,1.6389500000000001,-0.4635594493297628,1.6400000000000001
"(70, 45)",9.067061432665696,-0.45750315682527365,1.62421,-0.43092179231747085,1.6300000000000001
"(70, 50)",0.11980086885876552,-0.4621631859280986,1.60949,-0.46233771885336683,1.61
"(70, 55)",38.28951220720415,-0.4669279347860429,1.59483,-0.3522074430525315,1.61
