,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",11.237117668647851,-0.4750611691003366,1.7919800000000001,-0.4448844263334246,1.79
"(40, 10)",3.0144546594861543,-0.47944194552284225,1.7774500000000002,-0.4874704600820836,1.78
"(45, 5)",0.3785463261593042,-0.46657886893564404,1.7782,-0.4667010419833524,1.78
"(45, 10)",15.809792986822321,-0.4709072854805898,1.76354,-0.4281292655142801,1.77
"(50, 5)",0.28349776099423474,-0.4580267556008719,1.7709000000000001,-0.457450796947783,1.77
"(50, 10)",11.393638311327484,-0.4623028122682582,1.75618,-0.4312708581678697,1.76
"(50, 15)",0.375048997177456,-0.46664868210572363,1.74149,-0.46722464075895065,1.74
"(50, 20)",39.40061464116791,-0.47106436511326955,1.7268100000000002,-0.36215581978889855,1.74
"(50, 25)",7.216599261194283,-0.47556731458341517,1.7122600000000001,-0.4558800006209882,1.72
"(50, 30)",0.4806602922008785,-0.4801400772236404,1.69771,-0.4803146101489073,1.7
"(55, 5)",0.7874829857852387,-0.44940482909601975,1.7637200000000002,-0.44977134823900844,1.76
"(55, 10)",0.23121357125432077,-0.453611072593326,1.74893,-0.45378560551859515,1.75
"(55, 15)",2.134152919186449,-0.4579045825532324,1.73408,-0.45308747381779746,1.74
"(55, 20)",0.1466208771337191,-0.4622679056832184,1.71932,-0.4621631859281674,1.72
"(55, 25)",4.121958095948608,-0.46670104198328355,1.7047,-0.45553093477058937,1.71
"(55, 30)",0.03339801981999433,-0.47122144474594885,1.69016,-0.47123889803853736,1.69
"(60, 25)",0.5776131557932056,-0.4577649562130728,1.6973,-0.4581489286485807,1.7
"(60, 30)",0.5631302621878256,-0.46223299909817817,1.6827,-0.46233771885336683,1.68
"(60, 35)",0.3967167761103979,-0.4667708551533636,1.6681000000000001,-0.4668755749085518,1.67
"(60, 40)",41.25016654337362,-0.4713959776711487,1.65354,-0.3523819759777309,1.67
"(65, 30)",48.55709295394367,-0.4531572869878078,1.6753900000000002,-0.31555552876065285,1.7
"(65, 35)",29.2845520128401,-0.4576427831654333,1.66078,-0.5424483315199016,1.6600000000000001
"(65, 40)",35.987592923386494,-0.46219809251313837,1.6461800000000002,-0.357792496658913,1.6600000000000001
"(65, 45)",0.3665497474359731,-0.4668581216159633,1.63152,-0.46739917368415007,1.6300000000000001
"(65, 50)",0.6897112191450572,-0.4715879638888678,1.61688,-0.4708898321881385,1.62
"(70, 30)",0.3433279792837712,-0.4439943084148372,1.6683500000000002,-0.4440117617074275,1.67
