,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",326.78150740329187,-0.4750611691003366,1.7919800000000001,0.5331980864841368,0.537
"(40, 10)",326.2928858963682,-0.47944194552284225,1.7774500000000002,0.550651379004079,0.534
"(45, 5)",139.25307953665205,-0.46657886893564404,1.7782,-0.11344640137972206,1.929
"(45, 10)",141.3054171995647,-0.4709072854805898,1.76354,-0.11257373675372495,1.929
"(50, 5)",136.48664620227595,-0.4580267556008719,1.7709000000000001,-0.11257373675372495,1.929
"(50, 10)",138.24526294295484,-0.4623028122682582,1.75618,-0.11257373675372495,1.929
"(50, 15)",139.75602289443836,-0.46664868210572363,1.74149,-0.11344640137972206,1.929
"(50, 20)",141.95465240431554,-0.47106436511326955,1.7268100000000002,-0.11257373675372495,1.929
"(50, 25)",147.75487866338727,-0.47556731458341517,1.7122600000000001,-0.09861110273777118,1.9180000000000001
"(50, 30)",145.87014149017128,-0.4801400772236404,1.69771,-0.11257373675372495,1.929
"(55, 5)",133.4153250825981,-0.44940482909601975,1.7637200000000002,-0.11257373675372495,1.929
"(55, 10)",135.21253662721224,-0.453611072593326,1.74893,-0.11257373675372495,1.929
"(55, 15)",137.08626897116648,-0.4579045825532324,1.73408,-0.11257373675372495,1.929
"(55, 20)",138.69939676654357,-0.4622679056832184,1.71932,-0.11344640137972206,1.929
"(55, 25)",144.6920193872512,-0.46670104198328355,1.7047,-0.09861110273777118,1.917
"(55, 30)",146.61060683362024,-0.47122144474594885,1.69016,-0.09861110273777118,1.917
"(60, 25)",138.09731752963074,-0.4577649562130728,1.6973,-0.11257373675372495,1.929
"(60, 30)",140.15245683105525,-0.46223299909817817,1.6827,-0.11257373675372495,1.929
"(60, 35)",142.26096825605234,-0.4667708551533636,1.6681000000000001,-0.11257373675372495,1.929
"(60, 40)",144.41713462171458,-0.4713959776711487,1.65354,-0.11257373675372495,1.929
"(65, 30)",137.3438050849242,-0.4531572869878078,1.6753900000000002,-0.11257373675372495,1.929
"(65, 35)",139.4843839803188,-0.4576427831654333,1.66078,-0.11257373675372495,1.929
"(65, 40)",141.67544728878323,-0.46219809251313837,1.6461800000000002,-0.11257373675372495,1.929
"(65, 45)",143.9217846591173,-0.4668581216159633,1.63152,-0.11257373675372495,1.929
"(65, 50)",149.3094365402233,-0.4715879638888678,1.61688,-0.09861110273777118,1.917
"(70, 30)",134.54985171255848,-0.4439943084148372,1.6683500000000002,-0.11257373675372495,1.929
"(70, 35)",136.73106472233448,-0.44840999142238314,1.6536600000000001,-0.11257373675372495,1.929
"(70, 40)",138.68298298257616,-0.45291294089252876,1.6389500000000001,-0.11344640137972206,1.929
"(70, 45)",141.26016672995542,-0.45750315682527365,1.62421,-0.11257373675372495,1.929
"(70, 50)",143.5945876811272,-0.4621631859280986,1.60949,-0.11257373675372495,1.929
"(70, 55)",149.00729574087055,-0.4669279347860429,1.59483,-0.09861110273777118,1.9180000000000001
"(75, 35)",134.02312989461367,-0.4391073865092534,1.64665,-0.11257373675372495,1.929
"(75, 40)",136.30297208892324,-0.443540522809319,1.6318500000000002,-0.11257373675372495,1.929
"(75, 45)",138.6353722324589,-0.4480609255719843,1.61703,-0.11257373675372495,1.929
"(75, 50)",141.0089967460673,-0.4526511415047296,1.60226,-0.11257373675372495,1.929
"(75, 55)",143.41860964281327,-0.4573460771925939,1.58755,-0.11257373675372495,1.929
"(75, 60)",145.8658331825537,-0.46212827934305833,1.57287,-0.11257373675372495,1.929
"(75, 65)",150.99204412966054,-0.4670152012486426,1.5582500000000001,-0.09861110273777118,1.917
"(75, 75)",279.30284433576145,-0.47705084444761026,1.53679,0.558505360638053,0.491
"(80, 25)",299.85026281824287,-0.42123521496883165,1.6764200000000002,0.5462880558740935,0.517
"(80, 45)",136.05203696398286,-0.4385314278560952,1.61,-0.11257373675372495,1.929
"(80, 50)",138.46328529427024,-0.44306928391128064,1.59519,-0.11257373675372495,1.929
"(80, 55)",140.9089608647247,-0.44767695313654565,1.5804200000000002,-0.11257373675372495,1.929
"(80, 60)",143.3968024383355,-0.4523893421169305,1.56566,-0.11257373675372495,1.929
"(80, 65)",145.91550496966005,-0.4571889975599146,1.5509700000000002,-0.11257373675372495,1.929
"(80, 70)",148.46224769370258,-0.46209337275801854,1.53632,-0.11257373675372495,1.929
"(80, 75)",153.56668773134706,-0.46708501441872263,1.5217100000000001,-0.09861110273777118,1.9180000000000001
"(85, 35)",291.18590464694273,-0.4202578305877145,1.63999,0.5401794034921137,0.524
"(85, 50)",135.95916466977536,-0.43338270656271227,1.58827,-0.11257373675372495,1.929
"(85, 55)",138.44661080479,-0.43792056261789725,1.5734400000000002,-0.11257373675372495,1.929
"(85, 60)",140.974421915075,-0.44256313842820205,1.55861,-0.11257373675372495,1.929
"(85, 65)",143.5323229106522,-0.447292980701107,1.54383,-0.11257373675372495,1.929
"(85, 70)",146.1168407922384,-0.45211008943661124,1.52912,-0.11257373675372495,1.929
