,RMSE,Error > 1m
"(40, 5)",298.1494097883504,True
"(40, 10)",247.732737158559,True
"(45, 5)",255.2722539088638,True
"(45, 10)",355.71856868875295,True
"(50, 5)",302.0487484866493,True
"(50, 10)",403.1180828113736,True
"(50, 15)",561.4269657686399,True
"(50, 20)",352.52471638228934,True
"(50, 25)",209.79220627207408,True
"(50, 30)",343.25396131258975,True
"(55, 5)",332.6630788736708,True
"(55, 10)",190.44094051620883,True
"(55, 15)",234.84823981716045,True
"(55, 20)",363.70973048782315,True
"(55, 25)",357.44412981861876,True
"(55, 30)",43.088573175278604,True
"(60, 25)",105.9166208459283,True
"(60, 30)",100.57381671116639,True
"(60, 35)",115.34941559910268,True
"(60, 40)",333.00132819805515,True
"(65, 30)",218.6903486676683,True
"(65, 35)",337.11812619893544,True
"(65, 40)",393.50176873950784,True
"(65, 45)",254.69751898117445,True
"(65, 50)",221.02290077276874,True
"(70, 30)",187.2508090522887,True
"(70, 35)",301.9337889235772,True
"(70, 40)",236.05765552161984,True
"(70, 45)",238.99001494967015,True
"(70, 50)",129.65880205846133,True
"(70, 55)",205.8868755896949,True
"(75, 35)",196.9444035910032,True
"(75, 40)",326.08867003130695,True
"(75, 45)",204.28120269811834,True
"(75, 50)",268.5115396337788,True
"(75, 55)",250.7354296325207,True
"(75, 60)",259.0729981811939,True
"(75, 65)",255.9534405474869,True
"(75, 75)",99.40119152697656,True
"(80, 25)",491.13344438365107,True
"(80, 45)",187.8873749197641,True
"(80, 50)",278.8892247642437,True
"(80, 55)",402.77522048134443,True
"(80, 60)",307.92945690567916,True
"(80, 65)",150.49675413550247,True
"(80, 70)",299.7992283969584,True
"(80, 75)",259.664647267352,True
"(85, 35)",393.98186575084986,True
"(85, 50)",218.44484647541736,True
"(85, 55)",273.51294236962246,True
"(85, 60)",291.322552101726,True
"(85, 65)",153.4979874159663,True
"(85, 70)",142.98533546935056,True
"(85, 75)",284.04355714421075,True
"(85, 80)",307.82029955017583,True
"(85, 85)",279.95983980500006,True
"(85, 95)",221.22758451403288,True
"(90, 40)",212.8135243301595,True
"(90, 60)",422.4681225904979,True
"(90, 65)",510.23847470970287,True
"(90, 70)",276.4382215138371,True
"(90, 75)",301.61786095011206,True
"(90, 80)",267.4391528672156,True
"(90, 85)",445.3518284715921,True
"(90, 90)",208.2617757405716,True
"(90, 95)",308.5721525084384,True
"(90, 100)",251.74256175974682,True
"(95, 60)",58.78730793788629,True
"(95, 70)",157.83126204615903,True
"(95, 75)",193.5451197426767,True
"(95, 80)",335.197334281556,True
"(95, 85)",213.90610874037293,True
"(95, 90)",280.5602271349511,True
"(95, 95)",137.03965330615478,True
"(95, 100)",6.184078217215457,True
"(95, 105)",286.6363233098887,True
"(100, 60)",359.42826628790175,True
"(100, 65)",429.6996247080809,True
"(100, 70)",545.0300023675612,True
"(100, 80)",337.3429028240546,True
"(100, 85)",214.7557226713537,True
"(100, 90)",525.6127273018666,True
"(100, 95)",79.63035199687204,True
"(100, 100)",158.58889757921236,True
"(100, 105)",158.85929014093347,True
"(100, 110)",405.95862235461146,True
"(100, 115)",86.26067535578723,True
"(100, 135)",46.69936646362226,True
"(105, 85)",330.64303393780875,True
"(105, 90)",259.7393426677203,True
"(105, 95)",155.05357929014733,True
"(105, 100)",10.125743909451954,True
"(105, 105)",408.8150810598555,True
"(105, 110)",270.91181912777756,True
"(105, 115)",296.56416415893995,True
"(105, 120)",280.1759323128803,True
"(110, 80)",229.65230369386595,True
"(110, 85)",278.4627402330549,True
"(110, 90)",282.4981915914479,True
"(110, 100)",304.694474443889,True
"(110, 105)",393.9235798368668,True
"(110, 110)",204.9099572726544,True
"(110, 115)",153.36471710891394,True
"(110, 120)",178.42394893390266,True
"(110, 125)",290.1381085454825,True
"(110, 130)",150.14998238201102,True
"(110, 150)",256.35548826193923,True
"(110, 155)",199.97111842250163,True
"(115, 110)",261.1925015788731,True
"(115, 115)",104.36708811731107,True
"(115, 120)",152.12665733908355,True
"(115, 125)",223.7171724727913,True
"(115, 130)",166.74759753271755,True
"(115, 135)",202.70943934161912,True
"(115, 140)",105.77930121654641,True
"(115, 150)",409.50275624486545,True
"(120, 115)",334.7401993308801,True
"(120, 120)",234.05814357910754,True
"(120, 125)",436.41540531682,True
"(120, 130)",147.95710888583505,True
"(120, 135)",87.44670148621437,True
"(120, 140)",244.89168232023155,True
"(120, 145)",133.61310081411142,True
"(120, 150)",209.3709728347477,True
"(120, 165)",172.01282442553142,True
"(120, 170)",225.39186794601326,True
"(125, 125)",72.96472476515922,True
"(125, 130)",202.47389089788936,True
"(125, 135)",139.1235989445358,True
"(125, 140)",85.15738308120511,True
"(125, 145)",58.16250556233822,True
"(125, 150)",153.96271369678556,True
"(125, 155)",234.16770939087485,True
"(125, 160)",75.58392188383071,True
"(125, 165)",93.25795074443793,True
"(125, 170)",382.1376209354241,True
"(130, 135)",133.7821902867356,True
"(130, 140)",232.733758622321,True
"(130, 145)",95.7058520907878,True
"(130, 150)",373.9728279899721,True
"(130, 155)",305.9648421461541,True
"(130, 160)",112.84968814089355,True
"(130, 165)",479.53333262483727,True
"(130, 170)",215.22976870766524,True
"(130, 175)",150.80701250328704,True
"(135, 145)",97.92245504188024,True
"(135, 150)",215.42210057114593,True
"(135, 155)",197.90259263704047,True
"(135, 160)",220.092364149651,True
"(135, 165)",236.4899245952552,True
"(135, 170)",325.5392111745183,True
"(135, 175)",60.694746370021925,True
"(135, 180)",215.6331701699222,True
"(140, 135)",452.163087792162,True
"(140, 150)",340.21193690735356,True
"(140, 155)",552.4871378226303,True
"(140, 160)",59.827980048956135,True
"(140, 165)",91.83724664000546,True
"(140, 170)",162.01543050791713,True
"(140, 175)",232.06118415158176,True
"(140, 180)",218.75193883507683,True
"(140, 185)",142.58948852193086,True
"(140, 190)",173.3926809479546,True
"(145, 150)",221.4097762220621,True
"(145, 155)",217.76614474773308,True
"(145, 160)",497.27362821932707,True
"(145, 165)",277.4242852557162,True
"(145, 170)",181.82451639668813,True
"(145, 175)",124.68124933076513,True
"(145, 180)",280.2817938268584,True
"(145, 185)",332.91101032640995,True
"(145, 190)",40.8717192469728,True
"(145, 195)",353.25554381323974,True
"(145, 200)",170.8681762901675,True
"(150, 150)",219.16534856555575,True
"(150, 155)",8.335675034711354,True
"(150, 160)",553.6806208145811,True
"(150, 165)",409.8361606097616,True
"(150, 170)",122.05474966124463,True
"(150, 175)",196.14219769852642,True
"(150, 180)",157.98251501766813,True
"(150, 185)",398.8714037218052,True
"(150, 190)",254.77599621074816,True
"(150, 195)",224.6607292953511,True
"(150, 200)",1.7644256921490602,True
"(150, 205)",154.70522771319068,True
"(150, 210)",346.024061194265,True
"(155, 155)",12.181878614987804,True
"(155, 175)",176.62496495714842,True
"(155, 180)",136.65010316355253,True
"(155, 190)",340.9655115714689,True
"(155, 195)",302.78342189800554,True
"(155, 200)",273.3770259942392,True
"(155, 205)",502.47350457568774,True
"(155, 210)",509.896929528078,True
"(155, 215)",73.19731028505522,True
"(155, 220)",188.49157798555711,True
"(155, 225)",3.7536531297418128,True
"(155, 230)",175.9561928878222,True
"(160, 160)",375.2314092678512,True
"(160, 195)",296.6284448879677,True
"(160, 200)",84.09293097331026,True
"(160, 205)",401.9396714337383,True
"(160, 210)",2.192845198574537,True
"(160, 215)",218.09999536358222,True
"(160, 220)",182.59334815172622,True
"(160, 225)",4.047085939877307,True
"(160, 230)",5.032048447902396,True
"(165, 195)",2.557053369191997,True
"(165, 200)",310.4434604253205,True
"(165, 205)",226.0097456597356,True
"(165, 210)",148.04087847407567,True
"(165, 215)",140.36188498433285,True
"(165, 220)",3.909763071091353,True
"(165, 225)",519.0828817303452,True
"(165, 230)",6.768470686637156,True
"(165, 235)",58.80933185888488,True
"(165, 240)",39.90411556556547,True
"(170, 205)",229.08598800893193,True
"(170, 210)",156.24368924062787,True
"(170, 215)",77.39853502904064,True
"(170, 220)",243.2521845959624,True
"(170, 225)",129.50815249729249,True
"(170, 230)",0.11444631816720506,False
"(170, 235)",422.63998557095323,True
"(170, 240)",3.972084937134226,True
"(170, 245)",3.40451612203683,True
"(170, 250)",277.88040473573636,True
"(175, 210)",174.30714641733974,True
"(175, 215)",411.50834590578677,True
"(175, 220)",5.88280632812129,True
"(175, 225)",378.33962807839873,True
"(175, 230)",274.87559464565504,True
