,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",544.6515656973708,-0.4750611691003366,1.7919800000000001,0.2076941809872146,3.755
"(40, 10)",546.648655977262,-0.47944194552284225,1.7774500000000002,0.20594885173522037,3.755
"(45, 5)",381.5516776431558,-0.46657886893564404,1.7782,-1.202531854624116,2.705
"(45, 10)",3.346382953366259,-0.4709072854805898,1.76354,-0.47996554429850846,1.7650000000000001
"(50, 5)",384.820224278885,-0.4580267556008719,1.7709000000000001,-1.202531854624116,2.705
"(50, 10)",11.617459293289379,-0.4623028122682582,1.75618,-0.49392817831446223,1.76
"(50, 15)",382.2874878391763,-0.46664868210572363,1.74149,-1.202531854624116,2.705
"(50, 20)",381.0658027031743,-0.47106436511326955,1.7268100000000002,-1.202531854624116,2.705
"(50, 25)",379.8455650459068,-0.47556731458341517,1.7122600000000001,-1.202531854624116,2.705
"(50, 30)",378.6600060936185,-0.4801400772236404,1.69771,-1.202531854624116,2.705
"(55, 5)",388.0941184591569,-0.44940482909601975,1.7637200000000002,-1.202531854624116,2.705
"(55, 10)",386.82430409300196,-0.453611072593326,1.74893,-1.202531854624116,2.705
"(55, 15)",385.60277882565623,-0.4579045825532324,1.73408,-1.202531854624116,2.705
"(55, 20)",384.39275590323103,-0.4622679056832184,1.71932,-1.202531854624116,2.705
"(55, 25)",383.1810352509746,-0.46670104198328355,1.7047,-1.202531854624116,2.705
"(55, 30)",381.98253586073395,-0.47122144474594885,1.69016,-1.202531854624116,2.705
"(60, 25)",386.51236647300175,-0.4577649562130728,1.6973,-1.202531854624116,2.705
"(60, 30)",385.3190724756632,-0.46223299909817817,1.6827,-1.202531854624116,2.705
"(60, 35)",384.1596378099762,-0.4667708551533636,1.6681000000000001,-1.202531854624116,2.705
"(60, 40)",383.02396764964647,-0.4713959776711487,1.65354,-1.202531854624116,2.705
"(65, 30)",388.6543158693675,-0.4531572869878078,1.6753900000000002,-1.202531854624116,2.705
"(65, 35)",387.4859800372338,-0.4576427831654333,1.66078,-1.202531854624116,2.705
"(65, 40)",386.34858300292734,-0.46219809251313837,1.6461800000000002,-1.202531854624116,2.705
"(65, 45)",385.26225890617997,-0.4668581216159633,1.63152,-1.202531854624116,2.705
"(65, 50)",384.20600297398613,-0.4715879638888678,1.61688,-1.202531854624116,2.705
"(70, 30)",391.9565358393408,-0.4439943084148372,1.6683500000000002,-1.202531854624116,2.705
"(70, 35)",390.79763137663156,-0.44840999142238314,1.6536600000000001,-1.202531854624116,2.705
"(70, 40)",389.67749405541934,-0.45291294089252876,1.6389500000000001,-1.202531854624116,2.705
"(70, 45)",388.5999405560101,-0.45750315682527365,1.62421,-1.202531854624116,2.705
"(70, 50)",387.5519595661566,-0.4621631859280986,1.60949,-1.202531854624116,2.705
"(70, 55)",386.5226118118965,-0.4669279347860429,1.59483,-1.202531854624116,2.705
"(75, 35)",394.11935527026105,-0.4391073865092534,1.64665,-1.202531854624116,2.705
"(75, 40)",393.0112470906481,-0.443540522809319,1.6318500000000002,-1.202531854624116,2.705
"(75, 45)",391.9426032460495,-0.4480609255719843,1.61703,-1.202531854624116,2.705
"(75, 50)",390.8944714934044,-0.4526511415047296,1.60226,-1.202531854624116,2.705
"(75, 55)",389.8641309127559,-0.4573460771925939,1.58755,-1.202531854624116,2.705
"(75, 60)",388.8604713267154,-0.46212827934305833,1.57287,-1.202531854624116,2.705
"(75, 65)",387.8750070937527,-0.4670152012486426,1.5582500000000001,-1.202531854624116,2.705
"(75, 75)",180.11405821728258,-0.47705084444761026,1.53679,-0.7976154681614567,2.185
"(80, 25)",144.35157545775692,-0.42123521496883165,1.6764200000000002,0.0017453292518965213,1.42
"(80, 45)",395.28517576325123,-0.4385314278560952,1.61,-1.202531854624116,2.705
"(80, 50)",394.2340093127004,-0.44306928391128064,1.59519,-1.202531854624116,2.705
"(80, 55)",393.2055377889949,-0.44767695313654565,1.5804200000000002,-1.202531854624116,2.705
"(80, 60)",392.20892647348256,-0.4523893421169305,1.56566,-1.202531854624116,2.705
"(80, 65)",391.2268622749606,-0.4571889975599146,1.5509700000000002,-1.202531854624116,2.705
"(80, 70)",390.26842021017626,-0.46209337275801854,1.53632,-1.202531854624116,2.705
"(80, 75)",389.33395178468317,-0.46708501441872263,1.5217100000000001,-1.202531854624116,2.705
"(85, 35)",539.6608705031455,-0.4202578305877145,1.63999,0.20420352248322615,3.755
"(85, 50)",397.5739496102371,-0.43338270656271227,1.58827,-1.202531854624116,2.705
"(85, 55)",10.320901842074752,-0.43792056261789725,1.5734400000000002,-0.4066617157147512,1.58
"(85, 60)",395.55498401490695,-0.44256313842820205,1.55861,-1.202531854624116,2.705
"(85, 65)",394.5824073374296,-0.447292980701107,1.54383,-1.202531854624116,2.705
"(85, 70)",393.6237076634172,-0.45211008943661124,1.52912,-1.202531854624116,2.705
"(85, 75)",392.69123845733964,-0.4570319179272353,1.51444,-1.202531854624116,2.705
"(85, 80)",391.77916480367753,-0.46205846617297874,1.49981,-1.202531854624116,2.705
"(85, 85)",390.8941196840564,-0.46717228088132234,1.4852100000000001,-1.202531854624116,2.705
"(85, 95)",389.1545169768286,-0.47774897614840794,1.45626,-1.202531854624116,2.705
"(90, 40)",136.06276841276934,-0.414917123076612,1.6185,0.0017453292518965213,1.42
"(90, 60)",398.8992105354573,-0.4326322149843542,1.55172,-1.202531854624116,2.705
"(90, 65)",397.9362684769362,-0.4372922440871796,1.53685,-1.202531854624116,2.705
"(90, 70)",396.9835249906834,-0.44202208636008367,1.52206,-1.202531854624116,2.705
"(90, 75)",396.050104331016,-0.44687410168062813,1.5073200000000002,-1.202531854624116,2.705
"(90, 80)",395.1361736317495,-0.4518133834637723,1.4926300000000001,-1.202531854624116,2.705
"(90, 85)",394.28057455454814,-0.4568573850020359,1.4778700000000002,-1.202531854624116,2.705
"(90, 90)",393.42639364377806,-0.46200610629541927,1.46322,-1.202531854624116,2.705
"(90, 95)",392.5730166629114,-0.46727700063644173,1.4486800000000002,-1.202531854624116,2.705
"(90, 100)",391.723207037829,-0.47265261473258446,1.4342400000000002,-1.202531854624116,2.705
"(95, 60)",418.31959809074425,-0.4226140250779069,1.55243,1.0122909661565505,1.53
"(95, 70)",400.33313033982637,-0.4318468168209568,1.51519,-1.202531854624116,2.705
"(95, 75)",399.43330229516965,-0.4366115656789016,1.50028,-1.202531854624116,2.705
"(95, 80)",398.5562819883435,-0.4414810342919657,1.4854100000000001,-1.202531854624116,2.705
"(95, 85)",397.69913967819684,-0.4464377693676296,1.47059,-1.202531854624116,2.705
"(95, 90)",396.8324708327728,-0.45149922419841326,1.45591,-1.202531854624116,2.705
"(95, 95)",395.9685245774855,-0.45668285207683645,1.4413300000000002,-1.202531854624116,2.705
"(95, 100)",395.12033206863777,-0.46197119971037903,1.42681,-1.202531854624116,2.705
"(95, 105)",394.3017259598126,-0.4673642670990419,1.4123100000000002,-1.202531854624116,2.705
"(100, 60)",546.2606746368366,-0.4125085687088599,1.54584,0.20245819323123193,3.755
"(100, 65)",548.8937104706644,-0.41699406488648516,1.53098,0.20245819323123193,3.755
"(100, 70)",552.4210708577484,-0.4215842808192303,1.51615,0.20594885173522037,3.755
"(100, 80)",401.90006435182045,-0.43102651207251963,1.47859,-1.202531854624116,2.705
"(100, 85)",401.040365340454,-0.4359134339781039,1.46371,-1.202531854624116,2.705
"(100, 90)",400.1931439474252,-0.4408876223462874,1.4489,-1.202531854624116,2.705
"(100, 95)",399.3549207497384,-0.4459839837621109,1.43417,-1.202531854624116,2.705
"(100, 100)",398.51182318749295,-0.4511850649330542,1.4195600000000002,-1.202531854624116,2.705
"(100, 105)",397.67337762685156,-0.4564908658591169,1.40504,-1.202531854624116,2.705
"(100, 110)",396.8812593678723,-0.4619188398328191,1.39049,-1.202531854624116,2.705
"(100, 115)",396.1227289251232,-0.4674689868541613,1.37595,-1.202531854624116,2.705
"(100, 135)",204.95942168100095,-0.49097857187852467,1.32742,-0.7976154681614567,2.185
"(105, 85)",404.3856621126749,-0.4252843788334584,1.4569800000000002,-1.202531854624116,2.705
"(105, 90)",403.53509200342427,-0.43017130073904264,1.44211,-1.202531854624116,2.705
"(105, 95)",403.18205006737566,-0.4351629423997463,1.42734,-1.2042771838761102,2.705
"(105, 100)",401.8676899392246,-0.44027675710808944,1.41258,-1.202531854624116,2.705
