,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",527.4058534252789,-0.4750611691003366,1.7919800000000001,-1.2409290981679888,3.505
"(40, 10)",525.6369895223372,-0.47944194552284225,1.7774500000000002,-1.2356931104120061,3.5100000000000002
"(45, 5)",258.4191402907342,-0.46657886893564404,1.7782,0.14660765716741686,0.755
"(45, 10)",256.055794228419,-0.4709072854805898,1.76354,0.14660765716741686,0.755
"(50, 5)",255.8473508380859,-0.4580267556008719,1.7709000000000001,0.14660765716741686,0.755
"(50, 10)",253.46026257997616,-0.4623028122682582,1.75618,0.14660765716741686,0.755
"(50, 15)",251.09935363780002,-0.46664868210572363,1.74149,0.14660765716741686,0.755
"(50, 20)",248.76431632907165,-0.47106436511326955,1.7268100000000002,0.14660765716741686,0.755
"(50, 25)",246.4618062486991,-0.47556731458341517,1.7122600000000001,0.14660765716741686,0.755
"(50, 30)",244.18605799290754,-0.4801400772236404,1.69771,0.14660765716741686,0.755
"(55, 5)",253.29845668893,-0.44940482909601975,1.7637200000000002,0.14660765716741686,0.755
"(55, 10)",250.88682707100068,-0.453611072593326,1.74893,0.14660765716741686,0.755
"(55, 15)",248.49663556094904,-0.4579045825532324,1.73408,0.14660765716741686,0.755
"(55, 20)",246.13628613077896,-0.4622679056832184,1.71932,0.14660765716741686,0.755
"(55, 25)",243.8089482343879,-0.46670104198328355,1.7047,0.14660765716741686,0.755
"(55, 30)",241.51222616598332,-0.47122144474594885,1.69016,0.14660765716741686,0.755
"(60, 25)",241.18015262746124,-0.4577649562130728,1.6973,0.14660765716741686,0.755
"(60, 30)",238.85867577727137,-0.46223299909817817,1.6827,0.14660765716741686,0.755
"(60, 35)",16.703451068377216,-0.4667708551533636,1.6681000000000001,-0.5148721293383929,1.67
"(60, 40)",234.30010897437515,-0.4713959776711487,1.65354,0.14660765716741686,0.755
"(65, 30)",236.22904762917224,-0.4531572869878078,1.6753900000000002,0.14660765716741686,0.755
"(65, 35)",233.91206181567233,-0.4576427831654333,1.66078,0.14660765716741686,0.755
"(65, 40)",231.62339098568808,-0.46219809251313837,1.6461800000000002,0.14660765716741686,0.755
"(65, 45)",229.36033762820136,-0.4668581216159633,1.63152,0.14660765716741686,0.755
"(65, 50)",227.12787092482205,-0.4715879638888678,1.61688,0.14660765716741686,0.755
"(70, 30)",233.630414102516,-0.4439943084148372,1.6683500000000002,0.14660765716741686,0.755
"(70, 35)",231.28674394319785,-0.44840999142238314,1.6536600000000001,0.14660765716741686,0.755
"(70, 40)",228.96968085508158,-0.45291294089252876,1.6389500000000001,0.14660765716741686,0.755
"(70, 45)",226.67960204637734,-0.45750315682527365,1.62421,0.14660765716741686,0.755
"(70, 50)",224.41999920873343,-0.4621631859280986,1.60949,0.14660765716741686,0.755
"(70, 55)",10.10007745482576,-0.4669279347860429,1.59483,-0.49741883681845067,1.595
"(75, 35)",228.68452805059118,-0.4391073865092534,1.64665,0.14660765716741686,0.755
