,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",7.161379505323419,-0.4750611691003366,1.7919800000000001,-0.49392817831446223,1.7850000000000001
"(40, 10)",4.57640150352804,-0.47944194552284225,1.7774500000000002,-0.4677482395345489,1.77
"(45, 5)",2.0713906328711196,-0.46657886893564404,1.7782,-0.46251225177856625,1.7850000000000001
"(45, 10)",7.355474423314683,-0.4709072854805898,1.76354,-0.4520402762666009,1.7750000000000001
"(50, 5)",22.95907573832755,-0.4580267556008719,1.7709000000000001,-0.5201081170943755,1.7750000000000001
"(50, 10)",8.384557361092197,-0.4623028122682582,1.75618,-0.4852015320544911,1.7550000000000001
"(50, 15)",15.568678400283314,-0.46664868210572363,1.74149,-0.4241150082346934,1.75
"(50, 20)",3.2225864157041486,-0.47106436511326955,1.7268100000000002,-0.47996554429850846,1.725
"(50, 25)",9.786981379706287,-0.47556731458341517,1.7122600000000001,-0.4485496177626125,1.72
"(50, 30)",24.830373605746555,-0.4801400772236404,1.69771,-0.4101523742187396,1.705
"(55, 5)",2.9094393047723,-0.44940482909601975,1.7637200000000002,-0.4572762640225836,1.7650000000000001
"(55, 10)",22.312582001088632,-0.453611072593326,1.74893,-0.5148721293383929,1.745
"(55, 15)",20.585891596209446,-0.4579045825532324,1.73408,-0.5148721293383929,1.735
"(55, 20)",13.849739311358947,-0.4622679056832184,1.71932,-0.5009094953224391,1.715
"(55, 25)",5.32606062908363,-0.46670104198328355,1.7047,-0.4817108735505027,1.705
"(55, 30)",9.274625879608127,-0.47122144474594885,1.69016,-0.44505895925862404,1.695
"(60, 25)",23.24609256891388,-0.4577649562130728,1.6973,-0.523598775598364,1.695
"(60, 30)",3.33181199421803,-0.46223299909817817,1.6827,-0.45378560551859515,1.69
"(60, 35)",22.230609065028762,-0.4667708551533636,1.6681000000000001,-0.5305800926063409,1.675
"(60, 40)",31.346395032462905,-0.4713959776711487,1.65354,-0.38048177693483787,1.6600000000000001
"(65, 30)",15.960810592985098,-0.4531572869878078,1.6753900000000002,-0.4084070449667454,1.69
"(65, 35)",25.938458515863303,-0.4576427831654333,1.66078,-0.5323254218583351,1.67
"(65, 40)",27.94197085436668,-0.46219809251313837,1.6461800000000002,-0.38048177693483787,1.6400000000000001
"(65, 45)",1.385316722316382,-0.4668581216159633,1.63152,-0.4660029102825547,1.625
"(65, 50)",27.118003203015796,-0.4715879638888678,1.61688,-0.3909537524468032,1.62
"(70, 30)",7.532709888942154,-0.4439943084148372,1.6683500000000002,-0.42236967898269917,1.665
"(70, 35)",20.969978991789358,-0.44840999142238314,1.6536600000000001,-0.38746309394281475,1.655
"(70, 40)",17.539275128808796,-0.45291294089252876,1.6389500000000001,-0.5044001538264276,1.635
"(70, 45)",5.293692232389656,-0.45750315682527365,1.62421,-0.4729842272905316,1.62
"(70, 50)",15.644113780034566,-0.4621631859280986,1.60949,-0.4153883619747223,1.61
"(70, 55)",3.8673401738013347,-0.4669279347860429,1.59483,-0.47822021504651424,1.59
"(75, 35)",4.547675116500114,-0.4391073865092534,1.64665,-0.4258603374866876,1.645
"(75, 40)",9.051483683494506,-0.443540522809319,1.6318500000000002,-0.4171336912267165,1.625
"(75, 45)",28.803139593840807,-0.4480609255719843,1.61703,-0.36302848441489566,1.6300000000000001
"(75, 50)",19.051690152987597,-0.4526511415047296,1.60226,-0.39618974020278586,1.615
"(75, 55)",6.894694698450975,-0.4573460771925939,1.58755,-0.47822021504651424,1.585
"(75, 60)",19.48464072020268,-0.46212827934305833,1.57287,-0.40317105721076274,1.585
"(75, 65)",18.38812142946074,-0.4670152012486426,1.5582500000000001,-0.523598775598364,1.565
"(75, 75)",8.705089016589408,-0.47705084444761026,1.53679,-0.5044001538264276,1.54
"(80, 25)",1.3473841907142465,-0.42123521496883165,1.6764200000000002,-0.42062434973070495,1.67
"(80, 45)",12.99467819249852,-0.4385314278560952,1.61,-0.3996803987067743,1.61
"(80, 50)",4.094057862088903,-0.44306928391128064,1.59519,-0.4310963252426703,1.6
"(80, 55)",11.373763142417754,-0.44767695313654565,1.5804200000000002,-0.4817108735505027,1.59
"(80, 60)",11.506968328310972,-0.4523893421169305,1.56566,-0.4171336912267165,1.57
"(80, 65)",17.023370397067445,-0.4571889975599146,1.5509700000000002,-0.5096361415824102,1.56
"(80, 70)",7.339230944540259,-0.46209337275801854,1.53632,-0.4398229715026414,1.545
"(80, 75)",7.538861275629797,-0.46708501441872263,1.5217100000000001,-0.4433136300066298,1.5250000000000001
"(85, 35)",1.0404024079504275,-0.4202578305877145,1.63999,-0.42062434973070495,1.635
"(85, 50)",8.83106099022334,-0.43338270656271227,1.58827,-0.4590215932745778,1.6
"(85, 55)",7.320241740661976,-0.43792056261789725,1.5734400000000002,-0.4590215932745778,1.585
"(85, 60)",15.007199904066313,-0.44256313842820205,1.55861,-0.48869219055847957,1.565
"(85, 65)",4.271160653090452,-0.447292980701107,1.54383,-0.4345869837466587,1.55
"(85, 70)",8.65072120543644,-0.45211008943661124,1.52912,-0.4258603374866876,1.54
"(85, 75)",1.5394871265896495,-0.4570319179272353,1.51444,-0.45378560551859515,1.52
"(85, 80)",4.338245170930464,-0.46205846617297874,1.49981,-0.4485496177626125,1.5050000000000001
"(85, 85)",3.2076138852448093,-0.46717228088132234,1.4852100000000001,-0.4572762640225836,1.49
"(85, 95)",12.754515820306672,-0.47774897614840794,1.45626,-0.5201081170943755,1.455
"(90, 40)",5.120648409467129,-0.414917123076612,1.6185,-0.4014257279587685,1.6300000000000001
"(90, 60)",6.36542819048853,-0.4326322149843542,1.55172,-0.41364303272272807,1.56
"(90, 65)",5.585464979169054,-0.4372922440871796,1.53685,-0.42062434973070495,1.545
"(90, 70)",4.33531913320571,-0.44202208636008367,1.52206,-0.42935099599067605,1.53
"(90, 75)",2.721230244280182,-0.44687410168062813,1.5073200000000002,-0.4398229715026414,1.5150000000000001
"(90, 80)",15.6877559747825,-0.4518133834637723,1.4926300000000001,-0.4014257279587685,1.5
"(90, 85)",8.687402596331628,-0.4568573850020359,1.4778700000000002,-0.4852015320544911,1.48
"(90, 90)",17.580281297460168,-0.46200610629541927,1.46322,-0.5201081170943755,1.46
"(90, 95)",3.5373334381368062,-0.46727700063644173,1.4486800000000002,-0.47822021504651424,1.455
"(90, 100)",5.339211791559692,-0.47265261473258446,1.4342400000000002,-0.4904375198104738,1.43
"(95, 60)",3.3217766746450343,-0.4226140250779069,1.55243,-0.4328416544946645,1.555
"(95, 70)",4.735230218275401,-0.4318468168209568,1.51519,-0.4171336912267165,1.52
"(95, 75)",7.505660897053252,-0.4366115656789016,1.50028,-0.46076692252657203,1.5
"(95, 80)",9.681651944474222,-0.4414810342919657,1.4854100000000001,-0.4101523742187396,1.48
"(95, 85)",10.778271092947785,-0.4464377693676296,1.47059,-0.4817108735505027,1.465
"(95, 90)",11.765832250899493,-0.45149922419841326,1.45591,-0.4904375198104738,1.45
"(95, 95)",10.620583167886279,-0.45668285207683645,1.4413300000000002,-0.492182849062468,1.445
"(95, 100)",10.998888727169643,-0.46197119971037903,1.42681,-0.4991641660704449,1.43
"(95, 105)",27.49288266428197,-0.4673642670990419,1.4123100000000002,-0.373500459926861,1.42
"(100, 60)",22.507056457581772,-0.4125085687088599,1.54584,-0.342084533390965,1.55
"(100, 65)",4.001994875905457,-0.41699406488648516,1.53098,-0.40491638646275696,1.5250000000000001
"(100, 70)",5.15983066557394,-0.4215842808192303,1.51615,-0.43807764225064716,1.5150000000000001
"(100, 80)",8.057612839436976,-0.43102651207251963,1.47859,-0.4572762640225836,1.475
"(100, 85)",5.695484518758339,-0.4359134339781039,1.46371,-0.4171336912267165,1.465
"(100, 90)",10.275698344895,-0.4408876223462874,1.4489,-0.4747295565425258,1.44
"(100, 95)",16.52637295926629,-0.4459839837621109,1.43417,-0.3909537524468032,1.445
"(100, 100)",5.230847154205311,-0.4511850649330542,1.4195600000000002,-0.4677482395345489,1.41
"(100, 105)",5.398547599418134,-0.4564908658591169,1.40504,-0.4747295565425258,1.41
"(100, 110)",9.683397741555277,-0.4619188398328191,1.39049,-0.49567350756645645,1.3900000000000001
"(100, 115)",14.82579376920015,-0.4674689868541613,1.37595,-0.4153883619747223,1.3800000000000001
"(100, 135)",7.845722375069797,-0.49097857187852467,1.32742,-0.46251225177856625,1.32
"(105, 85)",3.5650276839180473,-0.4252843788334584,1.4569800000000002,-0.41364303272272807,1.46
"(105, 90)",7.074970463018172,-0.43017130073904264,1.44211,-0.45378560551859515,1.445
"(105, 95)",3.7452967764432623,-0.4351629423997463,1.42734,-0.44680428851061826,1.42
"(105, 100)",5.491125098914507,-0.44027675710808944,1.41258,-0.4590215932745778,1.41
"(105, 105)",0.9757304267535121,-0.4454952915715529,1.3979800000000002,-0.4485496177626125,1.4000000000000001
"(105, 110)",2.3028167516160756,-0.45083599908265537,1.38331,-0.4572762640225836,1.3900000000000001
"(105, 115)",1.479869695778693,-0.4562988796413978,1.3687,-0.45378560551859515,1.375
"(105, 120)",9.940582622722921,-0.4618664799552592,1.35419,-0.49741883681845067,1.35
"(110, 80)",5.818630613760417,-0.4098382149533084,1.46529,-0.3909537524468032,1.47
"(110, 85)",2.594321069897664,-0.41453315064117335,1.45037,-0.42236967898269917,1.445
"(110, 90)",2.7271343001471573,-0.4193328060841577,1.4354900000000002,-0.4101523742187396,1.435
"(110, 100)",7.831762806438838,-0.4292637295280053,1.40578,-0.40317105721076274,1.415
"(110, 105)",6.734166741218342,-0.4343775442363489,1.39104,-0.41189770347073384,1.4000000000000001
"(110, 110)",1.8780537341733683,-0.43963098528485167,1.3763,-0.4415683007546356,1.385
"(110, 115)",2.0621301533820993,-0.4449891460884743,1.36162,-0.43807764225064716,1.365
"(110, 120)",3.8803076480408523,-0.4504694799397364,1.347,-0.4642575810305605,1.35
"(110, 125)",2.295607899673956,-0.4560719868386385,1.33241,-0.4642575810305605,1.33
"(110, 130)",8.84911032811118,-0.46181412007769973,1.3179200000000002,-0.49392817831446223,1.325
"(110, 150)",1.0897403269020727,-0.48619636972806024,1.2698,-0.4852015320544911,1.2750000000000001
"(110, 155)",5.145906506014368,-0.4926715412529594,1.2556600000000002,-0.4729842272905316,1.25
"(115, 110)",4.299951821176359,-0.42828634514688857,1.36946,-0.41364303272272807,1.375
"(115, 115)",5.51353963427863,-0.43355723948791125,1.3547200000000001,-0.4153883619747223,1.365
"(115, 120)",3.3650618608663185,-0.438932853584054,1.33996,-0.42935099599067605,1.35
"(115, 125)",10.063432322896892,-0.4444480940203559,1.3253400000000002,-0.4084070449667454,1.335
"(115, 130)",0.44076199406893585,-0.45008550750429777,1.3107499999999999,-0.4485496177626125,1.31
"(115, 135)",3.839583455809738,-0.4558625473283988,1.29616,-0.46949356878654314,1.29
"(115, 140)",16.02442247078375,-0.4617617602001398,1.2817,-0.4014257279587685,1.29
"(115, 150)",2.9090111038912867,-0.4740314248416597,1.2624,-0.4852015320544911,1.26
"(120, 115)",3.341150784599913,-0.42200315983970893,1.34792,-0.4101523742187396,1.345
"(120, 120)",4.4626371243989755,-0.42727405418073183,1.3331199999999999,-0.41189770347073384,1.34
"(120, 125)",3.7589050746725725,-0.43268457486191414,1.31843,-0.41887902047871073,1.32
"(120, 130)",2.491996119773382,-0.4381998152982165,1.30374,-0.42935099599067605,1.3
"(120, 135)",13.332812844392429,-0.44387213536719816,1.28913,-0.39444441095079164,1.3
"(120, 140)",11.50221140599508,-0.4496666284838189,1.27455,-0.4066617157147512,1.285
"(120, 145)",4.940785842486647,-0.4556182012331198,1.25998,-0.4747295565425258,1.26
"(120, 150)",10.007190212106485,-0.4617094003225799,1.24546,-0.5009094953224391,1.245
"(120, 165)",1.8962559354773387,-0.4809254753870378,1.20244,-0.47647488579452,1.21
"(120, 170)",14.427939114735718,-0.48766244629973565,1.18817,-0.42935099599067605,1.2
"(125, 125)",5.14642075557027,-0.42078142936331275,1.31168,-0.4398229715026414,1.31
"(125, 130)",3.8297520830118166,-0.4261919500444953,1.2969300000000001,-0.41189770347073384,1.295
"(125, 135)",2.1745409550741686,-0.43174209706583744,1.28224,-0.4398229715026414,1.28
"(125, 140)",6.550679172386816,-0.4374318704273388,1.26753,-0.46251225177856625,1.27
"(125, 145)",5.146127010444423,-0.4432612701290002,1.25287,-0.4241150082346934,1.26
"(125, 150)",10.03991582813191,-0.4492302961708208,1.2382700000000002,-0.4101523742187396,1.245
"(125, 155)",5.215198887635952,-0.45535640184532067,1.22371,-0.4345869837466587,1.225
"(125, 160)",19.85216894420393,-0.4616395871525003,1.20935,-0.3822271061868321,1.22
"(125, 165)",6.407271125867183,-0.4680973053848789,1.1949500000000002,-0.49392817831446223,1.2
"(125, 170)",0.4420742000866553,-0.47471210324993773,1.18059,-0.47647488579452,1.18
"(130, 135)",6.179234233546016,-0.419489885716837,1.27556,-0.39618974020278586,1.28
"(130, 140)",3.855863812266424,-0.42505748603069904,1.26076,-0.4101523742187396,1.26
"(130, 145)",6.77460908164144,-0.4307647126847205,1.24601,-0.4572762640225836,1.245
"(130, 150)",2.9977612934308726,-0.4366115656789016,1.2313100000000001,-0.4258603374866876,1.225
"(130, 155)",16.37879187498624,-0.44261549830576197,1.2166299999999999,-0.3769911184308494,1.22
"(130, 160)",2.593627545923157,-0.4487765105653021,1.2020600000000001,-0.4590215932745778,1.205
"(130, 165)",0.6236396052806275,-0.45509460245752154,1.1876300000000002,-0.45378560551859515,1.185
"(130, 170)",15.726538495801492,-0.4615872272749404,1.17326,-0.3979350694547801,1.19
"(130, 175)",10.296902153570166,-0.468236931725039,1.15893,-0.5113814708344044,1.165
