,RMSE,Error > 1m
"(40, 5)",1.8720159871666073,True
"(40, 10)",0.5443584267502982,False
"(45, 5)",11.446170883202202,True
"(45, 10)",9.756897367198258,True
"(50, 5)",27.4172885243697,True
"(50, 10)",22.43036342780034,True
"(50, 15)",8.004831720302274,True
"(50, 20)",18.887569838729156,True
"(50, 25)",23.42749629833027,True
"(50, 30)",3.4985797298124974,True
"(55, 5)",11.243086194297282,True
"(55, 10)",6.428385365564928,True
"(55, 15)",23.739537309495837,True
"(55, 20)",25.09082554332978,True
"(55, 25)",1.4901928002923706,True
"(55, 30)",3.065621686952912,True
"(60, 25)",1.7406102143187117,True
"(60, 30)",15.395734264528945,True
"(60, 35)",1.6739060830714179,True
"(60, 40)",6.216882082855622,True
"(65, 30)",5.952618626737718,True
"(65, 35)",19.763952783396217,True
"(65, 40)",0.8014631435422378,False
"(65, 45)",22.19257616201406,True
"(65, 50)",6.020584921020943,True
"(70, 30)",0.5032458336369976,False
"(70, 35)",7.289216825681012,True
"(70, 40)",0.36947316548053566,False
"(70, 45)",4.6420417324412435,True
"(70, 50)",3.031821251954725,True
"(70, 55)",18.769225961668617,True
"(75, 35)",1.0114043899782457,True
"(75, 40)",2.5335147883311206,True
"(75, 45)",6.907201052752747,True
"(75, 50)",28.776249918579595,True
"(75, 55)",24.73553845656539,True
"(75, 60)",37.12310682835126,True
"(75, 65)",9.84423498936722,True
"(75, 75)",1.8766724034602285,True
"(80, 25)",1.1073754917449636,True
"(80, 45)",9.491925399730153,True
"(80, 50)",0.6617978019329223,False
"(80, 55)",3.724015086401331,True
"(80, 60)",22.275054561172198,True
"(80, 65)",1.7226624944655828,True
"(80, 70)",0.30404554345515533,False
"(80, 75)",9.600952404623,True
"(85, 35)",6.39088457848857,True
"(85, 50)",3.9089596881964166,True
"(85, 55)",5.192042371669827,True
"(85, 60)",4.845763241886246,True
"(85, 65)",4.883786427958189,True
"(85, 70)",0.5600770792142151,False
"(85, 75)",4.460666226894635,True
"(85, 80)",0.14731905204270737,False
"(85, 85)",20.027529398982242,True
"(85, 95)",0.715018404569755,False
"(90, 40)",4.531353058962668,True
"(90, 60)",4.485478894046979,True
"(90, 65)",0.4887218868375624,False
"(90, 70)",1.132883992676926,True
"(90, 75)",0.7420476906680408,False
"(90, 80)",7.656354981060615,True
"(90, 85)",7.087611672298975,True
"(90, 90)",10.733111620115668,True
"(90, 95)",3.8141548589947107,True
"(90, 100)",0.4457783696634119,False
"(95, 60)",1.2980778691829922,True
"(95, 70)",1.332994959660258,True
"(95, 75)",10.935028187540674,True
"(95, 80)",1.4557080424290703,True
"(95, 85)",0.43595300661823866,False
"(95, 90)",3.3192200351175436,True
"(95, 95)",22.529246478157287,True
"(95, 100)",2.7570854540214818,True
"(95, 105)",1.5244430648533625,True
"(100, 60)",2.0376829577391042,True
"(100, 65)",2.1705162757266905,True
"(100, 70)",1.8977607635803855,True
"(100, 80)",1.0893265418445222,True
"(100, 85)",0.29659855781254024,False
"(100, 90)",1.2705288651136633,True
"(100, 95)",3.109835648204815,True
"(100, 100)",0.7705045949902191,False
"(100, 105)",21.99492965803011,True
"(100, 110)",0.1977982278656492,False
"(100, 115)",1.6392372898137981,True
"(100, 135)",1.8283082023775148,True
"(105, 85)",2.0287653448463128,True
"(105, 90)",0.8787363167017893,False
"(105, 95)",2.971698836514516,True
"(105, 100)",1.255258280621233,True
"(105, 105)",2.431620910862431,True
"(105, 110)",1.6857909037814447,True
"(105, 115)",4.227857480186315,True
"(105, 120)",5.0520500675423,True
"(110, 80)",0.11198672926586234,False
"(110, 85)",1.3168141036235892,True
"(110, 90)",2.7275716332035267,True
"(110, 100)",0.9944332483879726,False
"(110, 105)",0.9913796001196788,False
"(110, 110)",0.9720904499547043,False
"(110, 115)",0.33462830478288585,False
"(110, 120)",3.3656202507790676,True
"(110, 125)",0.8013082971194874,False
"(110, 130)",9.669077345460448,True
"(110, 150)",0.6458434610140789,False
"(110, 155)",1.2221076314042183,True
"(115, 110)",0.22362496024870468,False
"(115, 115)",1.6617099862482596,True
"(115, 120)",1.690619863675089,True
"(115, 125)",2.414735671704491,True
"(115, 130)",1.361677737334711,True
"(115, 135)",0.6002740080929196,False
"(115, 140)",0.7057647170287974,False
"(115, 150)",6.038316732256839,True
"(120, 115)",1.615778137990702,True
"(120, 120)",2.517775811894371,True
"(120, 125)",1.4140050141948253,True
"(120, 130)",2.8556017767410578,True
"(120, 135)",0.3624134395274284,False
"(120, 140)",1.0807791602399557,True
"(120, 145)",0.473940641592032,False
"(120, 150)",2.4342671818903727,True
"(120, 165)",0.5521186039369077,False
"(120, 170)",0.44980039774294384,False
