,RMSE,Error > 1m,Error > 1m 24,Error > 1m 6
"(40, 5)",0.411438905,FALSE,TRUE,FALSE
"(40, 10)",0.529697398,FALSE,TRUE,FALSE
"(45, 5)",9.718661153,TRUE,TRUE,TRUE
"(45, 10)",9.643976431,TRUE,TRUE,TRUE
"(50, 5)",28.98120943,TRUE,TRUE,TRUE
"(50, 10)",19.20119506,TRUE,TRUE,TRUE
"(50, 15)",9.502253586,TRUE,TRUE,TRUE
"(50, 20)",0.664491447,FALSE,TRUE,TRUE
"(50, 25)",47.02599945,TRUE,TRUE,TRUE
"(50, 30)",0.476712862,FALSE,TRUE,FALSE
"(55, 5)",0.775408261,FALSE,TRUE,FALSE
"(55, 10)",28.62742467,TRUE,TRUE,TRUE
"(55, 15)",0.850030046,FALSE,TRUE,FALSE
"(55, 20)",18.75507353,TRUE,TRUE,TRUE
"(55, 25)",0.978569929,FALSE,TRUE,FALSE
"(55, 30)",9.20456532,TRUE,TRUE,TRUE
"(60, 25)",27.77053018,TRUE,TRUE,TRUE
"(60, 30)",27.5985578,TRUE,TRUE,TRUE
"(60, 35)",18.1812676,TRUE,TRUE,TRUE
"(60, 40)",45.33863109,TRUE,TRUE,TRUE
"(65, 30)",46.22385473,TRUE,TRUE,TRUE
"(65, 35)",0.162264351,FALSE,TRUE,FALSE
"(65, 40)",36.0963737,TRUE,TRUE,TRUE
"(65, 45)",8.882033162,TRUE,TRUE,TRUE
"(65, 50)",0.648330669,FALSE,TRUE,FALSE
"(70, 30)",0.343296749,FALSE,TRUE,FALSE
"(70, 35)",18.09153601,TRUE,TRUE,TRUE
"(70, 40)",0.218298062,FALSE,TRUE,FALSE
"(70, 45)",0.874995854,FALSE,TRUE,FALSE
"(70, 50)",0.105964809,FALSE,TRUE,FALSE
"(70, 55)",17.40271948,TRUE,TRUE,TRUE
"(75, 35)",0.69659921,FALSE,TRUE,FALSE
"(75, 40)",0.384552393,FALSE,TRUE,FALSE
"(75, 45)",44.52035704,TRUE,TRUE,FALSE
"(75, 50)",35.22651366,TRUE,TRUE,TRUE
"(75, 55)",25.90651825,TRUE,TRUE,TRUE
"(75, 60)",43.08649497,TRUE,TRUE,TRUE
"(75, 65)",16.94319795,TRUE,TRUE,TRUE
"(75, 75)",0.662201248,FALSE,TRUE,FALSE
"(80, 25)",0.741470502,FALSE,TRUE,FALSE
"(80, 45)",0.001001041,FALSE,TRUE,FALSE
"(80, 50)",0.998977975,FALSE,TRUE,FALSE
"(80, 55)",0.087107312,FALSE,TRUE,FALSE
"(80, 60)",17.0583443,TRUE,TRUE,TRUE
"(80, 65)",0.201195063,FALSE,TRUE,FALSE
"(80, 70)",8.384476107,TRUE,TRUE,TRUE
"(80, 75)",8.259733739,TRUE,TRUE,TRUE
"(85, 35)",0.002213632,FALSE,TRUE,FALSE
"(85, 50)",0.359257314,FALSE,TRUE,FALSE
"(85, 55)",17.18841123,TRUE,TRUE,TRUE
"(85, 60)",0.288417106,FALSE,TRUE,FALSE
"(85, 65)",0.794381714,FALSE,TRUE,FALSE
"(85, 70)",0.182453947,FALSE,TRUE,FALSE
"(85, 75)",16.5011873,TRUE,TRUE,TRUE
"(85, 80)",16.26656791,TRUE,TRUE,TRUE
"(85, 85)",48.92843254,TRUE,TRUE,TRUE
"(85, 95)",0.773805947,FALSE,TRUE,FALSE
"(90, 40)",0.310284443,FALSE,TRUE,FALSE
"(90, 60)",0.356808868,FALSE,TRUE,FALSE
"(90, 65)",0.653451505,FALSE,TRUE,FALSE
"(90, 70)",16.64386903,TRUE,TRUE,TRUE
"(90, 75)",0.555263596,FALSE,TRUE,FALSE
"(90, 80)",24.38094012,TRUE,TRUE,TRUE
"(90, 85)",24.04234898,TRUE,TRUE,TRUE
"(90, 90)",0.666260151,FALSE,TRUE,FALSE
"(90, 95)",15.69646878,TRUE,TRUE,TRUE
"(90, 100)",0.876414083,FALSE,TRUE,FALSE
"(95, 60)",0.501569519,FALSE,TRUE,FALSE
"(95, 70)",0.996469646,FALSE,TRUE,TRUE
"(95, 75)",0.058024006,FALSE,TRUE,FALSE
"(95, 80)",8.119537884,TRUE,TRUE,TRUE
"(95, 85)",0.122138284,FALSE,TRUE,FALSE
"(95, 90)",0.846181561,FALSE,TRUE,FALSE
"(95, 95)",0.275033781,FALSE,TRUE,FALSE
"(95, 100)",23.18718371,TRUE,TRUE,TRUE
"(95, 105)",0.477126788,FALSE,FALSE,TRUE
"(100, 60)",0.8584566,FALSE,TRUE,FALSE
"(100, 65)",0.202122637,FALSE,TRUE,FALSE
"(100, 70)",0.793628415,FALSE,TRUE,FALSE
"(100, 80)",0.291796467,FALSE,TRUE,FALSE
"(100, 85)",15.94440109,TRUE,TRUE,TRUE
"(100, 90)",0.227523065,FALSE,TRUE,FALSE
"(100, 95)",15.59830967,TRUE,TRUE,TRUE
"(100, 100)",0.090971121,FALSE,TRUE,FALSE
"(100, 105)",1.040719068,TRUE,TRUE,TRUE
"(100, 110)",0.101123928,FALSE,FALSE,FALSE
"(100, 115)",0.835351525,FALSE,FALSE,TRUE
"(100, 135)",0.527213919,FALSE,FALSE,FALSE
"(105, 85)",0.624797573,FALSE,FALSE,TRUE
"(105, 90)",0.436299628,FALSE,TRUE,FALSE
"(105, 95)",0.549737817,FALSE,TRUE,FALSE
"(105, 100)",0.532924961,FALSE,TRUE,FALSE
"(105, 105)",0.416991932,FALSE,FALSE,FALSE
"(105, 110)",0.682943016,FALSE,FALSE,FALSE
"(105, 115)",0.268065188,FALSE,FALSE,TRUE
"(105, 120)",0.863493561,FALSE,FALSE,FALSE
"(110, 80)",0.974631363,FALSE,TRUE,FALSE
"(110, 85)",0.07653354,FALSE,TRUE,FALSE
"(110, 90)",0.932455092,FALSE,FALSE,TRUE
"(110, 100)",0.871440311,FALSE,TRUE,TRUE
"(110, 105)",0.214623289,FALSE,FALSE,FALSE
"(110, 110)",0.763103714,FALSE,FALSE,FALSE
"(110, 115)",0.333970489,FALSE,FALSE,FALSE
"(110, 120)",0.618063618,FALSE,FALSE,FALSE
"(110, 125)",0.496092778,FALSE,FALSE,FALSE
"(110, 130)",0.427944206,FALSE,FALSE,TRUE
"(110, 150)",0.040903372,FALSE,FALSE,FALSE
"(110, 155)",0.882915087,FALSE,FALSE,FALSE
"(115, 110)",0.110791158,FALSE,FALSE,FALSE
"(115, 115)",1.088098965,TRUE,FALSE,TRUE
