,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",3.1526007721578466,-0.4750611691003366,1.7919800000000001,-0.4834562028024969,1.79
"(40, 10)",0.5645344219066764,-0.47944194552284225,1.7774500000000002,-0.47996554429850846,1.78
"(45, 5)",10.152329767908505,-0.46657886893564404,1.7782,-0.49392817831446223,1.78
"(45, 10)",5.26686175872436,-0.4709072854805898,1.76354,-0.4852015320544911,1.7650000000000001
"(50, 5)",20.97996389877162,-0.4580267556008719,1.7709000000000001,-0.5148721293383929,1.77
"(50, 10)",13.491441960432285,-0.4623028122682582,1.75618,-0.4991641660704449,1.7550000000000001
"(50, 15)",9.268867663351493,-0.46664868210572363,1.74149,-0.492182849062468,1.74
"(50, 20)",8.855481680413858,-0.47106436511326955,1.7268100000000002,-0.49567350756645645,1.725
"(50, 25)",7.198584172883444,-0.47556731458341517,1.7122600000000001,-0.49567350756645645,1.715
"(50, 30)",1.973169066241591,-0.4801400772236404,1.69771,-0.4747295565425258,1.7
"(55, 5)",3.5490922521132053,-0.44940482909601975,1.7637200000000002,-0.4590215932745778,1.7650000000000001
"(55, 10)",18.514606440991162,-0.453611072593326,1.74893,-0.5044001538264276,1.75
"(55, 15)",16.172553078755048,-0.4579045825532324,1.73408,-0.5026548245744333,1.735
"(55, 20)",11.966323588189647,-0.4622679056832184,1.71932,-0.49567350756645645,1.72
"(55, 25)",10.901516772871666,-0.46670104198328355,1.7047,-0.49741883681845067,1.705
"(55, 30)",7.37073122305389,-0.47122144474594885,1.69016,-0.492182849062468,1.69
"(60, 25)",15.264646021984815,-0.4577649562130728,1.6973,-0.5009094953224391,1.7
"(60, 30)",12.338785398091836,-0.46223299909817817,1.6827,-0.49741883681845067,1.685
"(60, 35)",10.646805624055983,-0.4667708551533636,1.6681000000000001,-0.49741883681845067,1.67
"(60, 40)",4.15745939376331,-0.4713959776711487,1.65354,-0.4834562028024969,1.655
"(65, 30)",3.8702602479149006,-0.4531572869878078,1.6753900000000002,-0.4642575810305605,1.675
"(65, 35)",15.547617559184426,-0.4576427831654333,1.66078,-0.5026548245744333,1.6600000000000001
"(65, 40)",7.71002737291223,-0.46219809251313837,1.6461800000000002,-0.4398229715026414,1.6500000000000001
"(65, 45)",10.366428995300746,-0.4668581216159633,1.63152,-0.49741883681845067,1.6300000000000001
"(65, 50)",1.6872329434307618,-0.4715879638888678,1.61688,-0.47647488579452,1.615
"(70, 30)",2.684871210935819,-0.4439943084148372,1.6683500000000002,-0.43633231299865294,1.67
"(70, 35)",8.365376963187916,-0.44840999142238314,1.6536600000000001,-0.4241150082346934,1.655
"(70, 40)",5.060745128912134,-0.45291294089252876,1.6389500000000001,-0.4677482395345489,1.6400000000000001
"(70, 45)",15.835773756003086,-0.45750315682527365,1.62421,-0.5044001538264276,1.625
"(70, 50)",1.287049558859011,-0.4621631859280986,1.60949,-0.4660029102825547,1.61
"(70, 55)",10.10007745482576,-0.4669279347860429,1.59483,-0.49741883681845067,1.595
"(75, 35)",1.5857823621428033,-0.4391073865092534,1.64665,-0.4345869837466587,1.645
"(75, 40)",7.218348062256805,-0.443540522809319,1.6318500000000002,-0.42236967898269917,1.635
"(75, 45)",1.7106862380080725,-0.4480609255719843,1.61703,-0.4433136300066298,1.62
"(75, 50)",6.046984450053843,-0.4526511415047296,1.60226,-0.4345869837466587,1.605
"(75, 55)",13.22801811431076,-0.4573460771925939,1.58755,-0.49741883681845067,1.59
"(75, 60)",12.675920558832049,-0.46212827934305833,1.57287,-0.5009094953224391,1.575
"(75, 65)",9.844730963831708,-0.4670152012486426,1.5582500000000001,-0.49741883681845067,1.56
"(75, 75)",1.5225190595838862,-0.47705084444761026,1.53679,-0.4817108735505027,1.5350000000000001
"(80, 25)",0.48956831532965706,-0.42123521496883165,1.6764200000000002,-0.42236967898269917,1.675
"(80, 45)",0.735473186254462,-0.4385314278560952,1.61,-0.43633231299865294,1.61
"(80, 50)",1.0738711189608061,-0.44306928391128064,1.59519,-0.4398229715026414,1.595
"(80, 55)",0.30082205578992927,-0.44767695313654565,1.5804200000000002,-0.44680428851061826,1.58
