,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",1.8723291484777267,-0.4750611691003366,1.7919800000000001,-0.47996554429850846,1.79
"(40, 10)",0.5449640216074616,-0.47944194552284225,1.7774500000000002,-0.47996554429850846,1.7750000000000001
"(45, 5)",12.740318430363812,-0.46657886893564404,1.7782,-0.5009094953224391,1.78
"(45, 10)",7.831314410435666,-0.4709072854805898,1.76354,-0.492182849062468,1.7650000000000001
"(50, 5)",28.705527330632094,-0.4580267556008719,1.7709000000000001,-0.5358160803623235,1.77
"(50, 10)",13.491441960432285,-0.4623028122682582,1.75618,-0.4991641660704449,1.7550000000000001
"(50, 15)",9.901510501512979,-0.46664868210572363,1.74149,-0.49392817831446223,1.74
"(50, 20)",7.601954245563007,-0.47106436511326955,1.7268100000000002,-0.492182849062468,1.725
"(50, 25)",44.073710587560214,-0.47556731458341517,1.7122600000000001,-0.35255650890293033,1.725
"(50, 30)",0.4808731216189812,-0.4801400772236404,1.69771,-0.47996554429850846,1.7
"(55, 5)",0.4106770601170731,-0.44940482909601975,1.7637200000000002,-0.4485496177626125,1.7650000000000001
"(55, 10)",27.417682898574718,-0.453611072593326,1.74893,-0.5288347633543466,1.75
"(55, 15)",1.677268188892781,-0.4579045825532324,1.73408,-0.46251225177856625,1.735
"(55, 20)",6.341244755592799,-0.4622679056832184,1.71932,-0.47996554429850846,1.72
"(55, 25)",11.520987800505365,-0.46670104198328355,1.7047,-0.4991641660704449,1.705
"(55, 30)",6.756799038309478,-0.47122144474594885,1.69016,-0.4904375198104738,1.69
"(60, 25)",17.11476667439606,-0.4577649562130728,1.6973,-0.5061454830784218,1.7
"(60, 30)",7.452263273773403,-0.46223299909817817,1.6827,-0.4834562028024969,1.685
"(60, 35)",8.830345205715128,-0.4667708551533636,1.6681000000000001,-0.492182849062468,1.67
"(60, 40)",1.183659956132107,-0.4713959776711487,1.65354,-0.4747295565425258,1.655
"(65, 30)",0.23343673583669297,-0.4531572869878078,1.6753900000000002,-0.45378560551859515,1.675
"(65, 35)",11.329053077111066,-0.4576427831654333,1.66078,-0.4904375198104738,1.6600000000000001
"(65, 40)",0.5488928122794027,-0.46219809251313837,1.6461800000000002,-0.46076692252657203,1.645
"(65, 45)",8.001544623920793,-0.4668581216159633,1.63152,-0.4904375198104738,1.6300000000000001
"(65, 50)",1.1253070819879638,-0.4715879638888678,1.61688,-0.4747295565425258,1.615
"(70, 30)",0.9115935108220711,-0.4439943084148372,1.6683500000000002,-0.4415683007546356,1.67
"(70, 35)",12.651582012569092,-0.44840999142238314,1.6536600000000001,-0.41189770347073384,1.6600000000000001
"(70, 40)",0.3693429631291323,-0.45291294089252876,1.6389500000000001,-0.4520402762666009,1.6400000000000001
