,RMSE,Error > 1m
-50,503.2527035736351,True
-49,68.48802974936865,True
-48,293.79825521280543,True
-47,345.42205054041693,True
-46,357.21242140681454,True
-45,296.64275746936323,True
-44,154.7444226647413,True
-43,336.70701653482104,True
-42,86.35395643962322,True
-41,301.0042175335089,True
-40,354.16966731597046,True
-39,260.7702417501777,True
-38,314.6614707398959,True
-37,369.87060113789266,True
-36,211.41067039877217,True
-35,264.66646366987055,True
-34,425.1657434653214,True
-33,202.54253387606067,True
-32,195.7863437246719,True
-31,431.2895614589454,True
-30,281.8502670420096,True
-29,347.1553325654422,True
-28,147.9255808897881,True
-27,22.329020760058953,True
-26,263.56581572108007,True
-25,284.67343361583005,True
-24,550.4639746021992,True
-23,397.7781127949802,True
-22,175.36078504495765,True
-21,330.1614483671732,True
-20,255.59286243654057,True
-19,248.24596442128464,True
-18,258.2269051354445,True
-17,125.13775858903146,True
-16,262.13075380881975,True
-15,19.818824251683456,True
-14,259.05635424295747,True
-13,304.4743811346351,True
-12,534.9494926205555,True
-11,197.7996726656439,True
-10,419.0607526692829,True
-9,202.27944113956917,True
-8,357.3334641375735,True
-7,340.62751401701166,True
-6,245.56952669782385,True
-5,326.1887589110398,True
-4,367.2448054534369,True
-3,188.54120171765484,True
-2,11.445305877056523,True
-1,5.004005113071127,True
0,1.8527721348319157,True
1,8.210623837299895,True
2,4.982140627271705,True
3,8.220294968160923,True
4,8.210623837299895,True
5,8.210623837299895,True
6,4.982140627271705,True
7,4.982140627271705,True
8,1.7712044456446108,True
9,1.7712044456446108,True
10,1.7712044456446108,True
11,1.7712044456446108,True
12,1.7712044456446108,True
13,24.389774876631158,True
14,24.389774876631158,True
15,24.389774876631158,True
16,24.389774876631158,True
17,24.389774876631158,True
18,24.389774876631158,True
19,24.389774876631158,True
20,24.389774876631158,True
21,24.389774876631158,True
22,24.389774876631158,True
23,24.389774876631158,True
24,24.389774876631158,True
25,24.389774876631158,True
26,24.389774876631158,True
27,24.389774876631158,True
28,24.389774876631158,True
29,1.5557546184192514,True
30,1.5557546184192514,True
31,1.5557546184192514,True
32,1.5557546184192514,True
33,24.389774876631158,True
34,24.389774876631158,True
35,24.389774876631158,True
36,24.389774876631158,True
37,24.389774876631158,True
38,24.389774876631158,True
39,24.389774876631158,True
40,24.389774876631158,True
41,24.389774876631158,True
42,24.389774876631158,True
43,24.389774876631158,True
44,24.389774876631158,True
45,24.389774876631158,True
46,24.389774876631158,True
47,24.389774876631158,True
48,21.15032928968978,True
49,24.389774876631158,True
50,24.389774876631158,True
51,24.389774876631158,True
52,21.15032928968978,True
53,24.389774876631158,True
54,24.389774876631158,True
55,24.389774876631158,True
56,24.389774876631158,True
57,24.389774876631158,True
58,24.389774876631158,True
59,21.127777197626774,True
60,24.389774876631158,True
61,21.15032928968978,True
62,21.15032928968978,True
63,21.15032928968978,True
64,24.389774876631158,True
65,24.389774876631158,True
66,24.389774876631158,True
67,24.389774876631158,True
68,24.389774876631158,True
69,21.15032928968978,True
70,24.389774876631158,True
71,24.389774876631158,True
72,24.389774876631158,True
73,24.389774876631158,True
74,24.389774876631158,True
75,24.389774876631158,True
76,24.389774876631158,True
77,24.389774876631158,True
78,24.389774876631158,True
79,24.389774876631158,True
80,24.389774876631158,True
81,21.15032928968978,True
82,24.389774876631158,True
83,24.389774876631158,True
84,24.389774876631158,True
85,21.15032928968978,True
86,24.389774876631158,True
87,24.389774876631158,True
88,24.389774876631158,True
89,24.389774876631158,True
90,24.389774876631158,True
91,24.389774876631158,True
92,24.389774876631158,True
93,24.389774876631158,True
94,24.389774876631158,True
95,24.389774876631158,True
96,24.389774876631158,True
97,24.389774876631158,True
98,24.389774876631158,True
99,24.389774876631158,True
100,24.389774876631158,True
