,RMSE,Error > 1m
"(40, 5)",1.4792231582778308,True
"(40, 10)",0.5641613795035505,False
"(45, 5)",5.004005113071127,True
"(45, 10)",9.756897367198258,True
"(50, 5)",20.98037700730482,True
"(50, 10)",9.659208262000242,True
"(50, 15)",11.168273490509764,True
"(50, 20)",6.383301157533711,True
"(50, 25)",1.6703490607296207,True
"(50, 30)",3.0620518999671007,True
"(55, 5)",1.6197097073951483,True
"(55, 10)",9.626373365401115,True
"(55, 15)",8.005824227505308,True
"(55, 20)",9.467693040585672,True
"(55, 25)",10.901273858299907,True
"(55, 30)",9.212217593959625,True
"(60, 25)",7.850364786394966,True
"(60, 30)",9.27556759804478,True
"(60, 35)",7.619133965956309,True
"(60, 40)",0.7383300723569902,False
"(65, 30)",0.9843633053078048,False
"(65, 35)",10.726522896491266,True
"(65, 40)",0.8014631435422378,False
"(65, 45)",10.403803134500665,True
"(65, 50)",0.6587759219441357,False
"(70, 30)",0.5032458336369976,False
"(70, 35)",7.289216825681012,True
"(70, 40)",0.8734857247058376,False
"(70, 45)",10.53537714614369,True
"(70, 50)",2.8048530652900348,True
"(70, 55)",7.209948473713208,True
"(75, 35)",1.6768162298024294,True
"(75, 40)",5.451211981887182,True
"(75, 45)",1.092173397630423,True
"(75, 50)",0.6005134938922456,False
"(75, 55)",10.35351315992221,True
"(75, 60)",11.537948124342986,True
"(75, 65)",9.846387693216794,True
"(75, 75)",1.1381384910999555,True
"(80, 25)",3.8630416358034996,True
"(80, 45)",3.6557988022139525,True
"(80, 50)",0.6617978019329223,False
"(80, 55)",0.8659317125098387,False
"(80, 60)",5.217314886318043,True
"(80, 65)",10.132397240527913,True
"(80, 70)",5.697042461961527,True
"(80, 75)",6.819021631674251,True
"(85, 35)",0.46734357904147095,False
"(85, 50)",1.0402159086430984,True
"(85, 55)",6.23092735984581,True
"(85, 60)",0.8599476632134905,False
"(85, 65)",0.7528851707970716,False
"(85, 70)",0.5600770792142151,False
"(85, 75)",1.7242823319358624,True
"(85, 80)",10.985543890283115,True
"(85, 85)",6.613563388778562,True
"(85, 95)",0.715018404569755,False
"(90, 40)",1.6268640363500593,True
"(90, 60)",4.4395293429234295,True
"(90, 65)",0.7209459745848272,False
"(90, 70)",4.596432773763573,True
"(90, 75)",0.7420476906680408,False
"(90, 80)",2.146265612660633,True
"(90, 85)",7.087611672298975,True
"(90, 90)",8.090115881149698,True
"(90, 95)",6.453716570878508,True
"(90, 100)",0.4457783696634119,False
"(95, 60)",1.6862029222570105,True
"(95, 70)",4.072942323723266,True
"(95, 75)",0.9817046470573902,False
"(95, 80)",7.025996770546082,True
"(95, 85)",1.0054798836380716,True
"(95, 90)",0.712568490436107,False
"(95, 95)",6.990487463800759,True
"(95, 100)",7.884087836809016,True
"(95, 105)",1.2228596784075307,True
"(100, 60)",2.0376829577391042,True
"(100, 65)",0.6268314985866236,False
"(100, 70)",2.0457534052262067,True
"(100, 80)",1.6927684383522357,True
"(100, 85)",7.924830535575783,True
"(100, 90)",1.2705288651136633,True
"(100, 95)",2.86598482968158,True
"(100, 100)",0.7705045949902191,False
"(100, 105)",9.341249196258222,True
"(100, 110)",7.679849786412816,True
"(100, 115)",1.4221108040695598,True
"(100, 135)",0.7922447246303403,False
"(105, 85)",4.5722368610067425,True
"(105, 90)",0.9706463928339694,False
"(105, 95)",0.5938351820360571,False
"(105, 100)",1.255258280621233,True
"(105, 105)",0.43562449465101405,False
"(105, 110)",1.0846893512130864,True
"(105, 115)",9.152208651990348,True
"(105, 120)",7.48792917472893,True
"(110, 80)",0.9791144390813665,False
"(110, 85)",1.3168141036235892,True
"(110, 90)",2.8841879341451646,True
"(110, 100)",5.621762791405732,True
"(110, 105)",1.9564580328755445,True
"(110, 110)",1.2072741413517627,True
"(110, 115)",0.697081716636089,False
"(110, 120)",1.0081384085235747,True
"(110, 125)",1.8445818550468176,True
"(110, 130)",7.3033598108215845,True
"(110, 150)",0.6458434610140789,False
"(110, 155)",1.0235043032342157,True
"(115, 110)",2.273460774047466,True
"(115, 115)",1.6617099862482596,True
"(115, 120)",0.7172490291858414,False
"(115, 125)",0.18265577454559015,False
"(115, 130)",1.361677737334711,True
"(115, 135)",1.7879843033934941,True
"(115, 140)",0.4006583759055931,False
"(115, 150)",6.022495318836291,True
"(120, 115)",0.9677649707324398,False
"(120, 120)",0.6487487602537394,False
"(120, 125)",1.0431908356305508,True
"(120, 130)",0.5658428183164464,False
"(120, 135)",0.3624134395274284,False
"(120, 140)",1.0807791602399557,True
"(120, 145)",0.473940641592032,False
"(120, 150)",6.88894707535317,True
"(120, 165)",0.5740562679423381,False
"(120, 170)",0.6938880894277736,False
"(125, 125)",0.6175804129517792,False
"(125, 130)",0.5461498614424598,False
"(125, 135)",1.3352925166334086,True
"(125, 140)",0.5926154470966335,False
"(125, 145)",0.6355489825816156,False
"(125, 150)",1.2526487468996825,True
"(125, 155)",0.4749005821147653,False
"(125, 160)",0.2516342988535248,False
"(125, 165)",5.0315354290994465,True
"(125, 170)",5.475210498253955,True
"(130, 135)",0.19597543400149678,False
"(130, 140)",0.678051264936926,False
"(130, 145)",0.8320888248336339,False
"(130, 150)",0.2775803929989714,False
"(130, 155)",0.694139543435905,False
"(130, 160)",1.0935405316043614,True
"(130, 165)",0.6243496311218484,False
"(130, 170)",0.41930566405726644,False
"(130, 175)",6.902193422642757,True
"(135, 145)",0.23788242655752956,False
"(135, 150)",0.9502939165776606,False
"(135, 155)",2.682115529529486,True
"(135, 160)",0.14761739033748553,False
"(135, 165)",0.7631011564018955,False
"(135, 170)",1.3276179327777362,True
"(135, 175)",0.4127723955038372,False
"(135, 180)",6.305885935290702,True
"(140, 135)",0.6726703491906821,False
"(140, 150)",0.654261330881433,False
"(140, 155)",0.6621761339104314,False
"(140, 160)",3.0276697155416814,True
"(140, 165)",0.3488578315114236,False
"(140, 170)",0.40071823629866576,False
"(140, 175)",0.9057925832212431,False
"(140, 180)",0.6215304964391867,False
"(140, 185)",0.234973496190852,False
"(140, 190)",0.38334902656947617,False
"(145, 150)",3.4528111209900914,True
"(145, 155)",4.815121751909487,True
"(145, 160)",0.4647363094635433,False
