,RMSE,Error > 1m
"(40, 5)",364.5020065564324,True
"(40, 10)",361.4292045662179,True
"(45, 5)",11.317619783996907,True
"(45, 10)",12.716089912762602,True
"(50, 5)",5.369010111881299,True
"(50, 10)",3.366623581755882,True
"(50, 15)",10.998021889686875,True
"(50, 20)",0.3822449922689245,False
"(50, 25)",26.456554409358603,True
"(50, 30)",27.913735414453093,True
"(55, 5)",286.9030698453474,True
"(55, 10)",1.8620116286815283,True
"(55, 15)",2.403175591095064,True
"(55, 20)",3.3319259697291153,True
"(55, 25)",1.8824209494090318,True
"(55, 30)",6.2287462036844286,True
"(60, 25)",4.779850214151197,True
"(60, 30)",9.216670908116587,True
"(60, 35)",1.6738944313448267,True
"(60, 40)",24.26035472792935,True
"(65, 30)",18.19521784048872,True
"(65, 35)",4.842250989454467,True
"(65, 40)",20.935758336201744,True
"(65, 45)",7.450085582167293,True
"(65, 50)",23.998041713883897,True
"(70, 30)",266.444873440072,True
"(70, 35)",16.38359511576359,True
"(70, 40)",260.36039776010216,True
"(70, 45)",4.798938649459207,True
"(70, 50)",14.684716585463004,True
"(70, 55)",7.301506271447269,True
"(75, 35)",261.6796071426379,True
"(75, 40)",8.554728438187439,True
"(75, 45)",15.95920930472791,True
"(75, 50)",17.320422891478465,True
"(75, 55)",10.469954902448606,True
"(75, 60)",20.23952909833342,True
"(75, 65)",7.165224299653919,True
"(75, 75)",376.4088581067617,True
"(80, 25)",257.3282857215057,True
"(80, 45)",6.665037584898625,True
"(80, 50)",250.79348185664728,True
"(80, 55)",4.8124149008534625,True
"(80, 60)",11.092411050383937,True
"(80, 65)",10.179878392624387,True
"(80, 70)",3.0136369959014644,True
"(80, 75)",2.1624464563479053,True
"(85, 35)",373.37087991254316,True
"(85, 50)",5.382636863212407,True
"(85, 55)",6.378324222676026,True
"(85, 60)",3.1105160473519224,True
"(85, 65)",239.93586913055464,True
"(85, 70)",11.08807987821114,True
"(85, 75)",7.28203847812468,True
"(85, 80)",3.0543665588204183,True
"(85, 85)",6.69961636561524,True
"(85, 95)",3.3883738316604193,True
"(90, 40)",257.9907577831542,True
"(90, 60)",5.231653995093935,True
"(90, 65)",238.2049708133173,True
"(90, 70)",13.41116618801338,True
"(90, 75)",2.6852888413067837,True
"(90, 80)",15.84771818984134,True
"(90, 85)",15.092347978325796,True
"(90, 90)",13.362021519926692,True
"(90, 95)",6.453721846943183,True
"(90, 100)",5.112466964870485,True
"(95, 60)",215.6018038152171,True
"(95, 70)",5.115560815929747,True
"(95, 75)",3.0506135720832854,True
"(95, 80)",12.741774100333211,True
"(95, 85)",3.6483261813215715,True
"(95, 90)",0.7125532405986722,False
"(95, 95)",14.766713418939297,True
"(95, 100)",7.915535501824139,True
"(95, 105)",24.351157873854767,True
"(100, 60)",185.26420188757226,True
"(100, 65)",308.02970070264905,True
"(100, 70)",303.72350206546645,True
"(100, 80)",4.4193009034228465,True
"(100, 85)",10.45102652588472,True
"(100, 90)",3.94185596675747,True
"(100, 95)",13.212895596976464,True
"(100, 100)",3.103361723315145,True
"(100, 105)",4.395716563329543,True
"(100, 110)",7.6798500719553395,True
"(100, 115)",18.78823684068313,True
"(100, 135)",2.611534378693687,True
"(105, 85)",2.028761745823676,True
"(105, 90)",3.3925543818324653,True
"(105, 95)",5.969656382796274,True
"(105, 100)",2.839503906331967,True
"(105, 105)",3.1088962128222786,True
"(105, 110)",4.18992928513435,True
"(105, 115)",4.28212853067789,True
"(105, 120)",12.365047251028617,True
"(110, 80)",7.843071834214196,True
"(110, 85)",219.2367862221596,True
"(110, 90)",1.1428200921312142,True
"(110, 100)",13.141555794401466,True
"(110, 105)",9.523130588299185,True
"(110, 110)",5.89222914895322,True
"(110, 115)",7.330804922982764,True
"(110, 120)",1.0081406931102805,True
"(110, 125)",2.630889154225493,True
"(110, 130)",7.302745751737159,True
"(110, 150)",3.8675322841775652,True
