,RMSE,Error > 1m
"(40, 5)",7.928841796057344,True
"(40, 10)",22.769638388082555,True
"(45, 5)",4.757955784072838,True
"(45, 10)",0.3286952389934694,False
"(50, 5)",4.880986873320334,True
"(50, 10)",3.1223462428302704,True
"(50, 15)",4.674346752569817,True
"(50, 20)",0.3822449922689245,False
"(50, 25)",1.6457040733967259,True
"(50, 30)",3.3864934743562305,True
"(55, 5)",8.038185492019625,True
"(55, 10)",6.304809834278634,True
"(55, 15)",30.041768069349843,True
"(55, 20)",3.041984329732223,True
"(55, 25)",20.192732622184483,True
"(55, 30)",0.033398588966288764,False
"(60, 25)",7.602190695580972,True
"(60, 30)",21.506796589794764,True
"(60, 35)",13.673834050622613,True
"(60, 40)",17.9574837392197,True
"(65, 30)",0.2330644642922038,False
"(65, 35)",1.3406957926275103,True
"(65, 40)",26.974904531757975,True
"(65, 45)",1.5219388357882058,True
"(65, 50)",0.40812247667579776,False
"(70, 30)",2.684876890987102,True
"(70, 35)",4.166214552598537,True
"(70, 40)",30.032168459454905,True
"(70, 45)",28.20246500070552,True
"(70, 50)",26.375766190814666,True
"(70, 55)",1.4278642415553553,True
"(75, 35)",5.032013347758449,True
"(75, 40)",8.398224149268781,True
"(75, 45)",7.795087008152781,True
"(75, 50)",0.6005126318935181,False
"(75, 55)",6.952333075847854,True
"(75, 60)",37.12309276773365,True
"(75, 65)",18.308504388580932,True
"(75, 75)",34.9742700402234,True
"(80, 25)",5.248007948855612,True
"(80, 45)",0.7369125188519288,False
"(80, 50)",2.228890433582285,True
"(80, 55)",3.883889530897291,True
"(80, 60)",28.793635427798293,True
"(80, 65)",1.1155517182935142,True
"(80, 70)",2.66078676561564,True
"(80, 75)",12.348369654761955,True
"(85, 35)",0.4673432057147978,False
"(85, 50)",4.798660595640447,True
"(85, 55)",6.230924786689381,True
"(85, 60)",20.665665496890647,True
"(85, 65)",3.517494457425485,True
"(85, 70)",0.5600660880561267,False
"(85, 75)",26.367710887022927,True
"(85, 80)",2.568415669686521,True
"(85, 85)",1.2475854852784805,True
"(85, 95)",7.219987737385317,True
"(90, 40)",42.22057511768547,True
"(90, 60)",1.242738974248976,True
"(90, 65)",33.09518585117619,True
"(90, 70)",1.9000830312608195,True
"(90, 75)",2.2105526959532713,True
"(90, 80)",4.814851303191033,True
"(90, 85)",25.771326913002888,True
"(90, 90)",13.374796120985334,True
"(90, 95)",1.219716174350669,True
"(90, 100)",15.10876251464771,True
"(95, 60)",12.405232977834089,True
"(95, 70)",1.4071696320147737,True
"(95, 75)",10.798004577072266,True
"(95, 80)",30.61130342501434,True
"(95, 85)",2.2384175060789286,True
"(95, 90)",0.7125532405986722,False
"(95, 95)",19.932608738426836,True
"(95, 100)",7.563796906805074,True
"(95, 105)",1.2228587875778791,True
"(100, 60)",2.037673605033236,True
"(100, 65)",0.6268297255172722,False
"(100, 70)",28.155143345606476,True
"(100, 80)",6.996008900698746,True
"(100, 85)",5.167393166676692,True
"(100, 90)",1.384357992006485,True
"(100, 95)",28.1869446119741,True
"(100, 100)",0.7705071250445955,False
"(100, 105)",0.7846696937869171,False
"(100, 110)",7.343954725293689,True
"(100, 115)",1.0850352956312894,True
"(100, 135)",53.257790630279224,True
"(105, 85)",3.3561603810518568,True
"(105, 90)",1.8887475707340817,True
"(105, 95)",4.839644634580274,True
"(105, 100)",6.267874565174819,True
"(105, 105)",2.468819368957834,True
"(105, 110)",20.779031775329024,True
"(105, 115)",0.7577413402467337,False
"(105, 120)",22.095962278061744,True
"(110, 80)",39.83041235395002,True
"(110, 85)",1.6176169720991993,True
"(110, 90)",0.17010414575492275,False
"(110, 100)",12.220200741198541,True
"(110, 105)",35.55508288317015,True
"(110, 110)",0.9720898381362689,False
"(110, 115)",26.941238973763333,True
"(110, 120)",3.942210611270854,True
"(110, 125)",34.53538214948007,True
"(110, 130)",16.766937385182636,True
"(110, 150)",9.670716955007142,True
"(110, 155)",50.51369705392118,True
"(115, 110)",2.661693886013508,True
"(115, 115)",0.7780469959884009,False
"(115, 120)",0.717250789738489,False
"(115, 125)",2.5497560351926065,True
"(115, 130)",1.0107320571611467,True
"(115, 135)",22.682111415351237,True
"(115, 140)",2.127967418671676,True
"(115, 150)",9.688478813541845,True
"(120, 115)",5.7335086586388915,True
"(120, 120)",2.3384827084339674,True
"(120, 125)",29.404453418261017,True
"(120, 130)",0.5658399520964841,False
"(120, 135)",25.740307377913954,True
"(120, 140)",23.90855591231151,True
"(120, 145)",0.47393890935849114,False
"(120, 150)",2.025527223250993,True
"(120, 165)",1.9810471332205095,True
"(120, 170)",8.239345033478893,True
"(125, 125)",4.207086523537259,True
"(125, 130)",2.72940405040256,True
"(125, 135)",1.2905211052238763,True
"(125, 140)",4.8586028299172925,True
"(125, 145)",2.7647656448248954,True
"(125, 150)",27.739171187286285,True
"(125, 155)",17.107877810321252,True
"(125, 160)",19.64764821994629,True
"(125, 165)",0.7681380255429554,False
"(125, 170)",5.045864470203478,True
"(130, 135)",0.19597111654620814,False
"(130, 140)",2.920964107247617,True
"(130, 145)",1.4376440838908506,True
"(130, 150)",0.2775800000718104,False
"(130, 155)",2.7998210197462607,True
"(130, 160)",26.947213916312545,True
"(130, 165)",20.881894421127683,True
"(130, 170)",19.047683436413504,True
"(130, 175)",17.215495470591087,True
"(135, 145)",0.23787090145950907,False
"(135, 150)",1.246112568391358,True
"(135, 155)",1.6408602155283247,True
"(135, 160)",0.14761809164544465,False
"(135, 165)",1.3533266123023613,True
"(135, 170)",1.3276256430846265,True
"(135, 175)",0.4127718608098794,False
"(135, 180)",14.405749867700768,True
"(140, 135)",1.8373978129615196,True
"(140, 150)",32.457758552699985,True
"(140, 155)",34.91229156570281,True
"(140, 160)",3.4169252555410163,True
"(140, 165)",26.956187973961228,True
"(140, 170)",25.1218568850459,True
"(140, 175)",23.286956726232486,True
"(140, 180)",5.495924100822396,True
"(140, 185)",3.8013462090751053,True
"(140, 190)",2.4399043198041777,True
"(145, 150)",35.53662781389981,True
"(145, 155)",12.362877720368559,True
"(145, 160)",6.5607046692453705,True
"(145, 165)",34.179753733727686,True
"(145, 170)",0.7358167266115533,False
"(145, 175)",26.355722797597142,True
"(145, 180)",24.519059778078585,True
"(145, 185)",0.9438269489162942,False
"(145, 190)",33.31022611807413,True
"(145, 195)",0.0839726852038346,False
"(145, 200)",2.136935146998053,True
"(150, 150)",0.192273055873505,False
"(150, 155)",2.7641303240351878,True
"(150, 160)",2.8134829330613873,True
"(150, 165)",0.19990650266607024,False
"(150, 170)",1.401544942294681,True
"(150, 175)",1.2906497022448777,True
"(150, 180)",3.7959482261054407,True
"(150, 185)",2.3274826090694365,True
"(150, 190)",0.9278565107534298,False
"(150, 195)",27.276351699295898,True
"(150, 200)",1.5663025304337506,True
"(150, 205)",4.130043143470884,True
"(150, 210)",34.73850567003166,True
"(155, 155)",39.77375500169525,True
"(155, 175)",0.491371715723244,False
"(155, 180)",0.8939373561008075,False
"(155, 190)",0.26868372111152444,False
"(155, 195)",9.008269746196614,True
"(155, 200)",3.037551684118204,True
"(155, 205)",0.692648402158316,False
"(155, 210)",1.6698234819835491,True
"(155, 215)",0.26016451414417374,False
"(155, 220)",2.0153981129273544,True
"(155, 225)",0.5427923570947597,False
"(155, 230)",1.2049428062226155,True
"(160, 160)",3.750910541015779,True
"(160, 195)",1.7807785307433543,True
"(160, 200)",0.5302703939429236,False
"(160, 205)",0.9265651900335575,False
"(160, 210)",24.299858109524255,True
"(160, 215)",4.0261320239171665,True
"(160, 220)",1.7684099270850477,True
"(160, 225)",0.36684951926280035,False
"(160, 230)",1.9610706897183265,True
"(165, 195)",5.239796250417628,True
"(165, 200)",0.2186374071029603,False
"(165, 205)",1.295010542505019,True
"(165, 210)",0.8803492048871903,False
"(165, 215)",0.5624500670350858,False
"(165, 220)",2.003329446580203,True
"(165, 225)",0.30642337038004497,False
"(165, 230)",2.1161173890757032,True
"(165, 235)",3.9884111646707416,True
"(165, 240)",4.593264116680891,True
"(170, 205)",30.62735887078482,True
"(170, 210)",28.787331068581786,True
"(170, 215)",0.8247258328947344,False
"(170, 220)",1.2403995992899373,True
"(170, 225)",0.20489902721855166,False
"(170, 230)",3.325558454959998,True
"(170, 235)",0.3038412709397928,False
"(170, 240)",1.3902347343296635,True
"(170, 245)",0.5223552119439688,False
"(170, 250)",6.458636451831971,True
"(175, 210)",35.36055271572079,True
"(175, 215)",30.025805997744385,True
"(175, 220)",1.1398789240576197,True
"(175, 225)",1.3106497336190583,True
"(175, 230)",1.9732972488913072,True
"(175, 235)",0.15503044077154882,False
"(175, 240)",4.55310685399602,True
"(175, 245)",0.4455995983672956,False
"(175, 250)",5.153765372845304,True
"(175, 255)",0.5780862569644131,False
"(180, 205)",2.14522528613269,True
"(180, 210)",3.3476867580058136,True
"(180, 220)",1.0577003726003762,True
"(180, 225)",0.6266241004399445,False
"(180, 230)",2.10143373529187,True
"(180, 235)",0.34407743381443884,False
"(180, 240)",1.6751013866075704,True
"(180, 245)",0.5060901628188044,False
"(180, 250)",1.3027404457844467,True
"(180, 255)",1.8418088760210638,True
"(180, 260)",1.7992272400201743,True
"(180, 265)",0.5902091815009666,False
"(185, 225)",3.7118051285195444,True
"(185, 230)",1.6504696211652994,True
"(185, 235)",0.5500599697170433,False
"(185, 240)",1.1265115237399919,True
"(185, 245)",0.7379136129140647,False
"(185, 250)",1.3620917013131113,True
"(185, 255)",2.18625110584026,True
"(185, 260)",1.9343256107164384,True
"(185, 265)",1.8476257839180377,True
"(185, 270)",2.5272954087653767,True
"(185, 275)",0.6098666900499753,False
"(190, 245)",1.720422199738788,True
"(190, 250)",0.5616754617733613,False
"(190, 255)",1.703286428140755,True
"(190, 260)",1.1145830423618264,True
"(190, 265)",2.265540870278123,True
"(190, 270)",0.3066159792032479,False
"(190, 275)",1.865200606264882,True
"(190, 280)",1.4155678795697284,True
"(195, 225)",2.9973064174548942,True
"(195, 250)",0.4890336428277878,False
"(195, 255)",1.9537487504069575,True
"(195, 260)",0.35410386031626523,False
"(195, 265)",1.6040244906950123,True
"(195, 270)",1.0297501279360515,True
"(195, 275)",4.330170288856125,True
"(195, 280)",0.6348942974025273,False
"(195, 285)",3.5363685133412135,True
"(195, 290)",1.7618282988431524,True
"(200, 235)",0.7960629026123716,False
"(200, 260)",1.5556068616444572,True
"(200, 265)",1.4162299487616838,True
"(200, 270)",1.4170442175759466,True
"(200, 275)",0.4909439375798459,False
"(200, 280)",2.2193576700017132,True
"(200, 285)",1.7062761458166147,True
"(200, 290)",0.6511542273240197,False
"(200, 295)",3.237430686590804,True
"(200, 300)",0.8998326479256015,False
"(205, 245)",4.806725424535412,True
"(205, 270)",1.272387103132483,True
"(205, 275)",0.21628892853092704,False
"(205, 280)",2.2165352169687926,True
"(205, 285)",0.8070896143731245,False
"(205, 290)",2.531413035246489,True
"(205, 295)",1.39597934713089,True
"(205, 300)",2.779520820234162,True
"(205, 305)",158.63218323203637,True
"(205, 310)",1.33955115611666,True
"(210, 300)",1.6208119700359054,True
"(210, 305)",1.1439240737602925,True
"(210, 310)",1.1966369459005692,True
"(210, 315)",2.3508844095733576,True
"(215, 280)",2.9983836229551537,True
"(215, 305)",3.1830711628297412,True
"(215, 310)",0.07448586375220846,False
"(215, 315)",1.080968549852015,True
"(215, 320)",3.175813200000957,True
"(215, 325)",0.11026950981067726,False
"(220, 280)",3.822562409656129,True
"(220, 305)",1.2409330890050996,True
"(220, 310)",2.1426972750174254,True
"(220, 315)",0.7431429002425103,False
"(220, 320)",0.8450469687116589,False
"(220, 325)",2.0962187610269,True
"(220, 330)",0.7735244506316633,False
"(220, 335)",1.4552870347299358,True
"(225, 310)",1.0120158389779401,True
"(225, 315)",1.183544603651924,True
"(225, 320)",0.5066300003871818,False
"(225, 325)",1.3412684483765698,True
"(225, 330)",0.5699788428717611,False
"(225, 335)",0.5303917653948008,False
"(225, 340)",0.5008151566677222,False
"(225, 345)",41.04886918000222,True
"(230, 320)",0.8504883756765033,False
"(230, 325)",0.25213018497427536,False
"(230, 330)",0.8588767066224477,False
"(230, 335)",0.6540145962074696,False
"(230, 340)",1.1285320279536253,True
"(230, 345)",1.7359538577222013,True
"(230, 350)",2.1875218037166837,True
"(230, 355)",30.12830090671361,True
"(235, 330)",0.9042716746998889,False
"(235, 335)",1.5206611211390315,True
"(235, 340)",1.0699702507627769,True
"(235, 345)",1.6914834192639023,True
"(235, 350)",2.178756671922918,True
"(235, 355)",2.5249728979083828,True
"(235, 360)",1.189502567040957,True
"(235, 365)",0.955096380406328,False
"(240, 315)",1.5040166066425853,True
"(240, 340)",0.9514729356351204,False
"(240, 345)",1.5981070846335717,True
"(240, 350)",1.256828772222597,True
"(240, 355)",1.5893438389399592,True
"(240, 360)",0.5672927999104515,False
"(240, 365)",0.4796799387650518,False
"(240, 370)",1.516477935260082,True
"(240, 375)",2.740523733428245,True
"(245, 325)",0.793528665614002,False
"(245, 350)",3.5647552778603866,True
"(245, 355)",1.474081812183743,True
"(245, 360)",1.9994792161617476,True
"(245, 365)",0.7769777889903586,False
"(245, 370)",21.341733872424747,True
"(245, 375)",1.2441000110251261,True
"(245, 380)",0.10087367447199817,False
"(250, 335)",0.7445411080499486,False
"(250, 360)",1.698598498659036,True
"(250, 365)",1.248861686626744,True
"(250, 370)",16.6376393263298,True
"(250, 375)",2.1357293841920435,True
"(255, 340)",6.682392056913539,True
"(255, 365)",1.6038229871720795,True
"(255, 370)",0.3021174907167092,False
"(255, 375)",0.3260078534904416,False
"(260, 340)",0.27240919021201215,False
"(260, 360)",1.1490153817784001,True
"(260, 365)",1.3950759613797155,True
"(260, 370)",0.7719609042707344,False
"(265, 360)",1.3028280180345686,True
"(265, 365)",2.381890296381254,True
"(265, 370)",0.5846879480769289,False
"(315, 430)",0.1983692452843635,False
"(315, 435)",3.9931384285787197,True
"(320, 430)",0.08713220206799148,False
"(320, 435)",0.4492606652883225,False
"(325, 425)",0.9576795856298734,False
"(325, 430)",0.36098113183231106,False
"(330, 425)",0.8160431870215205,False
"(335, 410)",3.5677698454386277,True
"(335, 420)",1.4609677215857704,True
"(340, 415)",1.0334904824618072,True
mean,7.1046541780918275,0.7317708333333334
