,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",2.1933018448852883,-0.4750611691003366,1.7919800000000001,-0.4712388980384674,1.8
"(40, 10)",3.416177478751049,-0.47944194552284225,1.7774500000000002,-0.4712388980384674,1.7850000000000001
"(45, 5)",8.210620082054042,-0.46657886893564404,1.7782,-0.48869219055841073,1.78
"(45, 10)",2.3919235994308483,-0.4709072854805898,1.76354,-0.4712388980384674,1.7750000000000001
"(50, 5)",17.807079036675002,-0.4580267556008719,1.7709000000000001,-0.506145483078354,1.7750000000000001
"(50, 10)",470.5477902237655,-0.4623028122682582,1.75618,0.9250245035569984,1.7750000000000001
"(50, 15)",313.96421449540594,-0.46664868210572363,1.74149,-1.1344640137963136,0.315
"(50, 20)",310.6416462998282,-0.47106436511326955,1.7268100000000002,-1.1344640137963136,0.315
"(50, 25)",468.0825782064492,-0.47556731458341517,1.7122600000000001,0.9250245035569984,1.7750000000000001
"(50, 30)",304.01584781105606,-0.4801400772236404,1.69771,-1.1344640137963136,0.315
"(55, 5)",319.5023040956002,-0.44940482909601975,1.7637200000000002,-1.1344640137963136,0.315
"(55, 10)",316.1587614925111,-0.453611072593326,1.74893,-1.1344640137963136,0.315
"(55, 15)",312.81817909590535,-0.4579045825532324,1.73408,-1.1344640137963136,0.315
"(55, 20)",309.4828972579174,-0.4622679056832184,1.71932,-1.1344640137963136,0.315
"(55, 25)",464.59953754603663,-0.46670104198328355,1.7047,0.9250245035569984,1.7750000000000001
"(55, 30)",463.80539052870887,-0.47122144474594885,1.69016,0.9250245035569984,1.7750000000000001
"(60, 25)",305.01928884817653,-0.4577649562130728,1.6973,-1.1344640137963136,0.315
"(60, 30)",301.68489518861753,-0.46223299909817817,1.6827,-1.1344640137963136,0.315
"(60, 35)",298.3543893326615,-0.4667708551533636,1.6681000000000001,-1.1344640137963136,0.315
"(60, 40)",295.0293506757115,-0.4713959776711487,1.65354,-1.1344640137963136,0.315
"(65, 30)",300.5748448314737,-0.4531572869878078,1.6753900000000002,-1.1344640137963136,0.315
"(65, 35)",297.23377150453405,-0.4576427831654333,1.66078,-1.1344640137963136,0.315
"(65, 40)",293.8961400715632,-0.46219809251313837,1.6461800000000002,-1.1344640137963136,0.315
"(65, 45)",290.5604159085916,-0.4668581216159633,1.63152,-1.1344640137963136,0.315
"(65, 50)",453.84553166292693,-0.4715879638888678,1.61688,0.9250245035569984,1.7750000000000001
"(70, 30)",299.50665831952415,-0.4439943084148372,1.6683500000000002,-1.1344640137963136,0.315
"(70, 35)",296.1524977425435,-0.44840999142238314,1.6536600000000001,-1.1344640137963136,0.315
"(70, 40)",292.80089309853446,-0.45291294089252876,1.6389500000000001,-1.1344640137963136,0.315
"(70, 45)",16.423029418938256,-0.45750315682527365,1.62421,-0.506145483078354,1.62
"(70, 50)",286.1077829428257,-0.4621631859280986,1.60949,-1.1344640137963136,0.315
"(70, 55)",7.209948108226683,-0.4669279347860429,1.59483,-0.48869219055841073,1.595
"(75, 35)",295.1080916451028,-0.4391073865092534,1.64665,-1.1344640137963136,0.315
"(75, 40)",291.74355311306005,-0.443540522809319,1.6318500000000002,-1.1344640137963136,0.315
"(75, 45)",288.3824710877338,-0.4480609255719843,1.61703,-1.1344640137963136,0.315
"(75, 50)",285.02558334320423,-0.4526511415047296,1.60226,-1.1344640137963136,0.315
"(75, 55)",10.353513385281728,-0.4573460771925939,1.58755,-0.48869219055841073,1.59
"(75, 60)",37.26481038392983,-0.46212827934305833,1.57287,-0.3490658503988642,1.59
"(75, 65)",444.7886638037459,-0.4670152012486426,1.5582500000000001,0.9250245035569984,1.7750000000000001
"(75, 75)",150.0954014716789,-0.47705084444761026,1.53679,-0.13962634015954434,0.93
"(80, 25)",374.7731207489121,-0.42123521496883165,1.6764200000000002,0.9599310885968846,1.065
"(80, 45)",287.3517556824712,-0.4385314278560952,1.61,-1.1344640137963136,0.315
"(80, 50)",283.9841105819991,-0.44306928391128064,1.59519,-1.1344640137963136,0.315
"(80, 55)",280.62025367541685,-0.44767695313654565,1.5804200000000002,-1.1344640137963136,0.315
"(80, 60)",277.25998098468926,-0.4523893421169305,1.56566,-1.1344640137963136,0.315
"(80, 65)",273.90495837869344,-0.4571889975599146,1.5509700000000002,-1.1344640137963136,0.315
"(80, 70)",270.55512266761576,-0.46209337275801854,1.53632,-1.1344640137963136,0.315
"(80, 75)",6.819015798628061,-0.46708501441872263,1.5217100000000001,-0.48869219055841073,1.52
"(85, 35)",239.42872129028044,-0.4202578305877145,1.63999,-0.8028514559173905,0.54
"(85, 50)",282.9826424440505,-0.43338270656271227,1.58827,-1.1344640137963136,0.315
"(85, 55)",6.378324222676026,-0.43792056261789725,1.5734400000000002,-0.41887902047863745,1.58
"(85, 60)",276.23360084906983,-0.44256313842820205,1.55861,-1.1344640137963136,0.315
"(85, 65)",272.8655620541495,-0.447292980701107,1.54383,-1.1344640137963136,0.315
"(85, 70)",269.5030008041357,-0.45211008943661124,1.52912,-1.1344640137963136,0.315
"(85, 75)",6.550566776644228,-0.4570319179272353,1.51444,-0.4363323129985808,1.51
"(85, 80)",2.8534460013646403,-0.46205846617297874,1.49981,-0.4712388980384674,1.5
"(85, 85)",17.52156228039699,-0.46717228088132234,1.4852100000000001,-0.5235987755982974,1.495
"(85, 95)",2.346471617004916,-0.47774897614840794,1.45626,-0.4712388980384674,1.45
"(90, 40)",363.17628161147263,-0.414917123076612,1.6185,0.9599310885968846,1.065
"(90, 60)",4.760240699986182,-0.4326322149843542,1.55172,-0.41887902047863745,1.56
"(90, 65)",271.86837536481625,-0.4372922440871796,1.53685,-1.1344640137963136,0.315
"(90, 70)",7.431450674513291,-0.44202208636008367,1.52206,-0.41887902047863745,1.5150000000000001
"(90, 75)",3.3244355706549507,-0.44687410168062813,1.5073200000000002,-0.4363323129985808,1.5050000000000001
"(90, 80)",15.686849963820963,-0.4518133834637723,1.4926300000000001,-0.40142572795869413,1.5
"(90, 85)",9.75602004796333,-0.4568573850020359,1.4778700000000002,-0.48869219055841073,1.48
"(90, 90)",8.095896878865755,-0.46200610629541927,1.46322,-0.48869219055841073,1.46
"(90, 95)",6.453721846943183,-0.46727700063644173,1.4486800000000002,-0.48869219055841073,1.445
"(90, 100)",79.59913739548901,-0.47265261473258446,1.4342400000000002,-0.20943951023931762,1.48
"(95, 60)",429.34156369055546,-0.4226140250779069,1.55243,0.9250245035569984,1.77
"(95, 70)",4.205882289970628,-0.4318468168209568,1.51519,-0.41887902047863745,1.51
"(95, 75)",5.5130240298646935,-0.4366115656789016,1.50028,-0.41887902047863745,1.5
"(95, 80)",12.515963972181112,-0.4414810342919657,1.4854100000000001,-0.40142572795869413,1.495
"(95, 85)",257.38018825603973,-0.4464377693676296,1.47059,-1.1344640137963136,0.315
"(95, 90)",254.01034753771998,-0.45149922419841326,1.45591,-1.1344640137963136,0.315
