,Position RMSE,AOA,TOA
"(40, 5)",20.90894496690385,-0.41887902047863745,1.79
"(40, 10)",3.460305861765105,-0.48869219055841073,1.78
"(45, 5)",1.7712100050235802,-0.4712388980384674,1.78
"(45, 10)",0.3286952389934694,-0.4712388980384674,1.7650000000000001
"(50, 5)",1.7853214522436769,-0.4537856055185241,1.7750000000000001
"(50, 10)",3.2176052891846894,-0.4537856055185241,1.76
"(50, 15)",1.8226461633634055,-0.4712388980384674,1.745
"(50, 20)",0.6674887093865519,-0.4712388980384674,1.73
"(50, 25)",33.02135553699842,-0.3839724354387508,1.73
"(50, 30)",46.66704510849785,-0.3490658503988642,1.715
"(55, 5)",14.452069391966702,-0.48869219055841073,1.7650000000000001
mean,11.645698884029757,-0.44743895369309006,1.7577272727272728
