,Position RMSE,AOA RMSE,TOA RMSE
"(40, 5)",54.98971647215086,0.14344861122141572,0.04801999999999995
"(40, 10)",3.073402691644701,0.008203047484374837,0.00254999999999983
"(45, 5)",1.7712100050235802,0.004660029102823371,0.0018000000000000238
"(45, 10)",0.3286952389934694,0.0003316125578776141,0.0014600000000000168
"(50, 5)",1.7853214522436769,0.004241150082347822,0.0040999999999999925
"(50, 10)",3.2176052891846894,0.008517206749734108,0.0038199999999999346
"(50, 15)",1.8226461633634055,0.00459021593274378,0.003510000000000124
"(50, 20)",0.6674887093865519,0.00017453292519786778,0.003189999999999804
"(50, 25)",17.15012635765373,0.048031461014882204,0.0027399999999999647
"(50, 30)",46.66704510849785,0.1310742268247762,0.017290000000000028
"(55, 5)",27.285107493953817,0.07419394650227762,0.0012799999999999478
mean,14.43257863473603,0.038860549127131924,0.008159999999999966
