,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",20.90894496690385,-0.4750611691003366,1.7919800000000001,-0.41887902047863745,1.79
"(40, 10)",3.066116770599617,-0.47944194552284225,1.7774500000000002,-0.4712388980384674,1.7750000000000001
"(45, 5)",1.7712100050235802,-0.46657886893564404,1.7782,-0.4712388980384674,1.78
"(45, 10)",0.3286952389934694,-0.4709072854805898,1.76354,-0.4712388980384674,1.7650000000000001
"(50, 5)",1.5761703985301712,-0.4580267556008719,1.7709000000000001,-0.4537856055185241,1.77
"(50, 10)",3.1223462428302704,-0.4623028122682582,1.75618,-0.4537856055185241,1.7550000000000001
"(50, 15)",1.8226461633634055,-0.46664868210572363,1.74149,-0.4712388980384674,1.745
"(50, 20)",0.6674887093865519,-0.47106436511326955,1.7268100000000002,-0.4712388980384674,1.73
"(50, 25)",17.15012635765373,-0.47556731458341517,1.7122600000000001,-0.5235987755982974,1.715
"(50, 30)",4.06355888847162,-0.4801400772236404,1.69771,-0.4712388980384674,1.71
"(55, 5)",27.285107493953817,-0.44940482909601975,1.7637200000000002,-0.5235987755982974,1.7650000000000001
"(55, 10)",0.2312134391995751,-0.453611072593326,1.74893,-0.4537856055185241,1.75
"(55, 15)",11.129259766437901,-0.4579045825532324,1.73408,-0.48869219055841073,1.735
"(55, 20)",9.467697319367613,-0.4622679056832184,1.71932,-0.48869219055841073,1.72
"(55, 25)",1.610469471078277,-0.46670104198328355,1.7047,-0.4712388980384674,1.705
"(55, 30)",0.033398588966288764,-0.47122144474594885,1.69016,-0.4712388980384674,1.69
"(60, 25)",1.5171847763513895,-0.4577649562130728,1.6973,-0.4537856055185241,1.7
"(60, 30)",3.1924082511642204,-0.46223299909817817,1.6827,-0.4712388980384674,1.685
"(60, 35)",1.5979917533576238,-0.4667708551533636,1.6681000000000001,-0.4712388980384674,1.67
"(60, 40)",0.308702506936502,-0.4713959776711487,1.65354,-0.4712388980384674,1.655
"(65, 30)",0.2330644642922038,-0.4531572869878078,1.6753900000000002,-0.4537856055185241,1.675
"(65, 35)",1.3406957926275103,-0.4576427831654333,1.66078,-0.4537856055185241,1.6600000000000001
"(65, 40)",2.991040196874422,-0.46219809251313837,1.6461800000000002,-0.4537856055185241,1.6500000000000001
"(65, 45)",1.654882942630726,-0.4668581216159633,1.63152,-0.4712388980384674,1.635
"(65, 50)",0.658776305630371,-0.4715879638888678,1.61688,-0.4712388980384674,1.62
"(70, 30)",14.870066593216928,-0.4439943084148372,1.6683500000000002,-0.40142572795869413,1.675
"(70, 35)",16.2435577447632,-0.44840999142238314,1.6536600000000001,-0.40142572795869413,1.6600000000000001
"(70, 40)",0.3694757595730361,-0.45291294089252876,1.6389500000000001,-0.4537856055185241,1.6400000000000001
"(70, 45)",16.42492232672088,-0.45750315682527365,1.62421,-0.506145483078354,1.625
"(70, 50)",20.544258253364344,-0.4621631859280986,1.60949,-0.5235987755982974,1.61
"(70, 55)",1.4278642415553553,-0.4669279347860429,1.59483,-0.4712388980384674,1.595
mean,6.051914249348982,-0.46349582926341154,1.6967519354838714,-0.46786084142170425,1.6985483870967737
